# c0 + a0 * ((Ge * S) + (poly_dist_avg * P)) + a1 * ((O - NBI) * (face-area-avg - poly_dist_avg))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.637827162945331; Max AE: 2.85850213873119
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.029573683188018e+01,  2.179352120234618e+00, -1.052480256884492e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|10|mult|29|16|mult|add; ((Ge * S) + (poly_dist_avg * P)); $\left(\left(Ge S\right) + \left(poly_{dist, avg} P\right)\right)$; ((Ge .* S) + (poly_dist_avg .* P)); ((newdata$Ge * newdata$S) + (newdata$poly_dist_avg * newdata$P)); Ge,S,poly_dist_avg,P
# 1;  2; Unitless;                                         11|4|sub|32|29|sub|mult; ((O - NBI) * (face-area-avg - poly_dist_avg)); $\left(\left(O - NBI\right) \left(face-area-avg - poly_{dist, avg}\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg - poly_dist_avg)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg)); O,NBI,face-area-avg,poly_dist_avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  6.351707615363236e-01,  6.607395542541587e-02,  2.759477468782551e-02
s2          ,  1.967875961713064e+00,  6.018248968565273e-01,  5.107569640825448e-02,  8.314902036164412e-02
s3          , -1.271285198486554e+00, -9.316573770078472e-01,  0.000000000000000e+00, -3.791995536868227e-01
s4          , -1.922048452937919e-01, -8.300096655246209e-01,  3.910444983461126e-03, -3.510321004019648e-01
s5          ,  2.455067115358116e-01,  3.483587871813737e-01,  5.258787699542063e-02, -4.029827415537564e-02
s6          ,  1.771859120156342e-01,  8.606536899823396e-01,  8.077500691417734e-02,  6.160707149731388e-02
s7          , -1.787554844087500e-01,  1.485254513483694e-01,  0.000000000000000e+00,  1.164444582775814e-01
s8          ,  1.258527874893824e+00,  1.170102259259676e+00,  1.822916666666667e-01, -2.759887840575059e-01
s9          ,  1.207996528852184e+00,  1.056991360841365e+00,  3.505653348527699e-02,  3.676810810366626e-01
s10         , -3.778119871449526e-01,  4.402225095249847e-01,  5.078125000000000e-02,  1.038847692821709e-02
s11         ,  2.051916464504999e-01, -1.181242691638560e+00,  0.000000000000000e+00, -4.937222654199975e-01
s12         , -9.030892502610830e-01, -3.314902478032824e-01,  0.000000000000000e+00, -1.038116878930409e-01
s13         , -1.915336013610817e+00, -7.315531421609216e-01,  0.000000000000000e+00, -2.873813325792656e-01
s14         , -4.972857440368104e-01, -4.962493402034343e-01,  9.989258861439311e-02, -6.513261923875037e-01
s15         ,  9.892906044607527e-01,  8.159566049824007e-01,  3.961632479540865e-02,  2.355403569551536e-01
s16         ,  7.196956197004112e-01,  1.024036121131702e+00,  6.324570464138925e-02,  2.193876848290640e-01
s17         , -8.233048349290433e-01, -5.226750530642664e-01,  0.000000000000000e+00, -1.915372112198551e-01
s18         ,  6.436893120625885e-01,  2.436611842867707e-01,  2.033304424623780e-02,  6.403992091464092e-02
s19         ,  6.782210382119218e-01,  1.436333210480284e+00,  0.000000000000000e+00,  7.073575774449766e-01
s20         ,  1.358387811126361e-01, -1.009324227279814e+00,  0.000000000000000e+00, -4.148371404498124e-01
s21         ,  1.192439177417436e+00,  3.935545772912897e-01,  0.000000000000000e+00,  2.288765538842985e-01
s22         , -1.675888320916539e+00, -1.805296354971588e+00,  0.000000000000000e+00, -7.800705143050127e-01
s23         ,  1.682267394333138e+00,  1.635002024612200e+00,  3.433516157285768e-02,  6.363103280974765e-01
s24         , -5.344901610254715e-02, -1.821863215725611e-04,  0.000000000000000e+00,  4.820966671304395e-02
s25         ,  7.630444568978922e-01,  8.107573290811957e-01,  0.000000000000000e+00,  4.203108558111445e-01
s26         , -7.690353008448225e-01, -1.756554960826795e+00,  0.000000000000000e+00, -7.577054298873803e-01
s27         ,  1.318355805735755e-01,  2.202039952381278e-01,  1.720274834779099e-02,  6.806474721335537e-02
s28         , -1.557515501210242e+00, -1.310802158306895e+00,  9.914709958754753e-03, -6.000101429123038e-01
s29         ,  1.315402392066626e+00,  1.113329863083907e+00,  0.000000000000000e+00,  5.591468572050530e-01
s30         , -1.602536800620832e+00, -7.264096198380660e-01,  0.000000000000000e+00, -2.850212172610021e-01
s31         , -6.577868421803238e-01, -8.450810508832485e-02,  0.000000000000000e+00,  9.516553294697323e-03
s32         ,  1.122204297021453e+00,  5.777565284529861e-01,  1.339492083829990e-02,  2.501174405206945e-01
s33         ,  1.732999170998263e+00,  6.796827276297012e-01,  0.000000000000000e+00,  3.601670175417309e-01
s34         ,  1.815120104294484e+00,  3.894292446427383e-01,  1.962809917355372e-02,  1.342561966070607e-01
s35         ,  5.934117724273275e-01,  7.736739396499430e-01,  2.314021452111968e-02,  2.939756271816780e-01
s36         ,  9.702627198604924e-01,  9.317008407160787e-01,  1.010045933723146e-01, -1.361801858606032e-03
s37         ,  1.142962175227537e+00,  7.098545743173028e-01,  7.165781095709649e-02,  3.548423209120569e-02
s38         ,  2.376281988155590e-01,  4.169235997903123e-01,  0.000000000000000e+00,  2.395994757481169e-01
s39         , -9.901628269429662e-01, -1.170532468781131e-02,  0.000000000000000e+00,  4.292225204551504e-02
s40         , -6.175077579414836e-01,  1.420596838597724e-01,  7.384563150746943e-03,  7.859133415819569e-02
s41         , -6.558266813617915e-01, -3.275059976068487e-01,  0.000000000000000e+00, -1.019835068664683e-01
s42         , -1.132806252875512e-01, -3.875836839669702e-01,  2.399599426565118e-02, -2.429126047790660e-01
s43         ,  3.987508132795206e-01,  3.713400624532464e-01,  0.000000000000000e+00,  2.186833801278467e-01
s44         , -1.257042213831158e-02, -1.495559450080592e-01,  2.637119113573407e-02, -1.449140596712476e-01
s45         , -2.453536714432208e-01, -2.566909564550380e-01,  0.000000000000000e+00, -6.948988617327485e-02
s46         ,  4.319604697532172e-01,  1.036194627758035e+00,  1.367166474432911e-01, -1.221261891070327e-01
s47         , -5.858250576994644e-01,  1.731032545172205e-01,  5.848750173905307e-02, -1.485857391502637e-01
s48         , -1.351740028810569e+00, -1.511007820359702e+00,  7.742878013148284e-02, -1.010826161437994e+00
s49         ,  1.400180920836999e+00,  4.250542313489212e-01,  3.690794178006576e-02,  6.896902986346073e-02
s50         ,  6.339509690024701e-01,  6.236514995163189e-01,  1.140992751502213e-01, -2.045729922717580e-01
s51         ,  9.663578673416964e-01,  7.311161942895669e-01,  0.000000000000000e+00,  3.837673647193722e-01
s52         ,  1.470345916377529e-01,  3.575902933560181e-01,  7.487346431934137e-02, -1.413443758897853e-01
s53         , -1.879048126514940e+00,  1.641308743835630e-01,  0.000000000000000e+00,  1.236050372819112e-01
s54         ,  2.462378298792408e+00,  1.514633140646071e+00,  0.000000000000000e+00,  7.432856541604352e-01
s55         ,  2.147693442064033e-01, -4.246753561643363e-01,  1.289384438865031e-02, -2.074832033127195e-01
s56         ,  1.250856345991485e+00,  1.097232141671599e+00,  2.327402042711730e-02,  4.418088151441026e-01
s57         ,  3.470878239384724e-01,  8.010904410616888e-01,  0.000000000000000e+00,  4.158751852603635e-01
s58         ,  2.650904256602346e+00,  3.129022505809253e-01,  0.000000000000000e+00,  1.918690753949199e-01
s59         ,  2.436955679659398e-02, -7.254859443043388e-02,  0.000000000000000e+00,  1.500419824516244e-02
s60         , -1.350996154759193e+00, -1.421481291774484e+00,  1.210986689627925e-02, -6.611658828973916e-01
s61         , -1.175408395594881e+00, -7.696980818322755e-01,  2.124572295887202e-02, -4.052536624675077e-01
s62         ,  5.137509822735412e-02, -2.136007257692145e-01,  3.071961654717413e-03, -6.423046901677058e-02
s63         ,  1.630781368412474e+00,  1.149724106855825e+00,  4.807337044085762e-02,  3.487372943578736e-01
s64         , -7.346563779561162e-02,  1.143576916093299e+00,  0.000000000000000e+00,  5.730257768750585e-01
s65         ,  6.477994742971301e-01,  9.603543038123799e-01,  4.999911626302845e-02,  2.527469432387128e-01
s66         ,  1.102507059534665e+00,  3.716489485522202e-01,  0.000000000000000e+00,  2.188251131209256e-01
s67         , -2.689254974131806e-01,  1.298488853045418e-01,  0.000000000000000e+00,  1.078746792728848e-01
s68         ,  1.634793292022643e+00,  7.868366857279571e-01,  0.000000000000000e+00,  4.093348216351421e-01
s69         ,  3.008420412735001e-01,  7.817924827224905e-01,  0.000000000000000e+00,  4.070202791806976e-01
