# c0 + a0 * ((B + SBI) * (face-area-count / NBI)) + a1 * ((O - NBI) * (face-area-avg - Ge))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.638275142538829; Max AE: 2.83309037501135
# Coefficients
# Task   a0                      a1                      c0
# all , -4.683966969570588e-02,  2.080751000255444e+00,  7.805013312302654e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         8|5|add|34|4|div|mult; ((B + SBI) * (face-area-count / NBI)); $\left(\left(B + SBI\right) \left(\frac{ face-area-count }{ NBI } \right)\right)$; ((B + SBI) .* (face_sub_area_sub_count ./ NBI)); ((newdata$B + newdata$SBI) * (newdata$face_sub_area_sub_count / newdata$NBI)); B,SBI,face-area-count,NBI
# 1;  2; Unitless;                                         11|4|sub|32|18|sub|mult; ((O - NBI) * (face-area-avg - Ge)); $\left(\left(O - NBI\right) \left(face-area-avg - Ge\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg - Ge)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg - newdata$Ge)); O,NBI,face-area-avg,Ge
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  2.541781138660467e-01,  1.208152384374221e+01,  1.901783004915219e-02
s2          ,  1.967875961713064e+00,  4.149593205066697e-01,  8.922199421884468e+00,  2.516921205385040e-02
s3          , -1.271285198486554e+00, -1.177423778323262e+00,  2.330107867370920e+01, -4.164411218915453e-01
s4          , -1.922048452937919e-01, -4.973197736971538e-01,  9.571247517659653e+00, -3.986575195794987e-01
s5          ,  2.455067115358116e-01,  1.140106613705746e-01,  8.846827866699535e+00, -1.211621067094372e-01
s6          ,  1.771859120156342e-01,  3.253648597949613e-01,  1.152822923877389e+01,  4.077469061643036e-02
s7          , -1.787554844087500e-01,  2.294222113933171e-01,  1.605854056074188e+01,  9.664665104022961e-02
s8          ,  1.258527874893824e+00,  4.109749087511100e-02,  7.212432591307564e+00, -1.929956443738172e-01
s9          ,  1.207996528852184e+00,  1.097341823555281e+00,  6.355570771693506e+00,  2.953420798179975e-01
s10         , -3.778119871449526e-01,  5.469795816561988e-01,  6.149484356146065e+00,  2.620114874871266e-02
s11         ,  2.051916464504999e-01, -1.301520426315096e+00,  2.029219761474661e+01, -5.438141919584447e-01
s12         , -9.030892502610830e-01, -5.948822905436664e-01,  2.466265877299144e+01, -1.058237295101999e-01
s13         , -1.915336013610817e+00, -1.507156216615472e+00,  3.430769675342066e+01, -3.271397508935511e-01
