# c0 + a0 * ((Ge * S) + (poly_dist_max * P)) + a1 * ((O - NBI) * (face-area-avg * NBI))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.638335148720278; Max AE: 2.81459639633491
# Coefficients
# Task   a0                      a1                      c0
# all ,  7.569573592087085e+00,  4.366670732097891e+00, -1.008855326212386e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|10|mult|27|16|mult|add; ((Ge * S) + (poly_dist_max * P)); $\left(\left(Ge S\right) + \left(poly_{dist, max} P\right)\right)$; ((Ge .* S) + (poly_dist_max .* P)); ((newdata$Ge * newdata$S) + (newdata$poly_dist_max * newdata$P)); Ge,S,poly_dist_max,P
# 1;  2; Unitless;                                         11|4|sub|32|4|mult|mult; ((O - NBI) * (face-area-avg * NBI)); $\left(\left(O - NBI\right) \left(face-area-avg NBI\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg .* NBI)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg * newdata$NBI)); O,NBI,face-area-avg,NBI
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  6.785348821277871e-01,  9.645812726111791e-02,  1.128400214124218e-02
s2          ,  1.967875961713064e+00,  7.107276416240085e-01,  1.016406046636200e-01,  9.672617857186906e-03
s3          , -1.271285198486554e+00, -9.759976375008195e-01,  0.000000000000000e+00, -2.004071656804653e-01
s4          , -1.922048452937919e-01, -7.460096692848934e-01,  9.185104215238831e-03, -1.636604870888794e-01
s5          ,  2.455067115358116e-01,  5.041349210855675e-01,  1.257852094587382e-01, -7.949304341535122e-02
s6          ,  1.771859120156342e-01,  9.267528486902776e-01,  1.199184624375472e-01,  2.745953661199560e-02
s7          , -1.787554844087500e-01,  1.253245532493773e-01,  0.000000000000000e+00,  5.180378822882695e-02
s8          ,  1.258527874893824e+00,  7.059162928438265e-01,  1.822916666666667e-01, -1.312369069598147e-01
s9          ,  1.207996528852184e+00,  1.185962687162454e+00,  5.710641273800714e-02,  1.957044802351474e-01
s10         , -3.778119871449526e-01,  2.167457007643430e-01,  5.078125000000000e-02, -1.528880460274972e-02
s11         ,  2.051916464504999e-01, -1.316749732699130e+00,  0.000000000000000e+00, -2.784419239903968e-01
s12         , -9.030892502610830e-01, -2.697984177641207e-01,  0.000000000000000e+00, -3.868230409525997e-02
s13         , -1.915336013610817e+00, -7.316912877420977e-01,  0.000000000000000e+00, -1.444591987401348e-01
s14         , -4.972857440368104e-01, -7.632713350611795e-01,  9.989258861439311e-02, -3.248539196769623e-01
s15         ,  9.892906044607527e-01,  6.269142356287262e-01,  3.961632479540865e-02,  9.799710317464386e-02
s16         ,  7.196956197004112e-01,  1.235195966144422e+00,  1.087701682259381e-01,  1.174207393259060e-01
s17         , -8.233048349290433e-01, -6.398998127231869e-01,  0.000000000000000e+00, -1.234382698333172e-01
s18         ,  6.436893120625885e-01,  4.324794530390734e-01,  6.250666067943039e-02,  1.378996066937653e-02
s19         ,  6.782210382119218e-01,  1.677193830540624e+00,  0.000000000000000e+00,  4.071933681859304e-01
s20         ,  1.358387811126361e-01, -9.099636574848911e-01,  0.000000000000000e+00, -1.852848942596927e-01
s21         ,  1.192439177417436e+00,  3.060893676423564e-01,  0.000000000000000e+00,  9.320027206816003e-02
s22         , -1.675888320916539e+00, -1.618191863686484e+00,  0.000000000000000e+00, -3.474744088012064e-01
s23         ,  1.682267394333138e+00,  1.973725012352347e+00,  6.467306252799954e-02,  3.629911976396553e-01
s24         , -5.344901610254715e-02, -1.501600635588440e-01,  0.000000000000000e+00, -1.128423322038122e-02
s25         ,  7.630444568978922e-01,  8.668932605940846e-01,  0.000000000000000e+00,  2.216285249312514e-01
s26         , -7.690353008448225e-01, -1.477902708630282e+00,  0.000000000000000e+00, -3.153471512947073e-01
s27         ,  1.318355805735755e-01,  9.750440150040284e-01,  1.339309115148453e-01,  1.422815240032824e-02
s28         , -1.557515501210242e+00, -1.160798950478110e+00,  4.557084689387490e-02, -3.217245776621329e-01
s29         ,  1.315402392066626e+00,  1.255134279462089e+00,  0.000000000000000e+00,  3.105385991473307e-01
s30         , -1.602536800620832e+00, -7.685793167893438e-01,  0.000000000000000e+00, -1.529068311150915e-01
s31         , -6.577868421803238e-01, -1.167223597658264e-01,  0.000000000000000e+00, -3.626750931362141e-03
s32         ,  1.122204297021453e+00,  6.501665234736814e-01,  3.832090879021922e-02,  1.055676384077233e-01
s33         ,  1.732999170998263e+00,  6.777438013322807e-01,  0.000000000000000e+00,  1.783118951997190e-01
s34         ,  1.815120104294484e+00,  2.194479549442037e-01,  1.962809917355372e-02,  3.933366102827864e-02
s35         ,  5.934117724273275e-01,  8.877529941767590e-01,  3.899723596357400e-02,  1.588042977883485e-01
s36         ,  9.702627198604924e-01,  1.087557212166044e+00,  1.652671625730752e-01, -1.432652208126892e-02
s37         ,  1.142962175227537e+00,  7.474391669360946e-01,  1.149147704491099e-01, -4.930784457076409e-03
s38         ,  2.376281988155590e-01,  3.411237766352500e-01,  0.000000000000000e+00,  1.012234116961076e-01
s39         , -9.901628269429662e-01, -2.402866001213130e-02,  0.000000000000000e+00,  1.760079413457006e-02
s40         , -6.175077579414836e-01,  2.185958561781963e-02,  7.384563150746943e-03,  1.530848743247220e-02
s41         , -6.558266813617915e-01, -3.425596714258600e-01,  0.000000000000000e+00, -5.534517109984002e-02
s42         , -1.132806252875512e-01, -2.359386797111528e-01,  5.542013997337723e-02, -1.269983493433066e-01
s43         ,  3.987508132795206e-01,  3.480992514485892e-01,  0.000000000000000e+00,  1.028208471890256e-01
s44         , -1.257042213831158e-02, -2.617547576920430e-01,  2.637119113573407e-02, -8.255440338881423e-02
s45         , -2.453536714432208e-01, -2.561094996547829e-01,  0.000000000000000e+00, -3.554744027126810e-02
s46         ,  4.319604697532172e-01,  6.318701910560967e-01,  1.367166474432911e-01, -6.919024101982788e-02
