# c0 + a0 * ((B + SBI) * (face-area-count + face-area-max)) + a1 * ((Ge * S) + (poly_dist_avg * P)) + a2 * ((O - NBI) * (face-area-avg - poly_dist_avg))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.603994171500799; Max AE: 3.03562187313665
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.832766923607801e-02,  8.070803838177435e+00,  2.175805267616540e+00,  4.007138637187844e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         8|5|add|34|31|add|mult; ((B + SBI) * (face-area-count + face-area-max)); $\left(\left(B + SBI\right) \left(face-area-count + face-area-max\right)\right)$; ((B + SBI) .* (face_sub_area_sub_count + face_sub_area_sub_max)); ((newdata$B + newdata$SBI) * (newdata$face_sub_area_sub_count + newdata$face_sub_area_sub_max)); B,SBI,face-area-count,face-area-max
# 1;  2; Unitless;                                         18|10|mult|29|16|mult|add; ((Ge * S) + (poly_dist_avg * P)); $\left(\left(Ge S\right) + \left(poly_{dist, avg} P\right)\right)$; ((Ge .* S) + (poly_dist_avg .* P)); ((newdata$Ge * newdata$S) + (newdata$poly_dist_avg * newdata$P)); Ge,S,poly_dist_avg,P
# 2;  2; Unitless;                                         11|4|sub|32|29|sub|mult; ((O - NBI) * (face-area-avg - poly_dist_avg)); $\left(\left(O - NBI\right) \left(face-area-avg - poly_{dist, avg}\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg - poly_dist_avg)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg)); O,NBI,face-area-avg,poly_dist_avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  6.774572406644882e-01,  4.663653191569232e-01,  7.722484019090802e+00,  6.607395542541587e-02,  2.759477468782551e-02
s2          ,  1.967875961713064e+00,  6.030541146096760e-01,  5.719465577966875e+00,  5.107569640825448e-02,  8.314902036164412e-02
s3          , -1.271285198486554e+00, -1.210836641272429e+00,  1.151050705219003e+01,  0.000000000000000e+00, -3.791995536868227e-01
s4          , -1.922048452937919e-01, -6.006700899989881e-01,  3.939354260895160e+00,  3.910444983461126e-03, -3.510321004019648e-01
s5          ,  2.455067115358116e-01,  3.287501994141195e-01,  5.981601760857115e+00,  5.258787699542063e-02, -4.029827415537564e-02
s6          ,  1.771859120156342e-01,  6.782445344905161e-01,  7.441107847387886e+00,  8.077500691417734e-02,  6.160707149731388e-02
s7          , -1.787554844087500e-01,  3.884120740529229e-02,  9.004157889433115e+00,  0.000000000000000e+00,  1.164444582775814e-01
s8          ,  1.258527874893824e+00,  1.070193721634049e+00,  2.945550128968186e+00,  1.822916666666667e-01, -2.759887840575059e-01
s9          ,  1.207996528852184e+00,  1.206019453727800e+00,  4.063233109275661e+00,  3.505653348527699e-02,  3.676810810366626e-01
s10         , -3.778119871449526e-01,  6.384339523531321e-01,  2.849924836792299e+00,  5.078125000000000e-02,  1.038847692821709e-02
s11         ,  2.051916464504999e-01, -1.384801199952004e+00,  1.040971491904519e+01,  0.000000000000000e+00, -4.937222654199975e-01
s12         , -9.030892502610830e-01, -4.422824645487444e-01,  9.031806847932646e+00,  0.000000000000000e+00, -1.038116878930409e-01
s13         , -1.915336013610817e+00, -1.285514953268852e+00,  1.552728216268229e+01,  0.000000000000000e+00, -2.873813325792656e-01
s14         , -4.972857440368104e-01, -4.945372361559154e-01,  4.160915048244483e+00,  9.989258861439311e-02, -6.513261923875037e-01
s15         ,  9.892906044607527e-01,  7.375022415756928e-01,  7.250900891173162e+00,  3.961632479540865e-02,  2.355403569551536e-01
s16         ,  7.196956197004112e-01,  9.826029357127859e-01,  5.940484852085561e+00,  6.324570464138925e-02,  2.193876848290640e-01
s17         , -8.233048349290433e-01, -7.995913646386297e-01,  1.146764647471601e+01,  0.000000000000000e+00, -1.915372112198551e-01
s18         ,  6.436893120625885e-01,  1.043222733529201e-01,  8.778786191309642e+00,  2.033304424623780e-02,  6.403992091464092e-02
s19         ,  6.782210382119218e-01,  1.456529157748028e+00,  7.072640622268506e+00,  0.000000000000000e+00,  7.073575774449766e-01
s20         ,  1.358387811126361e-01, -9.494561722911955e-01,  6.550277590618803e+00,  0.000000000000000e+00, -4.148371404498124e-01
