# c0 + a0 * ((B + SBI) * (face-area-count + AAV)) + a1 * ((Ge * S) + (poly_dist_avg * P)) + a2 * ((O - NBI) * (face-area-avg - poly_dist_avg))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.604604119863418; Max AE: 3.0338068081574
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.977921695282985e-02,  8.084448194450573e+00,  2.171070093230453e+00,  4.072966790047253e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         8|5|add|34|1|add|mult; ((B + SBI) * (face-area-count + AAV)); $\left(\left(B + SBI\right) \left(face-area-count + AAV\right)\right)$; ((B + SBI) .* (face_sub_area_sub_count + AAV)); ((newdata$B + newdata$SBI) * (newdata$face_sub_area_sub_count + newdata$AAV)); B,SBI,face-area-count,AAV
# 1;  2; Unitless;                                         18|10|mult|29|16|mult|add; ((Ge * S) + (poly_dist_avg * P)); $\left(\left(Ge S\right) + \left(poly_{dist, avg} P\right)\right)$; ((Ge .* S) + (poly_dist_avg .* P)); ((newdata$Ge * newdata$S) + (newdata$poly_dist_avg * newdata$P)); Ge,S,poly_dist_avg,P
# 2;  2; Unitless;                                         11|4|sub|32|29|sub|mult; ((O - NBI) * (face-area-avg - poly_dist_avg)); $\left(\left(O - NBI\right) \left(face-area-avg - poly_{dist, avg}\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg - poly_dist_avg)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg)); O,NBI,face-area-avg,poly_dist_avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  6.774572406644882e-01,  4.727190150746540e-01,  7.576171626873116e+00,  6.607395542541587e-02,  2.759477468782551e-02
s2          ,  1.967875961713064e+00,  6.023535231245167e-01,  5.709211800787432e+00,  5.107569640825448e-02,  8.314902036164412e-02
s3          , -1.271285198486554e+00, -1.213701099606543e+00,  1.143218572909367e+01,  0.000000000000000e+00, -3.791995536868227e-01
s4          , -1.922048452937919e-01, -6.036188377743007e-01,  4.018589258576071e+00,  3.910444983461126e-03, -3.510321004019648e-01
s5          ,  2.455067115358116e-01,  3.394071449750085e-01,  5.811803874238657e+00,  5.258787699542063e-02, -4.029827415537564e-02
s6          ,  1.771859120156342e-01,  6.805257524050728e-01,  7.359577511599002e+00,  8.077500691417734e-02,  6.160707149731388e-02
s7          , -1.787554844087500e-01,  2.944591628809945e-02,  9.037932369344652e+00,  0.000000000000000e+00,  1.164444582775814e-01
s8          ,  1.258527874893824e+00,  1.067642020799995e+00,  3.069555777072597e+00,  1.822916666666667e-01, -2.759887840575059e-01
s9          ,  1.207996528852184e+00,  1.206590536028358e+00,  4.046767548156036e+00,  3.505653348527699e-02,  3.676810810366626e-01
s10         , -3.778119871449526e-01,  6.359748723751961e-01,  2.929443923327791e+00,  5.078125000000000e-02,  1.038847692821709e-02
s11         ,  2.051916464504999e-01, -1.404892796091103e+00,  1.060894436205711e+01,  0.000000000000000e+00, -4.937222654199975e-01
s12         , -9.030892502610830e-01, -4.509714176770862e-01,  9.069830150104462e+00,  0.000000000000000e+00, -1.038116878930409e-01
s13         , -1.915336013610817e+00, -1.297041107295533e+00,  1.548330315192632e+01,  0.000000000000000e+00, -2.873813325792656e-01
s14         , -4.972857440368104e-01, -4.970528365089200e-01,  4.268479483618183e+00,  9.989258861439311e-02, -6.513261923875037e-01
s15         ,  9.892906044607527e-01,  7.146030196106945e-01,  7.514334962309071e+00,  3.961632479540865e-02,  2.355403569551536e-01
s16         ,  7.196956197004112e-01,  9.831723943322708e-01,  5.900567055676016e+00,  6.324570464138925e-02,  2.193876848290640e-01
s17         , -8.233048349290433e-01, -8.034955740904093e-01,  1.139238267193974e+01,  0.000000000000000e+00, -1.915372112198551e-01
s18         ,  6.436893120625885e-01,  1.143917180272275e-01,  8.545833371781846e+00,  2.033304424623780e-02,  6.403992091464092e-02
s19         ,  6.782210382119218e-01,  1.500558445046602e+00,  6.340872467341607e+00,  0.000000000000000e+00,  7.073575774449766e-01
s20         ,  1.358387811126361e-01, -9.590068312199524e-01,  6.673376706815631e+00,  0.000000000000000e+00, -4.148371404498124e-01
s21         ,  1.192439177417436e+00,  4.363455940816087e-01,  6.704834856763059e+00,  0.000000000000000e+00,  2.288765538842985e-01
s22         , -1.675888320916539e+00, -1.629438138294031e+00,  4.917611117823372e+00,  0.000000000000000e+00, -7.800705143050127e-01
s23         ,  1.682267394333138e+00,  1.742336180146716e+00,  4.643440716839614e+00,  3.433516157285768e-02,  6.363103280974765e-01
s24         , -5.344901610254715e-02,  5.477802480097228e-02,  6.551882347979108e+00,  0.000000000000000e+00,  4.820966671304395e-02
s25         ,  7.630444568978922e-01,  1.132686853416258e+00,  2.681803589550760e+00,  0.000000000000000e+00,  4.203108558111445e-01
s26         , -7.690353008448225e-01, -1.946996630223436e+00,  1.016436901836833e+01,  0.000000000000000e+00, -7.577054298873803e-01
s27         ,  1.318355805735755e-01,  4.338936612899730e-01,  3.729636043189949e+00,  1.720274834779099e-02,  6.806474721335537e-02
s28         , -1.557515501210242e+00, -1.212153749260790e+00,  5.688532025897731e+00,  9.914709958754753e-03, -6.000101429123038e-01
s29         ,  1.315402392066626e+00,  1.433233094563197e+00,  2.694363910250105e+00,  0.000000000000000e+00,  5.591468572050530e-01
s30         , -1.602536800620832e+00, -1.207896980997583e+00,  1.427921754903555e+01,  0.000000000000000e+00, -2.850212172610021e-01
s31         , -6.577868421803238e-01, -4.911031930430462e-02,  6.836822242936244e+00,  0.000000000000000e+00,  9.516553294697323e-03
s32         ,  1.122204297021453e+00,  5.052242401660381e-01,  7.930520024445092e+00,  1.339492083829990e-02,  2.501174405206945e-01
s33         ,  1.732999170998263e+00,  7.218380318706026e-01,  6.698362462320912e+00,  0.000000000000000e+00,  3.601670175417309e-01
s34         ,  1.815120104294484e+00,  6.141779211553546e-01,  3.486435255104923e+00,  1.962809917355372e-02,  1.342561966070607e-01
s35         ,  5.934117724273275e-01,  8.873376436349047e-01,  4.948129375262207e+00,  2.314021452111968e-02,  2.939756271816780e-01
s36         ,  9.702627198604924e-01,  6.661231232362054e-01,  7.950553405829226e+00,  1.010045933723146e-01, -1.361801858606032e-03
s37         ,  1.142962175227537e+00,  5.034488796261888e-01,  8.028184312272684e+00,  7.165781095709649e-02,  3.548423209120569e-02
s38         ,  2.376281988155590e-01,  6.565907847638552e-01,  3.882146607842031e+00,  0.000000000000000e+00,  2.395994757481169e-01
s39         , -9.901628269429662e-01, -1.988570326242479e-01,  1.002219514517967e+01,  0.000000000000000e+00,  4.292225204551504e-02
s40         , -6.175077579414836e-01,  2.651983107549911e-01,  5.337202077092563e+00,  7.384563150746943e-03,  7.859133415819569e-02
s41         , -6.558266813617915e-01, -2.817876814805504e-01,  6.702153436901784e+00,  0.000000000000000e+00, -1.019835068664683e-01
s42         , -1.132806252875512e-01, -1.494237711177117e-01,  3.200588096078236e+00,  2.399599426565118e-02, -2.429126047790660e-01
s43         ,  3.987508132795206e-01,  2.519189512716632e-01,  9.030692829946139e+00,  0.000000000000000e+00,  2.186833801278467e-01
s44         , -1.257042213831158e-02,  1.127976223460844e-01,  2.766970060886420e+00,  2.637119113573407e-02, -1.449140596712476e-01
s45         , -2.453536714432208e-01, -3.689764095585916e-01,  8.962635326408153e+00,  0.000000000000000e+00, -6.948988617327485e-02
s46         ,  4.319604697532172e-01,  8.718060241499845e-01,  5.383046816252247e+00,  1.367166474432911e-01, -1.221261891070327e-01
s47         , -5.858250576994644e-01, -7.217972850991244e-02,  9.024542812265437e+00,  5.848750173905307e-02, -1.485857391502637e-01
s48         , -1.351740028810569e+00, -1.364890783072689e+00,  2.917515904406672e+00,  7.742878013148284e-02, -1.010826161437994e+00
