# c0 + a0 * ((B + SBI) * (face-area-count + face-area-avg)) + a1 * ((Ge * S) + (poly_dist_avg * P)) + a2 * ((O - NBI) * (face-area-avg - poly_dist_avg))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.604620258689016; Max AE: 3.03538700115928
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.876122801655926e-02,  8.132970681384510e+00,  2.169561016960323e+00,  3.999625982027152e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         8|5|add|34|32|add|mult; ((B + SBI) * (face-area-count + face-area-avg)); $\left(\left(B + SBI\right) \left(face-area-count + face-area-avg\right)\right)$; ((B + SBI) .* (face_sub_area_sub_count + face_sub_area_sub_avg)); ((newdata$B + newdata$SBI) * (newdata$face_sub_area_sub_count + newdata$face_sub_area_sub_avg)); B,SBI,face-area-count,face-area-avg
# 1;  2; Unitless;                                         18|10|mult|29|16|mult|add; ((Ge * S) + (poly_dist_avg * P)); $\left(\left(Ge S\right) + \left(poly_{dist, avg} P\right)\right)$; ((Ge .* S) + (poly_dist_avg .* P)); ((newdata$Ge * newdata$S) + (newdata$poly_dist_avg * newdata$P)); Ge,S,poly_dist_avg,P
# 2;  2; Unitless;                                         11|4|sub|32|29|sub|mult; ((O - NBI) * (face-area-avg - poly_dist_avg)); $\left(\left(O - NBI\right) \left(face-area-avg - poly_{dist, avg}\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg - poly_dist_avg)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg)); O,NBI,face-area-avg,poly_dist_avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  6.774572406644882e-01,  4.640602168650949e-01,  7.753620556656581e+00,  6.607395542541587e-02,  2.759477468782551e-02
s2          ,  1.967875961713064e+00,  5.984334324009433e-01,  5.778302567557120e+00,  5.107569640825448e-02,  8.314902036164412e-02
s3          , -1.271285198486554e+00, -1.210681127014293e+00,  1.145917806615625e+01,  0.000000000000000e+00, -3.791995536868227e-01
s4          , -1.922048452937919e-01, -6.064654509696362e-01,  4.023285081144570e+00,  3.910444983461126e-03, -3.510321004019648e-01
s5          ,  2.455067115358116e-01,  3.355664240859120e-01,  5.885035548828180e+00,  5.258787699542063e-02, -4.029827415537564e-02
s6          ,  1.771859120156342e-01,  6.731733105593652e-01,  7.524448970429175e+00,  8.077500691417734e-02,  6.160707149731388e-02
s7          , -1.787554844087500e-01,  2.974774674063424e-02,  9.058130966366518e+00,  0.000000000000000e+00,  1.164444582775814e-01
s8          ,  1.258527874893824e+00,  1.072863334168376e+00,  3.067099636946904e+00,  1.822916666666667e-01, -2.759887840575059e-01
s9          ,  1.207996528852184e+00,  1.206199287640875e+00,  4.022377401592324e+00,  3.505653348527699e-02,  3.676810810366626e-01
s10         , -3.778119871449526e-01,  6.363654345856007e-01,  2.896079976236991e+00,  5.078125000000000e-02,  1.038847692821709e-02
s11         ,  2.051916464504999e-01, -1.405428874502068e+00,  1.067797818077652e+01,  0.000000000000000e+00, -4.937222654199975e-01
s12         , -9.030892502610830e-01, -4.505928930908191e-01,  9.094219492202019e+00,  0.000000000000000e+00, -1.038116878930409e-01
s13         , -1.915336013610817e+00, -1.285585108700108e+00,  1.544557014719068e+01,  0.000000000000000e+00, -2.873813325792656e-01
s14         , -4.972857440368104e-01, -4.948947811169535e-01,  4.278413372840826e+00,  9.989258861439311e-02, -6.513261923875037e-01
s15         ,  9.892906044607527e-01,  7.230372661269147e-01,  7.419048949926141e+00,  3.961632479540865e-02,  2.355403569551536e-01
s16         ,  7.196956197004112e-01,  9.837000749667730e-01,  5.913404474339209e+00,  6.324570464138925e-02,  2.193876848290640e-01
s17         , -8.233048349290433e-01, -8.008974792354933e-01,  1.142080258498576e+01,  0.000000000000000e+00, -1.915372112198551e-01
s18         ,  6.436893120625885e-01,  1.107809188001209e-01,  8.631146725931684e+00,  2.033304424623780e-02,  6.403992091464092e-02
s19         ,  6.782210382119218e-01,  1.497265930702260e+00,  6.360446216452751e+00,  0.000000000000000e+00,  7.073575774449766e-01
s20         ,  1.358387811126361e-01, -9.589542111242388e-01,  6.673852900201733e+00,  0.000000000000000e+00, -4.148371404498124e-01
s21         ,  1.192439177417436e+00,  4.385453743069516e-01,  6.660423120847477e+00,  0.000000000000000e+00,  2.288765538842985e-01
s22         , -1.675888320916539e+00, -1.631887842513115e+00,  4.936500876885728e+00,  0.000000000000000e+00, -7.800705143050127e-01
s23         ,  1.682267394333138e+00,  1.737408478302836e+00,  4.687453585971853e+00,  3.433516157285768e-02,  6.363103280974765e-01
s24         , -5.344901610254715e-02,  4.839469506518221e-02,  6.633996073615044e+00,  0.000000000000000e+00,  4.820966671304395e-02
s25         ,  7.630444568978922e-01,  1.136960175966834e+00,  2.543475081143889e+00,  0.000000000000000e+00,  4.203108558111445e-01
s26         , -7.690353008448225e-01, -1.943052778135328e+00,  1.016746258730071e+01,  0.000000000000000e+00, -7.577054298873803e-01
s27         ,  1.318355805735755e-01,  4.317943415867479e-01,  3.719368227245038e+00,  1.720274834779099e-02,  6.806474721335537e-02
s28         , -1.557515501210242e+00, -1.211501377582382e+00,  5.676766058581026e+00,  9.914709958754753e-03, -6.000101429123038e-01
s29         ,  1.315402392066626e+00,  1.436165417474718e+00,  2.572676637382896e+00,  0.000000000000000e+00,  5.591468572050530e-01
s30         , -1.602536800620832e+00, -1.201509777367796e+00,  1.429732251666170e+01,  0.000000000000000e+00, -2.850212172610021e-01
s31         , -6.577868421803238e-01, -4.508509192577417e-02,  6.772631126662547e+00,  0.000000000000000e+00,  9.516553294697323e-03
s32         ,  1.122204297021453e+00,  5.095992079472872e-01,  7.881606436666097e+00,  1.339492083829990e-02,  2.501174405206945e-01
s33         ,  1.732999170998263e+00,  7.265354426259056e-01,  6.614650284033323e+00,  0.000000000000000e+00,  3.601670175417309e-01
s34         ,  1.815120104294484e+00,  6.150317024365002e-01,  3.429878553990897e+00,  1.962809917355372e-02,  1.342561966070607e-01
s35         ,  5.934117724273275e-01,  8.898714855602607e-01,  4.887752433574363e+00,  2.314021452111968e-02,  2.939756271816780e-01
s36         ,  9.702627198604924e-01,  6.541621278172612e-01,  8.206853935280179e+00,  1.010045933723146e-01, -1.361801858606032e-03
s37         ,  1.142962175227537e+00,  4.960182306255354e-01,  8.198231272273599e+00,  7.165781095709649e-02,  3.548423209120569e-02
s38         ,  2.376281988155590e-01,  6.552968094694881e-01,  3.846520468435733e+00,  0.000000000000000e+00,  2.395994757481169e-01
s39         , -9.901628269429662e-01, -1.988663570888039e-01,  1.006310416566406e+01,  0.000000000000000e+00,  4.292225204551504e-02
s40         , -6.175077579414836e-01,  2.684261205046633e-01,  5.266101531392519e+00,  7.384563150746943e-03,  7.859133415819569e-02
s41         , -6.558266813617915e-01, -2.796898682094423e-01,  6.666446175617616e+00,  0.000000000000000e+00, -1.019835068664683e-01
s42         , -1.132806252875512e-01, -1.514623730237912e-01,  3.193223529252403e+00,  2.399599426565118e-02, -2.429126047790660e-01
s43         ,  3.987508132795206e-01,  2.575058160060323e-01,  8.971679776146674e+00,  0.000000000000000e+00,  2.186833801278467e-01
s44         , -1.257042213831158e-02,  1.120638107440800e-01,  2.733735602878965e+00,  2.637119113573407e-02, -1.449140596712476e-01
s45         , -2.453536714432208e-01, -3.634142005377494e-01,  8.909297700128130e+00,  0.000000000000000e+00, -6.948988617327485e-02
s46         ,  4.319604697532172e-01,  8.771550425923965e-01,  5.377446455700272e+00,  1.367166474432911e-01, -1.221261891070327e-01
s47         , -5.858250576994644e-01, -6.971324933030681e-02,  9.060151702315281e+00,  5.848750173905307e-02, -1.485857391502637e-01
s48         , -1.351740028810569e+00, -1.365612240478448e+00,  2.941364027961514e+00,  7.742878013148284e-02, -1.010826161437994e+00
s49         ,  1.400180920836999e+00,  5.442438853246977e-01,  4.443237107128146e+00,  3.690794178006576e-02,  6.896902986346073e-02
s50         ,  6.339509690024701e-01,  6.338271237439539e-01,  3.639666598256988e+00,  1.140992751502213e-01, -2.045729922717580e-01
s51         ,  9.663578673416964e-01,  7.122650428968205e-01,  7.566826311731056e+00,  0.000000000000000e+00,  3.837673647193722e-01
s52         ,  1.470345916377529e-01,  2.372643978688848e-01,  6.762337671568038e+00,  7.487346431934137e-02, -1.413443758897853e-01
s53         , -1.879048126514940e+00, -5.274052649565586e-02,  1.048369576691578e+01,  0.000000000000000e+00,  1.236050372819112e-01
s54         ,  2.462378298792408e+00,  1.723888754301449e+00,  4.198258698406024e+00,  0.000000000000000e+00,  7.432856541604352e-01
s55         ,  2.147693442064033e-01, -2.212261885494606e-01,  4.012531240536152e+00,  1.289384438865031e-02, -2.074832033127195e-01
s56         ,  1.250856345991485e+00,  1.357216457971798e+00,  2.771390997304307e+00,  2.327402042711730e-02,  4.418088151441026e-01
s57         ,  3.470878239384724e-01,  6.593769408980485e-01,  9.349051285295404e+00,  0.000000000000000e+00,  4.158751852603635e-01
s58         ,  2.650904256602346e+00,  3.508136723500617e-01,  6.768648635501521e+00,  0.000000000000000e+00,  1.918690753949199e-01
s59         ,  2.436955679659398e-02,  1.818485765104114e-01,  3.645463475948779e+00,  0.000000000000000e+00,  1.500419824516244e-02
s60         , -1.350996154759193e+00, -1.199049958512627e+00,  3.825731905145209e+00,  1.210986689627925e-02, -6.611658828973916e-01
s61         , -1.175408395594881e+00, -5.464761357825294e-01,  3.490441267088303e+00,  2.124572295887202e-02, -4.052536624675077e-01
s62         ,  5.137509822735412e-02, -5.503818333948726e-02,  4.953853265279980e+00,  3.071961654717413e-03, -6.423046901677058e-02
s63         ,  1.630781368412474e+00,  1.259720642347443e+00,  4.185907022135331e+00,  4.807337044085762e-02,  3.487372943578736e-01
s64         , -7.346563779561162e-02,  1.341502429868418e+00,  4.387277020171577e+00,  0.000000000000000e+00,  5.730257768750585e-01
s65         ,  6.477994742971301e-01,  9.870768365360119e-01,  5.350064769742783e+00,  4.999911626302845e-02,  2.527469432387128e-01
s66         ,  1.102507059534665e+00,  5.095213147586526e-01,  5.311070336254152e+00,  0.000000000000000e+00,  2.188251131209256e-01
s67         , -2.689254974131806e-01, -4.428772585749916e-02,  9.864440215704340e+00,  0.000000000000000e+00,  1.078746792728848e-01
s68         ,  1.634793292022643e+00,  1.011896558181613e+00,  4.015968299149804e+00,  0.000000000000000e+00,  4.093348216351421e-01
s69         ,  3.008420412735001e-01,  8.597499639622533e-01,  6.155619631477180e+00,  0.000000000000000e+00,  4.070202791806976e-01
s70         ,  4.428344099007711e-01,  9.114059229305946e-02,  8.040426625194979e+00,  0.000000000000000e+00,  1.124870887280758e-01
s71         , -2.587880550234566e-02, -2.619065063170739e-01,  1.958091499798177e+00,  2.400549642251538e-02, -3.330002343209004e-01
s72         ,  3.320850724266521e-01,  1.045174885090614e+00,  6.094513231736167e+00,  1.802754474538011e-02,  4.229708225857677e-01
s73         , -1.001377721869569e+00, -6.966525830486979e-01,  1.651569222494987e+01,  0.000000000000000e+00,  1.798709387503419e-02
