# c0 + a0 * ((O + E_T) - (face-area-avg - O))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.414863982552777; Max AE: 2.22007858854592
# Coefficients
# Task   a0                      c0
# all , -6.706682413855657e-01, -1.126485202249890e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         12|0|add|33|12|sub|sub; ((O + E_T) - (face-area-avg - O)); $\left(\left(O + E_{T}\right) - \left(face-area-avg - O\right)\right)$; ((O + E_T) - (face_sub_area_sub_avg - O)); ((newdata$O + newdata$E_T) - (newdata$face_sub_area_sub_avg - newdata$O)); O,E_T,face-area-avg,O
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.200693827740425e+01,  1.601698961130582e+01
s2          , -2.298888400764099e+01, -2.297374651616129e+01,  1.745854920679175e+01
s3          , -1.755271246623431e+01, -1.780931379658683e+01,  9.758120886367621e+00
s4          , -1.917258847351942e+01, -1.903810246158769e+01,  1.159030644276470e+01
s5          , -2.000094091703784e+01, -2.043629314456632e+01,  1.367507890804506e+01
s6          , -2.179532463031582e+01, -2.145974264367409e+01,  1.520109346480024e+01
s7          , -2.156980503382011e+01, -2.109729308274822e+01,  1.466066298284231e+01
s8          , -2.070680399014268e+01, -2.093076861391441e+01,  1.441236664411934e+01
s9          , -2.311678210871720e+01, -2.289001928613601e+01,  1.733370770564612e+01
s10         , -1.955558688693647e+01, -1.941938454621431e+01,  1.215881716251923e+01
s11         , -1.929232032084748e+01, -1.945570189947045e+01,  1.221296815851855e+01
s12         , -1.972420304545977e+01, -1.867692994713317e+01,  1.105178010117387e+01
s13         , -1.649771434553038e+01, -1.711709873614103e+01,  8.725993497994907e+00
s14         , -1.814284237715737e+01, -1.833927639441356e+01,  1.054832171163982e+01
s15         , -2.140988745272463e+01, -2.134800315812661e+01,  1.503448428510114e+01
s16         , -2.271802967642396e+01, -2.243602233011306e+01,  1.665677546402839e+01
s17         , -1.845283706311921e+01, -1.859474677101032e+01,  1.092924086187268e+01
s18         , -2.106370881996578e+01, -2.126152256196471e+01,  1.490553737689026e+01
s19         , -2.166440903696862e+01, -2.218723807169873e+01,  1.628582565149461e+01
s20         , -1.957524373940041e+01, -1.932860745594375e+01,  1.202346396600733e+01
s21         , -2.230012329283520e+01, -2.238262999014735e+01,  1.657716480607416e+01
s22         , -1.709175230426198e+01, -1.661915238539276e+01,  7.983530503594674e+00
s23         , -2.271630669020732e+01, -2.315284136133184e+01,  1.772558860737609e+01
s24         , -1.997593461761007e+01, -2.028319245694973e+01,  1.344679810068151e+01
s25         , -2.228124530569044e+01, -2.259432958024309e+01,  1.689281951734896e+01
s26         , -1.806502239865187e+01, -1.768598182532422e+01,  9.574226728791565e+00
s27         , -2.017409009594002e+01, -2.026966664222519e+01,  1.342663043224294e+01
s28         , -1.658938425028538e+01, -1.718153220087145e+01,  8.822067026983406e+00
s29         , -2.262132344831001e+01, -2.322184813309780e+01,  1.782848116662922e+01
s30         , -1.697997334312175e+01, -1.752348476491205e+01,  9.331935458108376e+00
s31         , -1.964904728113367e+01, -1.923880735543515e+01,  1.188956751025286e+01
s32         , -2.151059652715050e+01, -2.149047694587307e+01,  1.524691985153279e+01
s33         , -2.289264810431292e+01, -2.357963166216962e+01,  1.836195436096546e+01
s34         , -2.302504917991390e+01, -2.225727673560242e+01,  1.639025681370232e+01
s35         , -2.244061385591441e+01, -2.238050271728816e+01,  1.657399293550101e+01
s36         , -2.239655424600443e+01, -2.161039075085791e+01,  1.542571735167550e+01
s37         , -2.226102540809307e+01, -2.197605343946385e+01,  1.597093876822937e+01
s38         , -2.102436377352775e+01, -2.087032103340790e+01,  1.432223626850825e+01
s39         , -2.141661104833067e+01, -2.019544658331686e+01,  1.331596460027362e+01
s40         , -1.990275935468409e+01, -1.924570154590688e+01,  1.189984709417575e+01
s41         , -1.952311408648237e+01, -1.889331674844941e+01,  1.137442367956846e+01
s42         , -1.862175379272403e+01, -1.932298010405384e+01,  1.201507330197605e+01
s43         , -2.257821044890805e+01, -2.199672542563688e+01,  1.600176173687080e+01
s44         , -1.984867902879579e+01, -1.963809491320237e+01,  1.248492529391996e+01
s45         , -1.928264199244582e+01, -1.955745336072530e+01,  1.236468469282864e+01
s46         , -2.007096062658339e+01, -2.029455129450261e+01,  1.346373469742479e+01
s47         , -1.842882744186564e+01, -1.896503488871369e+01,  1.148135902530081e+01
s48         , -1.712958329507449e+01, -1.675295576513300e+01,  8.183038056634327e+00
s49         , -2.142142340445580e+01, -2.200878520434421e+01,  1.601974347204649e+01
s50         , -2.022197746600499e+01, -2.027812382861947e+01,  1.343924052151272e+01
s51         , -2.208446385448407e+01, -2.254522635559690e+01,  1.681960414555090e+01
s52         , -2.030062191637932e+01, -2.007984528344712e+01,  1.314359726164594e+01
s53         , -1.881589086732163e+01, -1.852605973999729e+01,  1.082682505212579e+01
s54         , -2.389190768082197e+01, -2.448985321508144e+01,  1.971914036850824e+01
s55         , -1.989931101552115e+01, -1.976523174479639e+01,  1.267449268916647e+01
s56         , -2.293632659980805e+01, -2.315177028719675e+01,  1.772399158209742e+01
s57         , -2.165250835772914e+01, -2.178692385652343e+01,  1.568893707011752e+01
s58         , -2.493828100106786e+01, -2.486337040638937e+01,  2.027607324270587e+01
s59         , -2.019609135900962e+01, -1.990250578386968e+01,  1.287917516941884e+01
s60         , -1.686951544328429e+01, -1.731291037713113e+01,  9.017958479944200e+00
s61         , -1.698686520707895e+01, -1.783873252455267e+01,  9.801985685907047e+00
s62         , -1.961666852236879e+01, -1.983759810102652e+01,  1.278239455742943e+01
s63         , -2.363642228074260e+01, -2.324524205235534e+01,  1.786336267407798e+01
s64         , -2.123215125329894e+01, -2.138366623415713e+01,  1.508765972092742e+01
s65         , -2.229595939650926e+01, -2.202302580103331e+01,  1.604097691625978e+01
s66         , -2.209517036440609e+01, -2.188408174226859e+01,  1.583380435285099e+01
s67         , -2.100952424313996e+01, -2.070676312643496e+01,  1.407836322237289e+01
s68         , -2.306714632630091e+01, -2.304235808481791e+01,  1.756085249837877e+01
s69         , -2.116954741071400e+01, -2.147801572389428e+01,  1.522833954429618e+01
s70         , -2.268552320802911e+01, -2.165338808677603e+01,  1.548982853700505e+01
s71         , -1.844586653395837e+01, -1.930377566918769e+01,  1.198643852597045e+01
s72         , -2.185924535832699e+01, -2.165464380970592e+01,  1.549170088290187e+01
s73         , -1.814705961150877e+01, -1.866598142014817e+01,  1.103545529807542e+01
