# c0 + a0 * ((O / NBI) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.422963659337319; Max AE: 2.2734630789025
# Coefficients
# Task   a0                      c0
# all , -6.847120066844715e-01, -1.112505712027401e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         12|5|div|33|0|sub|sub; ((O / NBI) - (face-area-avg - E_T)); $\left(\left(\frac{ O }{ NBI } \right) - \left(face-area-avg - E_{T}\right)\right)$; ((O ./ NBI) - (face_sub_area_sub_avg - E_T)); ((newdata$O / newdata$NBI) - (newdata$face_sub_area_sub_avg - newdata$E_T)); O,NBI,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.188392399449275e+01,  1.571298117921953e+01
s2          , -2.298888400764099e+01, -2.293166460236582e+01,  1.724317284760646e+01
s3          , -1.755271246623431e+01, -1.780655965384844e+01,  9.758120886367621e+00
s4          , -1.917258847351942e+01, -1.906107910278739e+01,  1.159030644276470e+01
s5          , -2.000094091703784e+01, -2.035572322682321e+01,  1.348109280461743e+01
s6          , -2.179532463031582e+01, -2.131535002779494e+01,  1.488259707444683e+01
s7          , -2.156980503382011e+01, -2.105818014723464e+01,  1.450700868392688e+01
s8          , -2.070680399014268e+01, -2.099337760624131e+01,  1.441236664411934e+01
s9          , -2.311678210871720e+01, -2.282069407268457e+01,  1.708110393600872e+01
s10         , -1.955558688693647e+01, -1.945034521853215e+01,  1.215881716251923e+01
s11         , -1.929232032084748e+01, -1.948742305566680e+01,  1.221296815851855e+01
s12         , -1.972420304545977e+01, -1.871885693301071e+01,  1.109050190240941e+01
s13         , -1.649771434553038e+01, -1.709984963860176e+01,  8.725993497994907e+00
s14         , -1.814284237715737e+01, -1.834761964660429e+01,  1.054832171163982e+01
s15         , -2.140988745272463e+01, -2.141934902459177e+01,  1.503448428510114e+01
s16         , -2.271802967642396e+01, -2.232382362212552e+01,  1.635544052466443e+01
s17         , -1.845283706311921e+01, -1.860843956234478e+01,  1.092924086187268e+01
s18         , -2.106370881996578e+01, -2.131246307009315e+01,  1.487838076500051e+01
s19         , -2.166440903696862e+01, -2.216169518002538e+01,  1.611865711716263e+01
s20         , -1.957524373940041e+01, -1.935766725973732e+01,  1.202346396600733e+01
s21         , -2.230012329283520e+01, -2.245862710339848e+01,  1.655231670027833e+01
s22         , -1.709175230426198e+01, -1.659147631181701e+01,  7.983530503594674e+00
s23         , -2.271630669020732e+01, -2.312186812057958e+01,  1.752095900639571e+01
s24         , -1.997593461761007e+01, -2.022449233332281e+01,  1.328943427925310e+01
s25         , -2.228124530569044e+01, -2.256515233552549e+01,  1.670789339688517e+01
s26         , -1.806502239865187e+01, -1.768064511619699e+01,  9.574226728791565e+00
s27         , -2.017409009594002e+01, -2.031903364782551e+01,  1.342750884721707e+01
s28         , -1.658938425028538e+01, -1.716563233742473e+01,  8.822067026983406e+00
s29         , -2.262132344831001e+01, -2.319531134838387e+01,  1.762822049310443e+01
s30         , -1.697997334312175e+01, -1.751474537404537e+01,  9.331935458108376e+00
s31         , -1.964904728113367e+01, -1.928711154434379e+01,  1.192041959887963e+01
s32         , -2.151059652715050e+01, -2.156480620757434e+01,  1.524691985153279e+01
s33         , -2.289264810431292e+01, -2.359851794844582e+01,  1.821709084461814e+01
s34         , -2.302504917991390e+01, -2.234766275325796e+01,  1.639025681370232e+01
s35         , -2.244061385591441e+01, -2.229771250919413e+01,  1.631730607882957e+01
s36         , -2.239655424600443e+01, -2.148542006583022e+01,  1.513097892897102e+01
s37         , -2.226102540809307e+01, -2.188762180557018e+01,  1.571838171410329e+01
s38         , -2.102436377352775e+01, -2.092662472533472e+01,  1.431487619520809e+01
s39         , -2.141661104833067e+01, -2.022073856604868e+01,  1.328395202213261e+01
s40         , -1.990275935468409e+01, -1.927302530336546e+01,  1.189984709417575e+01
s41         , -1.952311408648237e+01, -1.891326158279070e+01,  1.137442367956846e+01
s42         , -1.862175379272403e+01, -1.935192207133105e+01,  1.201507330197605e+01
s43         , -2.257821044890805e+01, -2.199772205518541e+01,  1.587917960948175e+01
s44         , -1.984867902879579e+01, -1.967363537157966e+01,  1.248492529391996e+01
s45         , -1.928264199244582e+01, -1.959267433638896e+01,  1.236668428981850e+01
s46         , -2.007096062658339e+01, -2.035833256261971e+01,  1.348490365614484e+01
s47         , -1.842882744186564e+01, -1.898648149795260e+01,  1.148135902530081e+01
s48         , -1.712958329507449e+01, -1.672808152880750e+01,  8.183038056634327e+00
s49         , -2.142142340445580e+01, -2.197288644049697e+01,  1.584290798806139e+01
s50         , -2.022197746600499e+01, -2.032706646607425e+01,  1.343924052151272e+01
s51         , -2.208446385448407e+01, -2.252479416329405e+01,  1.664895157632785e+01
s52         , -2.030062191637932e+01, -1.995852701834313e+01,  1.290100043789615e+01
s53         , -1.881589086732163e+01, -1.845330569984543e+01,  1.070267281430690e+01
s54         , -2.389190768082197e+01, -2.449876210587770e+01,  1.953186866163214e+01
s55         , -1.989931101552115e+01, -1.980343444318085e+01,  1.267449268916647e+01
s56         , -2.293632659980805e+01, -2.309825801633567e+01,  1.748647720380802e+01
s57         , -2.165250835772914e+01, -2.174515875821947e+01,  1.551031898705904e+01
s58         , -2.493828100106786e+01, -2.485406068118826e+01,  2.005077087430254e+01
s59         , -2.019609135900962e+01, -1.994358299496761e+01,  1.287917516941884e+01
s60         , -1.686951544328429e+01, -1.729976156727385e+01,  9.017958479944200e+00
s61         , -1.698686520707895e+01, -1.783659440876389e+01,  9.801985685907047e+00
s62         , -1.961666852236879e+01, -1.987731614792418e+01,  1.278239455742943e+01
s63         , -2.363642228074260e+01, -2.318861544405843e+01,  1.761844133886137e+01
s64         , -2.123215125329894e+01, -2.134588755973564e+01,  1.492719616376113e+01
s65         , -2.229595939650926e+01, -2.199583699278914e+01,  1.587642653610511e+01
s66         , -2.209517036440609e+01, -2.187811846667741e+01,  1.570450239140996e+01
s67         , -2.100952424313996e+01, -2.061243625880969e+01,  1.385601398239779e+01
s68         , -2.306714632630091e+01, -2.303463553508499e+01,  1.739355860353584e+01
s69         , -2.116954741071400e+01, -2.141385008157086e+01,  1.502645325458434e+01
s70         , -2.268552320802911e+01, -2.158255968095956e+01,  1.527284823194954e+01
s71         , -1.844586653395837e+01, -1.933231549639130e+01,  1.198643852597045e+01
s72         , -2.185924535832699e+01, -2.159576348365164e+01,  1.529213196374214e+01
s73         , -1.814705961150877e+01, -1.868116586209602e+01,  1.103545529807542e+01
s74         , -2.269683109870329e+01, -2.354031395199863e+01,  1.813208576820795e+01
s75         , -2.162544692540680e+01, -2.117334710000405e+01,  1.467520633731267e+01
s76         , -1.799713371423827e+01, -1.874301558660433e+01,  1.112578484378881e+01
s77         , -1.808839931225978e+01, -1.790824121974116e+01,  9.906623563259599e+00
s78         , -1.710463489071706e+01, -1.747988050109173e+01,  9.281016425561447e+00
s79         , -2.130172009097587e+01, -2.121734629095165e+01,  1.473946574932540e+01
