# c0 + a0 * ((O + E_T) - (face-area-avg - SBI))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.428466400916644; Max AE: 2.30879350516732
# Coefficients
# Task   a0                      c0
# all , -6.870863643844529e-01, -1.103420332554023e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         12|0|add|33|6|sub|sub; ((O + E_T) - (face-area-avg - SBI)); $\left(\left(O + E_{T}\right) - \left(face-area-avg - SBI\right)\right)$; ((O + E_T) - (face_sub_area_sub_avg - SBI)); ((newdata$O + newdata$E_T) - (newdata$face_sub_area_sub_avg - newdata$SBI)); O,E_T,face-area-avg,SBI
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.182600990172331e+01,  1.570662311986244e+01
s2          , -2.298888400764099e+01, -2.284548221268450e+01,  1.719038464360410e+01
s3          , -1.755271246623431e+01, -1.785638469572835e+01,  9.929146791175191e+00
s4          , -1.917258847351942e+01, -1.906426137551676e+01,  1.168711601076598e+01
s5          , -2.000094091703784e+01, -2.026376757684045e+01,  1.343290265928768e+01
s6          , -2.179532463031582e+01, -2.127600818352289e+01,  1.490613900795148e+01
s7          , -2.156980503382011e+01, -2.102224322135897e+01,  1.453680412471411e+01
s8          , -2.070680399014268e+01, -2.099034612886788e+01,  1.449038042291403e+01
s9          , -2.311678210871720e+01, -2.279330979791075e+01,  1.711445180971575e+01
s10         , -1.955558688693647e+01, -1.945225661658159e+01,  1.225181247568918e+01
s11         , -1.929232032084748e+01, -1.961190038534322e+01,  1.248416138702967e+01
s12         , -1.972420304545977e+01, -1.875236603844812e+01,  1.123317695268547e+01
s13         , -1.649771434553038e+01, -1.708788357744911e+01,  8.810654039586783e+00
s14         , -1.814284237715737e+01, -1.834796873316997e+01,  1.064460857723759e+01
s15         , -2.140988745272463e+01, -2.156128738092775e+01,  1.532134037446446e+01
s16         , -2.271802967642396e+01, -2.231796124732329e+01,  1.642261949397286e+01
s17         , -1.845283706311921e+01, -1.874928271373577e+01,  1.122868941680617e+01
s18         , -2.106370881996578e+01, -2.121525184232989e+01,  1.481771294633486e+01
s19         , -2.166440903696862e+01, -2.223139779815665e+01,  1.629663322259024e+01
s20         , -1.957524373940041e+01, -1.935617365399124e+01,  1.211197130350054e+01
s21         , -2.230012329283520e+01, -2.245097799480858e+01,  1.661621487641720e+01
s22         , -1.709175230426198e+01, -1.656806399034585e+01,  8.054097638458147e+00
s23         , -2.271630669020732e+01, -2.316728940340379e+01,  1.765874962273972e+01
s24         , -1.997593461761007e+01, -2.017346648342033e+01,  1.330147654155208e+01
s25         , -2.228124530569044e+01, -2.264823331579870e+01,  1.690330443489917e+01
s26         , -1.806502239865187e+01, -1.768613309476753e+01,  9.681359016907047e+00
s27         , -2.017409009594002e+01, -2.026745478807347e+01,  1.343826910435798e+01
s28         , -1.658938425028538e+01, -1.718735982750400e+01,  8.955433873987968e+00
s29         , -2.262132344831001e+01, -2.325490370623643e+01,  1.778626532873270e+01
s30         , -1.697997334312175e+01, -1.751849310359218e+01,  9.437372234655101e+00
s31         , -1.964904728113367e+01, -1.928790441760482e+01,  1.201261081561256e+01
s32         , -2.151059652715050e+01, -2.171156977398507e+01,  1.554006454197425e+01
s33         , -2.289264810431292e+01, -2.358169897577945e+01,  1.826189006309312e+01
s34         , -2.302504917991390e+01, -2.240157888608503e+01,  1.654431837070237e+01
s35         , -2.244061385591441e+01, -2.231997162458501e+01,  1.642554543948121e+01
s36         , -2.239655424600443e+01, -2.138758850055757e+01,  1.506853535696744e+01
s37         , -2.226102540809307e+01, -2.178784305862921e+01,  1.565107429067225e+01
s38         , -2.102436377352775e+01, -2.093774786929914e+01,  1.441382780552092e+01
s39         , -2.141661104833067e+01, -2.017357284445041e+01,  1.330163134164067e+01
s40         , -1.990275935468409e+01, -1.934335276267621e+01,  1.209331150761518e+01
s41         , -1.952311408648237e+01, -1.897783304498617e+01,  1.156132639389880e+01
s42         , -1.862175379272403e+01, -1.934484135195205e+01,  1.209547803187326e+01
s43         , -2.257821044890805e+01, -2.204966565653442e+01,  1.603213642707453e+01
s44         , -1.984867902879579e+01, -1.964338542935637e+01,  1.252998538477610e+01
s45         , -1.928264199244582e+01, -1.957569831953941e+01,  1.243147213618674e+01
