# c0 + a0 * ((S - E_T) + (face-area-avg - O))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.42915000724983; Max AE: 2.31191443485351
# Coefficients
# Task   a0                      c0
# all ,  6.737411348953408e-01, -1.152936900044177e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         11|0|sub|33|12|sub|add; ((S - E_T) + (face-area-avg - O)); $\left(\left(S - E_{T}\right) + \left(face-area-avg - O\right)\right)$; ((S - E_T) + (face_sub_area_sub_avg - O)); ((newdata$S - newdata$E_T) + (newdata$face_sub_area_sub_avg - newdata$O)); S,E_T,face-area-avg,O
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.189528245827022e+01, -1.538560274999195e+01
s2          , -2.298888400764099e+01, -2.297665175390832e+01, -1.699062467848987e+01
s3          , -1.755271246623431e+01, -1.789876479111826e+01, -9.453773060280664e+00
s4          , -1.917258847351942e+01, -1.891935496082268e+01, -1.096858359632275e+01
s5          , -2.000094091703784e+01, -2.046815310565867e+01, -1.326738660035275e+01
s6          , -2.179532463031582e+01, -2.135438293309297e+01, -1.458277285411321e+01
s7          , -2.156980503382011e+01, -2.106553811544137e+01, -1.415405505332690e+01
s8          , -2.070680399014268e+01, -2.081848505046890e+01, -1.378736664411934e+01
s9          , -2.311678210871720e+01, -2.289229285832959e+01, -1.686541502271929e+01
s10         , -1.955558688693647e+01, -1.944755693845119e+01, -1.175256716251923e+01
s11         , -1.929232032084748e+01, -1.948099241030160e+01, -1.180219374774414e+01
s12         , -1.972420304545977e+01, -1.859716723128617e+01, -1.049037659240194e+01
s13         , -1.649771434553038e+01, -1.711584895130213e+01, -8.291730549787735e+00
s14         , -1.814284237715737e+01, -1.834746104101372e+01, -1.011975028306839e+01
s15         , -2.140988745272463e+01, -2.141214414145008e+01, -1.466850490365784e+01
s16         , -2.271802967642396e+01, -2.237609821679165e+01, -1.609925334013459e+01
s17         , -1.845283706311921e+01, -1.859552917990168e+01, -1.048794531531398e+01
s18         , -2.106370881996578e+01, -2.117536126037177e+01, -1.431706001063511e+01
s19         , -2.166440903696862e+01, -2.229567794051896e+01, -1.597988957843525e+01
s20         , -1.957524373940041e+01, -1.927056511909938e+01, -1.148986712806266e+01
s21         , -2.230012329283520e+01, -2.238271863943120e+01, -1.610907969969118e+01
