# c0 + a0 * ((O * WE) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.403250743674662; Max AE: 2.02103754332069
# Coefficients
# Task   a0                      c0
# all , -6.562881103146995e-01, -1.139387625831728e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         12|8|mult|33|0|sub|sub; ((O * WE) - (face-area-avg - E_T)); $\left(\left(O WE\right) - \left(face-area-avg - E_{T}\right)\right)$; ((O .* WE) - (face_sub_area_sub_avg - E_T)); ((newdata$O * newdata$WE) - (newdata$face_sub_area_sub_avg - newdata$E_T)); O,WE,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.223953802081343e+01,  1.652576298737988e+01
s2          , -2.298888400764099e+01, -2.305159170760041e+01,  1.776310627308651e+01
s3          , -1.755271246623431e+01, -1.779801497493643e+01,  9.758120886188646e+00
s4          , -1.917258847351942e+01, -1.900045657146872e+01,  1.159030644255308e+01
s5          , -2.000094091703784e+01, -2.052553226741692e+01,  1.391409636344149e+01
s6          , -2.179532463031582e+01, -2.167504711786906e+01,  1.566563632338520e+01
s7          , -2.156980503382011e+01, -2.119453668513910e+01,  1.493347246855083e+01
s8          , -2.070680399014268e+01, -2.085254112818127e+01,  1.441236664386382e+01
s9          , -2.311678210871720e+01, -2.288607506835689e+01,  1.751090508790254e+01
s10         , -1.955558688693647e+01, -1.937356339743376e+01,  1.215881716231323e+01
s11         , -1.929232032084748e+01, -1.940910205225823e+01,  1.221296815829490e+01
s12         , -1.972420304545977e+01, -1.865166396654762e+01,  1.105884381289511e+01
s13         , -1.649771434553038e+01, -1.712064204163004e+01,  8.725993497835416e+00
s14         , -1.814284237715737e+01, -1.831661438130806e+01,  1.054832171143743e+01
s15         , -2.140988745272463e+01, -2.126082953918000e+01,  1.503448428485377e+01
s16         , -2.271802967642396e+01, -2.252355664901795e+01,  1.695852814606657e+01
s17         , -1.845283706311921e+01, -1.856660709060354e+01,  1.092924086168015e+01
s18         , -2.106370881996578e+01, -2.127770430948536e+01,  1.506019672736208e+01
s19         , -2.166440903696862e+01, -2.221057978068223e+01,  1.648163870769834e+01
s20         , -1.957524373940041e+01, -1.928473270385971e+01,  1.202346396578578e+01
s21         , -2.230012329283520e+01, -2.229720361698688e+01,  1.661362926937882e+01
s22         , -1.709175230426198e+01, -1.663337240605176e+01,  7.983530503427941e+00
s23         , -2.271630669020732e+01, -2.317461134653098e+01,  1.795055388488552e+01
s24         , -1.997593461761007e+01, -2.033180664636608e+01,  1.361891255924617e+01
s25         , -2.228124530569044e+01, -2.252532309790205e+01,  1.696121972139201e+01
s26         , -1.806502239865187e+01, -1.767732742575295e+01,  9.574226728597395e+00
s27         , -2.017409009594002e+01, -2.021683106341382e+01,  1.344372184476389e+01
s28         , -1.658938425028538e+01, -1.718369395641406e+01,  8.822067026813091e+00
s29         , -2.262132344831001e+01, -2.314151086739070e+01,  1.790011798848568e+01
s30         , -1.697997334312175e+01, -1.751831454558708e+01,  9.331935457939423e+00
