# c0 + a0 * ((Al + O) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.426789838892687; Max AE: 2.36510559251668
# Coefficients
# Task   a0                      c0
# all , -7.056532899555054e-01, -1.090344488662656e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         15|12|add|33|0|sub|sub; ((Al + O) - (face-area-avg - E_T)); $\left(\left(Al + O\right) - \left(face-area-avg - E_{T}\right)\right)$; ((Al + O) - (face_sub_area_sub_avg - E_T)); ((newdata$Al + newdata$O) - (newdata$face_sub_area_sub_avg - newdata$E_T)); Al,O,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.176034608493895e+01,  1.538560274975401e+01
s2          , -2.298888400764099e+01, -2.289293508920669e+01,  1.699062467821289e+01
s3          , -1.755271246623431e+01, -1.786599643830949e+01,  9.866816538362558e+00
s4          , -1.917258847351942e+01, -1.908218275940663e+01,  1.159030644255308e+01
s5          , -2.000094091703784e+01, -2.026561989011839e+01,  1.326738660012788e+01
s6          , -2.179532463031582e+01, -2.119382652764817e+01,  1.458277285389041e+01
s7          , -2.156980503382011e+01, -2.100010156912322e+01,  1.430824007514130e+01
s8          , -2.070680399014268e+01, -2.107357882491406e+01,  1.441236664386382e+01
s9          , -2.311678210871720e+01, -2.280458048369420e+01,  1.686541502246530e+01
s10         , -1.955558688693647e+01, -1.948335421918035e+01,  1.215881716231323e+01
s11         , -1.929232032084748e+01, -1.952156604764919e+01,  1.221296815829490e+01
s12         , -1.972420304545977e+01, -1.890643793236924e+01,  1.134125378519428e+01
s13         , -1.649771434553038e+01, -1.706097090650447e+01,  8.725993497835416e+00
s14         , -1.814284237715737e+01, -1.834690280581147e+01,  1.054832171143743e+01
s15         , -2.140988745272463e+01, -2.151257818501797e+01,  1.503448428485377e+01
