# c0 + a0 * ((O + E_T) - (face-area-avg - poly_dist_avg_fixed))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.434154724876225; Max AE: 2.38785762322882
# Coefficients
# Task   a0                      c0
# all , -6.844762315576793e-01, -1.108541860575806e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         12|0|add|33|31|sub|sub; ((O + E_T) - (face-area-avg - poly_dist_avg_fixed)); $\left(\left(O + E_{T}\right) - \left(face-area-avg - poly_{dist, avg, fixed}\right)\right)$; ((O + E_T) - (face_sub_area_sub_avg - poly_dist_avg_fixed)); ((newdata$O + newdata$E_T) - (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg_fixed)); O,E_T,face-area-avg,poly_dist_avg_fixed
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.188015625682877e+01,  1.577079985159580e+01
s2          , -2.298888400764099e+01, -2.297244253935247e+01,  1.736659855455143e+01
s3          , -1.755271246623431e+01, -1.781989304320106e+01,  9.838872596229072e+00
s4          , -1.917258847351942e+01, -1.909811387931995e+01,  1.170631631039576e+01
s5          , -2.000094091703784e+01, -2.041567147561022e+01,  1.363122989474606e+01
s6          , -2.179532463031582e+01, -2.132565154931141e+01,  1.496068449338174e+01
s7          , -2.156980503382011e+01, -2.100961766148669e+01,  1.449896811339070e+01
s8          , -2.070680399014268e+01, -2.101378252048092e+01,  1.450505285205980e+01
s9          , -2.311678210871720e+01, -2.288829167167312e+01,  1.724365656796434e+01
s10         , -1.955558688693647e+01, -1.947036606459474e+01,  1.225016599883220e+01
s11         , -1.929232032084748e+01, -1.951249495675727e+01,  1.231171509319104e+01
s12         , -1.972420304545977e+01, -1.867776978567747e+01,  1.109220573319443e+01
s13         , -1.649771434553038e+01, -1.711978139894218e+01,  8.816029709974835e+00
s14         , -1.814284237715737e+01, -1.836238542290236e+01,  1.063143829053629e+01
s15         , -2.140988745272463e+01, -2.144097079447859e+01,  1.512916257903382e+01
s16         , -2.271802967642396e+01, -2.236243752158370e+01,  1.647539884644679e+01
s17         , -1.845283706311921e+01, -1.864408191260880e+01,  1.104298872387329e+01
s18         , -2.106370881996578e+01, -2.117009275688365e+01,  1.473341759168999e+01
s19         , -2.166440903696862e+01, -2.223088967205794e+01,  1.628321123866618e+01
s20         , -1.957524373940041e+01, -1.938632964272246e+01,  1.212739121426292e+01
s21         , -2.230012329283520e+01, -2.232745435741549e+01,  1.642428945424978e+01
s22         , -1.709175230426198e+01, -1.660929115473901e+01,  8.070218211098627e+00
