# c0 + a0 * ((WE / RBI) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.434980423994802; Max AE: 1.80810505982579
# Coefficients
# Task   a0                      c0
# all , -6.819275958768133e-01, -1.076154878766345e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         8|7|div|33|0|sub|sub; ((WE / RBI) - (face-area-avg - E_T)); $\left(\left(\frac{ WE }{ RBI } \right) - \left(face-area-avg - E_{T}\right)\right)$; ((WE ./ RBI) - (face_sub_area_sub_avg - E_T)); ((newdata$WE / newdata$RBI) - (newdata$face_sub_area_sub_avg - newdata$E_T)); WE,RBI,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.175556178233015e+01,  1.612196523669166e+01
s2          , -2.298888400764099e+01, -2.258483619848366e+01,  1.733803923218269e+01
s3          , -1.755271246623431e+01, -1.795462165275359e+01,  1.054814749920977e+01
s4          , -1.917258847351942e+01, -1.902462129709883e+01,  1.211722851428359e+01
s5          , -2.000094091703784e+01, -1.997585729208679e+01,  1.351215079157444e+01
s6          , -2.179532463031582e+01, -2.118517607990312e+01,  1.528553376526303e+01
s7          , -2.156980503382011e+01, -2.119229727407606e+01,  1.529597650759521e+01
s8          , -2.070680399014268e+01, -2.088007323983711e+01,  1.483812139786394e+01
s9          , -2.311678210871720e+01, -2.253314455359604e+01,  1.726223698396723e+01
s10         , -1.955558688693647e+01, -1.931012328478847e+01,  1.253589757741564e+01
s11         , -1.929232032084748e+01, -2.000899178437516e+01,  1.356074024958833e+01
s12         , -1.972420304545977e+01, -1.915806396066713e+01,  1.231291301858455e+01
s13         , -1.649771434553038e+01, -1.701633986343924e+01,  9.172221675137619e+00
s14         , -1.814284237715737e+01, -1.827886840487558e+01,  1.102363309926836e+01
s15         , -2.140988745272463e+01, -2.175342870526543e+01,  1.611883722562770e+01
s16         , -2.271802967642396e+01, -2.217775650371468e+01,  1.674108480882405e+01
s17         , -1.845283706311921e+01, -1.917154235077192e+01,  1.233267815228244e+01
s18         , -2.106370881996578e+01, -2.128147695363139e+01,  1.542675238482108e+01
s19         , -2.166440903696862e+01, -2.227894152042141e+01,  1.688946568872763e+01
s20         , -1.957524373940041e+01, -1.929022029378515e+01,  1.250671120759623e+01
s21         , -2.230012329283520e+01, -2.262337378361581e+01,  1.739455195488986e+01
s22         , -1.709175230426198e+01, -1.644860367345740e+01,  8.339675531801298e+00
s23         , -2.271630669020732e+01, -2.304235855164812e+01,  1.800896435081817e+01
s24         , -1.997593461761007e+01, -1.998930701118892e+01,  1.353187388121541e+01
s25         , -2.228124530569044e+01, -2.272008334361878e+01,  1.753636988481044e+01
s26         , -1.806502239865187e+01, -1.767883959201050e+01,  1.014373204160024e+01
s27         , -2.017409009594002e+01, -2.012017530032210e+01,  1.372378324215704e+01
s28         , -1.658938425028538e+01, -1.721243894659474e+01,  9.459787516938395e+00
s29         , -2.262132344831001e+01, -2.317242861225272e+01,  1.819970316442691e+01
s30         , -1.697997334312175e+01, -1.747559844722042e+01,  9.845692856767492e+00
s31         , -1.964904728113367e+01, -1.940855752740547e+01,  1.268024463597754e+01
s32         , -2.151059652715050e+01, -2.193832277769329e+01,  1.638997168850293e+01
s33         , -2.289264810431292e+01, -2.352560325461807e+01,  1.871760952941459e+01
s34         , -2.302504917991390e+01, -2.237610725760697e+01,  1.703195257116656e+01
s35         , -2.244061385591441e+01, -2.226012380281682e+01,  1.686187079783545e+01
