# c0 + a0 * ((B + NBI) - (poly_dist_avg_fixed - P)) + a1 * ((O * WE) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.287265712294136; Max AE: 1.61522782802448
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.704178259149989e+00, -6.479661188737721e-01, -1.265052339640033e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         9|5|add|31|17|sub|sub; ((B + NBI) - (poly_dist_avg_fixed - P)); $\left(\left(B + NBI\right) - \left(poly_{dist, avg, fixed} - P\right)\right)$; ((B + NBI) - (poly_dist_avg_fixed - P)); ((newdata$B + newdata$NBI) - (newdata$poly_dist_avg_fixed - newdata$P)); B,NBI,poly_dist_avg_fixed,P
# 1;  2; Unitless;                                         12|8|mult|33|0|sub|sub; ((O * WE) - (face-area-avg - E_T)); $\left(\left(O WE\right) - \left(face-area-avg - E_{T}\right)\right)$; ((O .* WE) - (face_sub_area_sub_avg - E_T)); ((newdata$O * newdata$WE) - (newdata$face_sub_area_sub_avg - newdata$E_T)); O,WE,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.215563016409493e+01,  4.448773791428680e-01,  1.652576298737988e+01
s2          , -2.298888400764099e+01, -2.305347537261272e+01,  4.093439664919769e-01,  1.776310627308651e+01
s3          , -1.755271246623431e+01, -1.758477990414383e+01,  5.135294634081397e-01,  9.758120886188646e+00
s4          , -1.917258847351942e+01, -1.927306487175610e+01,  3.282270330292555e-01,  1.159030644255308e+01
s5          , -2.000094091703784e+01, -2.043927496655671e+01,  4.537834900293088e-01,  1.391409636344149e+01
s6          , -2.179532463031582e+01, -2.142415611258857e+01,  5.092744338520557e-01,  1.566563632338520e+01
s7          , -2.156980503382011e+01, -2.166582686559408e+01,  2.444664013271263e-01,  1.493347246855083e+01
s8          , -2.070680399014268e+01, -2.111199782562826e+01,  3.244057028467022e-01,  1.441236664386382e+01
s9          , -2.311678210871720e+01, -2.291776385243142e+01,  3.990982281187843e-01,  1.751090508790254e+01
s10         , -1.955558688693647e+01, -1.950535593239331e+01,  3.785508693087064e-01,  1.215881716231323e+01
s11         , -1.929232032084748e+01, -1.944655797919144e+01,  4.132697209907581e-01,  1.221296815829490e+01
s12         , -1.972420304545977e+01, -1.907945029514805e+01,  2.724780451998594e-01,  1.105884381289511e+01
s13         , -1.649771434553038e+01, -1.650291176125881e+01,  6.662873533411423e-01,  8.725993497835416e+00
s14         , -1.814284237715737e+01, -1.843692881403964e+01,  3.877516797588378e-01,  1.054832171143743e+01
s15         , -2.140988745272463e+01, -2.122005023113984e+01,  4.335178691046795e-01,  1.503448428485377e+01
s16         , -2.271802967642396e+01, -2.234875644286272e+01,  4.771573818367921e-01,  1.695852814606657e+01
s17         , -1.845283706311921e+01, -1.869460958539180e+01,  3.837363867847350e-01,  1.092924086168015e+01
s18         , -2.106370881996578e+01, -2.121503388584361e+01,  4.415340332764560e-01,  1.506019672736208e+01
s19         , -2.166440903696862e+01, -2.175899237405832e+01,  5.809803710731964e-01,  1.648163870769834e+01
s20         , -1.957524373940041e+01, -1.945490922625811e+01,  3.647730870305657e-01,  1.202346396578578e+01
s21         , -2.230012329283520e+01, -2.245836947534305e+01,  3.539791786674769e-01,  1.661362926937882e+01
s22         , -1.709175230426198e+01, -1.682988371191983e+01,  3.674672541777687e-01,  7.983530503427941e+00
s23         , -2.271630669020732e+01, -2.282979555082334e+01,  5.369759087025581e-01,  1.795055388488552e+01
s24         , -1.997593461761007e+01, -2.045393965148658e+01,  3.776295648241594e-01,  1.361891255924617e+01
s25         , -2.228124530569044e+01, -2.268909239963373e+01,  3.519467356791107e-01,  1.696121972139201e+01
s26         , -1.806502239865187e+01, -1.770774230209857e+01,  4.239941005993237e-01,  9.574226728597395e+00
s27         , -2.017409009594002e+01, -1.991442749940018e+01,  5.351615260841736e-01,  1.344372184476389e+01
s28         , -1.658938425028538e+01, -1.695266095793720e+01,  5.229917685663347e-01,  8.822067026813091e+00
s29         , -2.262132344831001e+01, -2.310639303885410e+01,  4.226054011273291e-01,  1.790011798848568e+01
s30         , -1.697997334312175e+01, -1.695288599552440e+01,  6.450815123725603e-01,  9.331935457939423e+00
