# c0 + a0 * ((rho / E_T) + (Si + Al)) + a1 * ((O * WE) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.292928673634686; Max AE: 1.35491366365309
# Coefficients
# Task   a0                      a1                      c0
# all , -2.556447729199717e+00, -6.591109946965156e-01, -1.113506681256280e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|0|div|16|15|add|add; ((rho / E_T) + (Si + Al)); $\left(\left(\frac{ rho }{ E_{T} } \right) + \left(Si + Al\right)\right)$; ((rho ./ E_T) + (Si + Al)); ((newdata$rho / newdata$E_T) + (newdata$Si + newdata$Al)); rho,E_T,Si,Al
# 1;  2; Unitless;                                         12|8|mult|33|0|sub|sub; ((O * WE) - (face-area-avg - E_T)); $\left(\left(O WE\right) - \left(face-area-avg - E_{T}\right)\right)$; ((O .* WE) - (face_sub_area_sub_avg - E_T)); ((newdata$O * newdata$WE) - (newdata$face_sub_area_sub_avg - newdata$E_T)); O,WE,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.217648249864853e+01,  5.832452729302638e-02,  1.652576298737988e+01
s2          , -2.298888400764099e+01, -2.305923877935481e+01,  8.461480348974690e-02,  1.776310627308651e+01
s3          , -1.755271246623431e+01, -1.748097483234617e+01, -3.355309905285299e-02,  9.758120886188646e+00
s4          , -1.917258847351942e+01, -1.912862358008796e+01,  1.385744583353820e-01,  1.159030644255308e+01
s5          , -2.000094091703784e+01, -2.042641529124638e+01,  4.710230641413380e-02,  1.391409636344149e+01
s6          , -2.179532463031582e+01, -2.146546261637541e+01,  1.956881063977560e-03,  1.566563632338520e+01
s7          , -2.156980503382011e+01, -2.166408219724993e+01,  2.684191363781039e-01,  1.493347246855083e+01
s8          , -2.070680399014268e+01, -2.084008202372804e+01,  8.044987356797989e-02,  1.441236664386382e+01
s9          , -2.311678210871720e+01, -2.282781260706482e+01,  5.911160328148285e-02,  1.751090508790254e+01
s10         , -1.955558688693647e+01, -1.919696573282067e+01,  1.873257392495915e-02,  1.215881716231323e+01
s11         , -1.929232032084748e+01, -1.952419197108965e+01,  1.327715656531245e-01,  1.221296815829490e+01
s12         , -1.972420304545977e+01, -1.913468633916052e+01,  2.779692980890596e-01,  1.105884381289511e+01
s13         , -1.649771434553038e+01, -1.666800789305381e+01, -8.545340907518142e-02,  8.725993497835416e+00
s14         , -1.814284237715737e+01, -1.828328591337788e+01,  7.655321209010708e-02,  1.054832171143743e+01
s15         , -2.140988745272463e+01, -2.108919881698599e+01,  1.750010851897539e-02,  1.503448428485377e+01
s16         , -2.271802967642396e+01, -2.238724054876813e+01,  2.918948054764108e-02,  1.695852814606657e+01
s17         , -1.845283706311921e+01, -1.860984251309955e+01,  1.060819205569409e-01,  1.092924086168015e+01
s18         , -2.106370881996578e+01, -2.141653133856428e+01,  1.389127877125856e-01,  1.506019672736208e+01
s19         , -2.166440903696862e+01, -2.199165392432263e+01, -2.598203367881356e-03,  1.648163870769834e+01
s20         , -1.957524373940041e+01, -1.951946167111799e+01,  1.797797620185585e-01,  1.202346396578578e+01
s21         , -2.230012329283520e+01, -2.254498667659887e+01,  1.798175435100924e-01,  1.661362926937882e+01
s22         , -1.709175230426198e+01, -1.693093748769310e+01,  2.088202069334089e-01,  7.983530503427941e+00
s23         , -2.271630669020732e+01, -2.297902617241443e+01,  4.909912018916465e-03,  1.795055388488552e+01
s24         , -1.997593461761007e+01, -2.031901319138124e+01,  8.119523541903266e-02,  1.361891255924617e+01
s25         , -2.228124530569044e+01, -2.257485993894881e+01,  1.018861921478446e-01,  1.696121972139201e+01
s26         , -1.806502239865187e+01, -1.803801393565066e+01,  2.317547954471688e-01,  9.574226728597395e+00
s27         , -2.017409009594002e+01, -1.988537090995967e+01, -4.326346236829167e-02,  1.344372184476389e+01
s28         , -1.658938425028538e+01, -1.679727067391598e+01, -5.965993758717511e-02,  8.822067026813091e+00
s29         , -2.262132344831001e+01, -2.303725742351261e+01,  4.069163518809255e-02,  1.790011798848568e+01
s30         , -1.697997334312175e+01, -1.696426163789484e+01, -1.257942547077908e-01,  9.331935457939423e+00
s31         , -1.964904728113367e+01, -1.942054767285658e+01,  1.771918813269938e-01,  1.188342955991682e+01
s32         , -2.151059652715050e+01, -2.109302103357489e+01, -3.577553617834866e-02,  1.524691985128140e+01
s33         , -2.289264810431292e+01, -2.324418600069668e+01, -2.839485160436617e-02,  1.848202994648546e+01
s34         , -2.302504917991390e+01, -2.207814841924407e+01,  5.479600988906539e-02,  1.639025681342996e+01
s35         , -2.244061385591441e+01, -2.253142919996235e+01,  1.321564223402567e-01,  1.677791978982307e+01
s36         , -2.239655424600443e+01, -2.162133721822580e+01, -1.842861990018265e-02,  1.598119632947278e+01
s37         , -2.226102540809307e+01, -2.178376964229415e+01, -7.202166641333574e-02,  1.643550561658407e+01
s38         , -2.102436377352775e+01, -2.076897947159031e+01,  8.265176117972803e-02,  1.429594988956880e+01
s39         , -2.141661104833067e+01, -2.102159302314168e+01,  3.732543728440049e-01,  1.355207391255975e+01
s40         , -1.990275935468409e+01, -1.924931643153036e+01,  1.059789179435923e-01,  1.189984709397699e+01
s41         , -1.952311408648237e+01, -1.910562447935013e+01,  1.852374902755562e-01,  1.137442367937086e+01
s42         , -1.862175379272403e+01, -1.900641936421101e+01, -1.874255557054764e-02,  1.201507330176204e+01
s43         , -2.257821044890805e+01, -2.258287545335885e+01,  2.924197904269995e-01,  1.623437147564616e+01
s44         , -1.984867902879579e+01, -1.951978795959091e+01,  6.093205669910703e-02,  1.248492529370290e+01
s45         , -1.928264199244582e+01, -1.924762579207582e+01, -1.464778460719035e-02,  1.236514842080962e+01
s46         , -2.007096062658339e+01, -2.026541651991726e+01,  9.107037308189801e-02,  1.349929394363796e+01
s47         , -1.842882744186564e+01, -1.871922454826655e+01,  6.519893996333245e-03,  1.148135902510109e+01
s48         , -1.712958329507449e+01, -1.703046496340433e+01,  1.963145156765251e-01,  8.183038056457788e+00
s49         , -2.142142340445580e+01, -2.166465148578204e+01, -5.760650863344162e-02,  1.619886906350035e+01
s50         , -2.022197746600499e+01, -2.026276364822191e+01,  1.055158079838918e-01,  1.343924052127610e+01
s51         , -2.208446385448407e+01, -2.224980245759643e+01, -2.650192039039160e-02,  1.696601408444717e+01
s52         , -2.030062191637932e+01, -1.983020055747095e+01, -1.064362897436981e-01,  1.360504168232967e+01
s53         , -1.881589086732163e+01, -1.905951591971036e+01,  2.413397153104755e-01,  1.108686821912457e+01
s54         , -2.389190768082197e+01, -2.422243720335969e+01,  3.225360912022955e-03,  1.984358481266074e+01
s55         , -1.989931101552115e+01, -1.967942452148333e+01,  7.450190483554982e-02,  1.267449268894254e+01
s56         , -2.293632659980805e+01, -2.311339709629512e+01,  9.293260820090343e-02,  1.781301332097257e+01
