# c0 + a0 * ((rho / E_T) + (Si + Al)) + a1 * ((poly_dist_avg + E_T) - (face-area-avg - O))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.29542341734123; Max AE: 1.69301437544182
# Coefficients
# Task   a0                      a1                      c0
# all , -2.940265403879512e+00, -6.879646920300250e-01, -1.078448610971327e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|0|div|16|15|add|add; ((rho / E_T) + (Si + Al)); $\left(\left(\frac{ rho }{ E_{T} } \right) + \left(Si + Al\right)\right)$; ((rho ./ E_T) + (Si + Al)); ((newdata$rho / newdata$E_T) + (newdata$Si + newdata$Al)); rho,E_T,Si,Al
# 1;  2; Unitless;                                         30|0|add|33|12|sub|sub; ((poly_dist_avg + E_T) - (face-area-avg - O)); $\left(\left(poly_{dist, avg} + E_{T}\right) - \left(face-area-avg - O\right)\right)$; ((poly_dist_avg + E_T) - (face_sub_area_sub_avg - O)); ((newdata$poly_dist_avg + newdata$E_T) - (newdata$face_sub_area_sub_avg - newdata$O)); poly_dist_avg,E_T,face-area-avg,O
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.180572916248085e+01,  5.832452729302638e-02,  1.577079985159580e+01
s2          , -2.298888400764099e+01, -2.298088271526129e+01,  8.461480348974690e-02,  1.736659855455143e+01
s3          , -1.755271246623431e+01, -1.745231328540724e+01, -3.355309905285299e-02,  9.835507941644053e+00
s4          , -1.917258847351942e+01, -1.924546409070562e+01,  1.385744583353820e-01,  1.170631631039576e+01
s5          , -2.000094091703784e+01, -2.027443570611626e+01,  4.710230641413380e-02,  1.359293060057572e+01
s6          , -2.179532463031582e+01, -2.108266255945293e+01,  1.956881063977560e-03,  1.496068449338174e+01
s7          , -2.156980503382011e+01, -2.154848774302702e+01,  2.684191363781039e-01,  1.449896811339070e+01
s8          , -2.070680399014268e+01, -2.099999430795824e+01,  8.044987356797989e-02,  1.450505285205980e+01
s9          , -2.311678210871720e+01, -2.282131679206077e+01,  5.911160328148285e-02,  1.724365656796434e+01
s10         , -1.955558688693647e+01, -1.926724652745372e+01,  1.873257392495915e-02,  1.225016599883220e+01
s11         , -1.929232032084748e+01, -1.964426601100533e+01,  1.327715656531245e-01,  1.231080076971978e+01
s12         , -1.972420304545977e+01, -1.917323921479129e+01,  2.779692980890596e-01,  1.100557874885190e+01
s13         , -1.649771434553038e+01, -1.659834757171634e+01, -8.545340907518142e-02,  8.816029709974833e+00
s14         , -1.814284237715737e+01, -1.832281016485208e+01,  7.655321209010708e-02,  1.063025091083488e+01
s15         , -2.140988745272463e+01, -2.124427074771293e+01,  1.750010851897539e-02,  1.512916257903382e+01
s16         , -2.271802967642396e+01, -2.220480362299231e+01,  2.918948054764108e-02,  1.647539884644679e+01
s17         , -1.845283706311921e+01, -1.869358144721447e+01,  1.060819205569409e-01,  1.104298872387329e+01
s18         , -2.106370881996578e+01, -2.135738571070726e+01,  1.389127877125856e-01,  1.477468139699618e+01
s19         , -2.166440903696862e+01, -2.197838891575383e+01, -2.598203367881356e-03,  1.628214695213822e+01
s20         , -1.957524373940041e+01, -1.965630328614215e+01,  1.797797620185585e-01,  1.212739121426292e+01
s21         , -2.230012329283520e+01, -2.266826978530262e+01,  1.798175435100924e-01,  1.650531270709522e+01
s22         , -1.709175230426198e+01, -1.694784754457697e+01,  2.088202069334089e-01,  8.066365424091041e+00
s23         , -2.271630669020732e+01, -2.301185996406160e+01,  4.909912018916465e-03,  1.775227355616966e+01
