# c0 + a0 * ((P * O) + (Na * S)) + a1 * ((rho / E_T) + (Si + Al)) + a2 * ((O * WE) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.227261044974699; Max AE: 1.57780917648279
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -4.255257738228587e+00, -3.258928442948168e+00, -6.778584097990488e-01, -1.054980446823964e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         17|12|mult|14|11|mult|add; ((P * O) + (Na * S)); $\left(\left(P O\right) + \left(Na S\right)\right)$; ((P .* O) + (Na .* S)); ((newdata$P * newdata$O) + (newdata$Na * newdata$S)); P,O,Na,S
# 1;  2; Unitless;                                         1|0|div|16|15|add|add; ((rho / E_T) + (Si + Al)); $\left(\left(\frac{ rho }{ E_{T} } \right) + \left(Si + Al\right)\right)$; ((rho ./ E_T) + (Si + Al)); ((newdata$rho / newdata$E_T) + (newdata$Si + newdata$Al)); rho,E_T,Si,Al
# 2;  2; Unitless;                                         12|8|mult|33|0|sub|sub; ((O * WE) - (face-area-avg - E_T)); $\left(\left(O WE\right) - \left(face-area-avg - E_{T}\right)\right)$; ((O .* WE) - (face_sub_area_sub_avg - E_T)); ((newdata$O * newdata$WE) - (newdata$face_sub_area_sub_avg - newdata$E_T)); O,WE,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.240286701962477e+01,  1.083035856998242e-01,  5.832452729302638e-02,  1.652576298737988e+01
s2          , -2.298888400764099e+01, -2.313692344795386e+01,  6.356710573157708e-02,  8.461480348974690e-02,  1.776310627308651e+01
s3          , -1.755271246623431e+01, -1.732535886601004e+01,  6.351606805293006e-02, -3.355309905285299e-02,  9.758120886188646e+00
s4          , -1.917258847351942e+01, -1.912552707564810e+01,  6.287084964019694e-02,  1.385744583353820e-01,  1.159030644255308e+01
s5          , -2.000094091703784e+01, -2.041533746282047e+01,  6.585798816568048e-02,  4.710230641413380e-02,  1.391409636344149e+01
s6          , -2.179532463031582e+01, -2.173764054837541e+01,  1.321601305285240e-01,  1.956881063977560e-03,  1.566563632338520e+01
s7          , -2.156980503382011e+01, -2.154734312672356e+01,  0.000000000000000e+00,  2.684191363781039e-01,  1.493347246855083e+01
s8          , -2.070680399014268e+01, -2.080315679129170e+01,  5.208333333333333e-02,  8.044987356797989e-02,  1.441236664386382e+01
s9          , -2.311678210871720e+01, -2.279704906071851e+01,  4.340273646638906e-02,  5.911160328148285e-02,  1.751090508790254e+01
s10         , -1.955558688693647e+01, -1.952808188733203e+01,  1.586914062500000e-01,  1.873257392495915e-02,  1.215881716231323e+01
s11         , -1.929232032084748e+01, -1.942006531013448e+01,  3.734312825221917e-02,  1.327715656531245e-01,  1.221296815829490e+01
s12         , -1.972420304545977e+01, -1.916091603465226e+01,  4.909202831640505e-02,  2.779692980890596e-01,  1.105884381289511e+01
s13         , -1.649771434553038e+01, -1.634827339745329e+01,  3.806288789066840e-02, -8.545340907518142e-02,  8.725993497835416e+00
s14         , -1.814284237715737e+01, -1.818951263301607e+01,  5.639097744360902e-02,  7.655321209010708e-02,  1.054832171143743e+01
s15         , -2.140988745272463e+01, -2.144028833682501e+01,  1.509193325539377e-01,  1.750010851897539e-02,  1.503448428485377e+01
s16         , -2.271802967642396e+01, -2.253931098911227e+01,  9.374265799984337e-02,  2.918948054764108e-02,  1.695852814606657e+01
s17         , -1.845283706311921e+01, -1.866891739528434e+01,  8.575783900735957e-02,  1.060819205569409e-01,  1.092924086168015e+01
s18         , -2.106370881996578e+01, -2.149497704571996e+01,  6.669037578959847e-02,  1.389127877125856e-01,  1.506019672736208e+01
s19         , -2.166440903696862e+01, -2.171355451466633e+01,  0.000000000000000e+00, -2.598203367881356e-03,  1.648163870769834e+01
s20         , -1.957524373940041e+01, -1.952821616243602e+01,  5.694511709290881e-02,  1.797797620185585e-01,  1.202346396578578e+01
s21         , -2.230012329283520e+01, -2.260651184088759e+01,  4.911724762335898e-02,  1.798175435100924e-01,  1.661362926937882e+01
s22         , -1.709175230426198e+01, -1.697292671343776e+01,  7.776000000000000e-02,  2.088202069334089e-01,  7.983530503427941e+00
s23         , -2.271630669020732e+01, -2.286848925996833e+01,  3.166666666666667e-02,  4.909912018916465e-03,  1.795055388488552e+01
s24         , -1.997593461761007e+01, -2.004610834098150e+01,  0.000000000000000e+00,  8.119523541903266e-02,  1.361891255924617e+01
s25         , -2.228124530569044e+01, -2.237914970636898e+01,  0.000000000000000e+00,  1.018861921478446e-01,  1.696121972139201e+01
s26         , -1.806502239865187e+01, -1.801800039735630e+01,  5.239483548521449e-02,  2.317547954471688e-01,  9.574226728597395e+00
s27         , -2.017409009594002e+01, -2.011767129484025e+01,  1.400430901815943e-01, -4.326346236829167e-02,  1.344372184476389e+01
s28         , -1.658938425028538e+01, -1.655083269092408e+01,  5.060642092746730e-02, -5.965993758717511e-02,  8.822067026813091e+00
