# c0 + a0 * ((face-area-avg - E_T) - (poly_dist_avg + O))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.434388048336224; Max AE: 2.38619327933993
# Coefficients
# Task   a0                      c0
# all ,  6.820410163713426e-01, -1.111739446468254e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         33|0|sub|30|12|add|sub; ((face-area-avg - E_T) - (poly_dist_avg + O)); $\left(\left(face-area-avg - E_{T}\right) - \left(poly_{dist, avg} + O\right)\right)$; ((face_sub_area_sub_avg - E_T) - (poly_dist_avg + O)); ((newdata$face_sub_area_sub_avg - newdata$E_T) - (newdata$poly_dist_avg + newdata$O)); face-area-avg,E_T,poly_dist_avg,O
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.187372682445396e+01, -1.577079985159580e+01
s2          , -2.298888400764099e+01, -2.296212699374189e+01, -1.736659855455143e+01
s3          , -1.755271246623431e+01, -1.782561429772986e+01, -9.835507941644053e+00
s4          , -1.917258847351942e+01, -1.910158233898929e+01, -1.170631631039576e+01
s5          , -2.000094091703784e+01, -2.038833066696433e+01, -1.359293060057572e+01
s6          , -2.179532463031582e+01, -2.132119492215961e+01, -1.496068449338174e+01
s7          , -2.156980503382011e+01, -2.100628541307523e+01, -1.449896811339070e+01
s8          , -2.070680399014268e+01, -2.101043545442145e+01, -1.450505285205980e+01
s9          , -2.311678210871720e+01, -2.287827551625531e+01, -1.724365656796434e+01
s10         , -1.955558688693647e+01, -1.947251013324372e+01, -1.225016599883220e+01
s11         , -1.929232032084748e+01, -1.951386553400732e+01, -1.231080076971978e+01
s12         , -1.972420304545977e+01, -1.862365058030434e+01, -1.100557874885190e+01
s13         , -1.649771434553038e+01, -1.713028832843373e+01, -8.816029709974833e+00
s14         , -1.814284237715737e+01, -1.836766160019075e+01, -1.063025091083488e+01
s15         , -2.140988745272463e+01, -2.143610388693405e+01, -1.512916257903382e+01
s16         , -2.271802967642396e+01, -2.235429223903635e+01, -1.647539884644679e+01
s17         , -1.845283706311921e+01, -1.864916571769035e+01, -1.104298872387329e+01
s18         , -2.106370881996578e+01, -2.119433318125258e+01, -1.477468139699618e+01
s19         , -2.166440903696862e+01, -2.222248652062645e+01, -1.628214695213822e+01
s20         , -1.957524373940041e+01, -1.938877269439131e+01, -1.212739121426292e+01
s21         , -2.230012329283520e+01, -2.237469471895660e+01, -1.650531270709522e+01
s22         , -1.709175230426198e+01, -1.661898653695225e+01, -8.066365424091041e+00
s23         , -2.271630669020732e+01, -2.322517316383460e+01, -1.775227355616965e+01
s24         , -1.997593461761007e+01, -2.020149558398474e+01, -1.331899534082608e+01
s25         , -2.228124530569044e+01, -2.258540108533782e+01, -1.681424774373310e+01
s26         , -1.806502239865187e+01, -1.769273495389282e+01, -9.640681911174509e+00
s27         , -2.017409009594002e+01, -2.027170614574780e+01, -1.342193718754463e+01
s28         , -1.658938425028538e+01, -1.719383176155885e+01, -8.909196296147602e+00
s29         , -2.262132344831001e+01, -2.324300620295426e+01, -1.777842013488208e+01
s30         , -1.697997334312175e+01, -1.754236353866995e+01, -9.420209224615430e+00
s31         , -1.964904728113367e+01, -1.919847319268089e+01, -1.184837646713983e+01
s32         , -2.151059652715050e+01, -2.159407420267643e+01, -1.536077667840694e+01
s33         , -2.289264810431292e+01, -2.359234453851716e+01, -1.829061562925497e+01
s34         , -2.302504917991390e+01, -2.236197684006574e+01, -1.648666591227557e+01
s35         , -2.244061385591441e+01, -2.232067742560485e+01, -1.642611322780417e+01
s36         , -2.239655424600443e+01, -2.150588389479649e+01, -1.523147315301321e+01
s37         , -2.226102540809307e+01, -2.190008019147987e+01, -1.580943882842174e+01
s38         , -2.102436377352775e+01, -2.084499920810480e+01, -1.426249229874172e+01
s39         , -2.141661104833067e+01, -2.008113408446325e+01, -1.314252281698603e+01
s40         , -1.990275935468409e+01, -1.930237172556588e+01, -1.200071119539087e+01
s41         , -1.952311408648237e+01, -1.894089735077316e+01, -1.147072199222554e+01
s42         , -1.862175379272403e+01, -1.939581700526119e+01, -1.213771949467537e+01
s43         , -2.257821044890805e+01, -2.194861729502971e+01, -1.588060332202958e+01
s44         , -1.984867902879579e+01, -1.968749897957436e+01, -1.256537995396124e+01
s45         , -1.928264199244582e+01, -1.953588727627604e+01, -1.234308877255263e+01
s46         , -2.007096062658339e+01, -2.028361815124283e+01, -1.343940242087973e+01
