# c0 + a0 * ((Cl + P) - (Al - B)) + a1 * ((O / PF) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.286051050474266; Max AE: 1.51426311091559
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.051868810918346e+00, -6.742800495373222e-01, -1.131409523020328e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|17|add|15|9|sub|sub; ((Cl + P) - (Al - B)); $\left(\left(Cl + P\right) - \left(Al - B\right)\right)$; ((Cl + P) - (Al - B)); ((newdata$Cl + newdata$P) - (newdata$Al - newdata$B)); Cl,P,Al,B
# 1;  2; Unitless;                                         12|3|div|33|0|sub|sub; ((O / PF) - (face-area-avg - E_T)); $\left(\left(\frac{ O }{ PF } \right) - \left(face-area-avg - E_{T}\right)\right)$; ((O ./ PF) - (face_sub_area_sub_avg - E_T)); ((newdata$O / newdata$PF) - (newdata$face_sub_area_sub_avg - newdata$E_T)); O,PF,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.216223424228633e+01,  1.715328467153285e-01,  1.661046017599300e+01
s2          , -2.298888400764099e+01, -2.303131476895941e+01,  1.358490566037736e-01,  1.779077401033219e+01
s3          , -1.755271246623431e+01, -1.734068900266009e+01,  2.695652173913043e-01,  9.758120886188646e+00
s4          , -1.917258847351942e+01, -1.906004351521874e+01,  3.370786516853932e-02,  1.159030644255308e+01
s5          , -2.000094091703784e+01, -2.041644196402973e+01,  1.615384615384615e-01,  1.399092627950990e+01
s6          , -2.179532463031582e+01, -2.136177144797114e+01,  2.137404580152672e-01,  1.555176310554680e+01
s7          , -2.156980503382011e+01, -2.143496968293381e+01, -1.013215859030837e-01,  1.470157074578330e+01
s8          , -2.070680399014268e+01, -2.103206652477783e+01,  0.000000000000000e+00,  1.441236664386382e+01
s9          , -2.311678210871720e+01, -2.254278794018146e+01,  1.414634146341464e-01,  1.708334257591646e+01
s10         , -1.955558688693647e+01, -1.939498808476422e+01,  5.729166666666666e-02,  1.215881716231323e+01
s11         , -1.929232032084748e+01, -1.936943112590581e+01,  8.754208754208755e-02,  1.221296815829490e+01
s12         , -1.972420304545977e+01, -1.950619565453255e+01, -3.421052631578947e-01,  1.110835966442159e+01
s13         , -1.649771434553038e+01, -1.655205124319586e+01,  3.147410358565737e-01,  8.725993497835416e+00
s14         , -1.814284237715737e+01, -1.826462847335968e+01,  7.894736842105263e-02,  1.054832171143743e+01
s15         , -2.140988745272463e+01, -2.145154803856257e+01,  0.000000000000000e+00,  1.503448428485377e+01
s16         , -2.271802967642396e+01, -2.209127860126105e+01,  1.681415929203540e-01,  1.649490870895706e+01
s17         , -1.845283706311921e+01, -1.868346429982229e+01,  0.000000000000000e+00,  1.092924086168015e+01
s18         , -2.106370881996578e+01, -2.166437656283476e+01, -4.938271604938273e-02,  1.519984831940965e+01
s19         , -2.166440903696862e+01, -2.183135041942135e+01,  1.963470319634703e-01,  1.619524935924396e+01
s20         , -1.957524373940041e+01, -1.937261618824648e+01,  2.371541501976284e-02,  1.202346396578578e+01
s21         , -2.230012329283520e+01, -2.281974001307734e+01, -2.021276595744681e-01,  1.644851475285330e+01
s22         , -1.709175230426198e+01, -1.663977824683167e+01,  2.800000000000000e-02,  7.983530503427941e+00
s23         , -2.271630669020732e+01, -2.293526881281619e+01,  1.416666666666667e-01,  1.766603506312650e+01
s24         , -1.997593461761007e+01, -1.994933268807405e+01,  2.301255230125523e-01,  1.350688760165134e+01
s25         , -2.228124530569044e+01, -2.246638518685147e+01, -5.649717514124297e-03,  1.652235964142049e+01
s26         , -1.806502239865187e+01, -1.792055484833544e+01, -7.346938775510205e-02,  9.574226728597395e+00
s27         , -2.017409009594002e+01, -2.003800714192374e+01,  1.710526315789474e-01,  1.345863558874361e+01
s28         , -1.658938425028538e+01, -1.659755051093913e+01,  3.241379310344827e-01,  8.822067026813091e+00
s29         , -2.262132344831001e+01, -2.293862162195320e+01,  7.909604519774011e-02,  1.748060187758194e+01
s30         , -1.697997334312175e+01, -1.678395407383289e+01,  4.008438818565401e-01,  9.331935457939423e+00
s31         , -1.964904728113367e+01, -1.971704366646070e+01, -1.894736842105263e-01,  1.188552634567079e+01
s32         , -2.151059652715050e+01, -2.135339277212060e+01,  1.176470588235294e-01,  1.524691985128140e+01
s33         , -2.289264810431292e+01, -2.313637156368599e+01,  2.063492063492063e-01,  1.816111546315385e+01
s34         , -2.302504917991390e+01, -2.252893524352440e+01, -7.954545454545454e-02,  1.639025681342996e+01
s35         , -2.244061385591441e+01, -2.216862556990636e+01,  6.310679611650485e-02,  1.628999288047829e+01
s36         , -2.239655424600443e+01, -2.230526515940410e+01,  2.428115015974441e-01,  1.703948868744473e+01
s37         , -2.226102540809307e+01, -2.217396189655026e+01,  3.694915254237288e-01,  1.723025145298994e+01
s38         , -2.102436377352775e+01, -2.114518086120122e+01, -1.228070175438596e-01,  1.420641430591160e+01
s39         , -2.141661104833067e+01, -2.103323761050018e+01, -3.273542600896861e-01,  1.341794761702621e+01
s40         , -1.990275935468409e+01, -1.968717898390487e+01, -1.702127659574468e-01,  1.189984709397699e+01
s41         , -1.952311408648237e+01, -1.943280750403077e+01, -2.189054726368159e-01,  1.137442367937086e+01
s42         , -1.862175379272403e+01, -1.914798438901624e+01,  1.304347826086957e-01,  1.201507330176204e+01
s43         , -2.257821044890805e+01, -2.260999277460380e+01, -2.672811059907834e-01,  1.593918103708538e+01
s44         , -1.984867902879579e+01, -1.965683610899299e+01,  3.684210526315789e-02,  1.248492529370290e+01
s45         , -1.928264199244582e+01, -1.931175975219520e+01,  1.666666666666667e-01,  1.236821801693151e+01
s46         , -2.007096062658339e+01, -2.048669313436447e+01,  0.000000000000000e+00,  1.360354338001732e+01
s47         , -1.842882744186564e+01, -1.886723564691349e+01,  9.187279151943463e-02,  1.148135902510109e+01
s48         , -1.712958329507449e+01, -1.683175453627743e+01,  0.000000000000000e+00,  8.183038056457788e+00
s49         , -2.142142340445580e+01, -2.138780913922475e+01,  3.992094861660079e-01,  1.615477042540811e+01
s50         , -2.022197746600499e+01, -2.037590699463331e+01,  0.000000000000000e+00,  1.343924052127610e+01
s51         , -2.208446385448407e+01, -2.196498848980364e+01,  2.814070351758794e-01,  1.665228503491301e+01
s52         , -2.030062191637932e+01, -2.057823168081690e+01,  3.473389355742297e-01,  1.479627105411448e+01
s53         , -1.881589086732163e+01, -1.895620794229820e+01, -9.016393442622951e-02,  1.105936346818058e+01
s54         , -2.389190768082197e+01, -2.415080508049705e+01,  1.458333333333333e-01,  1.948143168045137e+01
s55         , -1.989931101552115e+01, -1.981820629633686e+01,  2.049180327868852e-02,  1.267449268894254e+01
s56         , -2.293632659980805e+01, -2.298276057137558e+01,  1.086956521739130e-02,  1.733844605227787e+01
s57         , -2.165250835772914e+01, -2.148509071847359e+01,  2.796610169491525e-01,  1.593525303610995e+01
s58         , -2.493828100106786e+01, -2.486719693456180e+01,  0.000000000000000e+00,  2.010010783154329e+01
s59         , -2.019609135900962e+01, -1.999826610129175e+01,  0.000000000000000e+00,  1.287917516920066e+01
s60         , -1.686951544328429e+01, -1.719384245945772e+01,  9.790209790209792e-02,  9.017958479767637e+00
s61         , -1.698686520707895e+01, -1.743580583718529e+01,  2.376237623762376e-01,  9.801985685725171e+00
s62         , -1.961666852236879e+01, -1.969099356979795e+01,  1.179487179487179e-01,  1.278239455721043e+01
s63         , -2.363642228074260e+01, -2.295904495600997e+01,  1.273584905660377e-01,  1.765775607416331e+01
s64         , -2.123215125329894e+01, -2.163599398898580e+01, -1.546391752577320e-01,  1.483745435593121e+01
s65         , -2.229595939650926e+01, -2.190828374291865e+01,  1.008771929824561e-01,  1.601882672658137e+01
s66         , -2.209517036440609e+01, -2.189181065153310e+01,  1.477832512315271e-02,  1.573239281364867e+01
s67         , -2.100952424313996e+01, -2.143836002427531e+01,  0.000000000000000e+00,  1.501492562477432e+01
s68         , -2.306714632630091e+01, -2.294664584007202e+01,  3.174603174603174e-02,  1.734841377897148e+01
s69         , -2.116954741071400e+01, -2.163996830219632e+01,  0.000000000000000e+00,  1.531392346411325e+01
s70         , -2.268552320802911e+01, -2.181376315681605e+01,  0.000000000000000e+00,  1.557167223591658e+01
s71         , -1.844586653395837e+01, -1.897741796044578e+01,  2.041522491349481e-01,  1.198643852575380e+01
s72         , -2.185924535832699e+01, -2.181308309211608e+01, -4.255319148936170e-02,  1.544117211036429e+01
s73         , -1.814705961150877e+01, -1.813778305998112e+01,  3.008474576271186e-01,  1.103545529788828e+01
s74         , -2.269683109870329e+01, -2.311508038955616e+01,  1.573033707865168e-01,  1.798029030822007e+01
s75         , -2.162544692540680e+01, -2.172813069063070e+01, -2.647058823529412e-01,  1.463916027640743e+01
s76         , -1.799713371423827e+01, -1.814180451923524e+01,  3.285714285714286e-01,  1.112578484358868e+01
s77         , -1.808839931225978e+01, -1.799393385706338e+01,  0.000000000000000e+00,  9.906623563078401e+00
s78         , -1.710463489071706e+01, -1.711179427476004e+01,  2.243346007604563e-01,  9.281016425387476e+00
s79         , -2.130172009097587e+01, -2.137530762641562e+01,  1.174377224199288e-01,  1.527878394613668e+01
s80         , -2.075517304342145e+01, -2.055921691570716e+01,  2.000000000000000e-01,  1.431971100778225e+01
s81         , -1.679587307458704e+01, -1.660750044138990e+01,  5.000000000000000e-01,  9.371980708879056e+00
s82         , -1.961963418382102e+01, -1.946207341766787e+01,  2.030456852791878e-02,  1.214575531927091e+01
s83         , -1.732943596118787e+01, -1.749719272114503e+01,  1.181434599156118e-01,  9.529441625872874e+00
s84         , -2.091958911511147e+01, -2.140412382871034e+01,  2.041522491349481e-01,  1.558539695545925e+01
s85         , -1.931803893900067e+01, -1.939423975963287e+01,  0.000000000000000e+00,  1.198336586552433e+01
s86         , -2.124992178205270e+01, -2.108429775879817e+01, -3.119266055045872e-01,  1.354062019442715e+01
s87         , -2.000999990609716e+01, -1.986385661149336e+01,  8.928571428571438e-03,  1.270700748807513e+01
s88         , -1.933594922663024e+01, -1.924806663976580e+01,  2.020725388601036e-01,  1.238149898594999e+01
s89         , -2.128477820873118e+01, -2.110549387813442e+01,  1.767068273092370e-01,  1.505899200566702e+01
s90         , -2.009844325702736e+01, -2.010969241976336e+01,  2.426778242677824e-01,  1.378290853281765e+01
s91         , -2.185233402642529e+01, -2.187834359031388e+01,  1.406250000000000e-01,  1.609537820241451e+01
s92         , -1.852873985612102e+01, -1.867200505678336e+01, -2.280701754385965e-01,  1.021821682493008e+01
s93         , -2.244477787769646e+01, -2.250132181804680e+01, -1.674008810572687e-01,  1.608195578161125e+01
s94         , -2.069748145715988e+01, -2.073701080137030e+01,  5.500000000000000e-02,  1.414214815092155e+01
s95         , -1.839144268754908e+01, -1.809667046266709e+01,  0.000000000000000e+00,  1.005898845311809e+01
s96         , -2.061908691885885e+01, -2.032501652637005e+01,  1.512195121951219e-01,  1.382393547493843e+01
s97         , -2.336181657728519e+01, -2.346482574812536e+01,  1.052631578947368e-01,  1.834062377647221e+01
s98         , -1.913590175727989e+01, -1.914622090937438e+01, -2.135922330097087e-01,  1.096556607759284e+01
s99         , -1.764848235022367e+01, -1.814279291941166e+01, -2.173913043478261e-01,  9.465858075486391e+00
s100        , -2.003395952271198e+01, -1.996480542934989e+01, -2.574257425742574e-01,  1.204619112252321e+01
s101        , -2.047737186068138e+01, -2.097661201613127e+01,  0.000000000000000e+00,  1.433012409689153e+01
s102        , -1.813404261594337e+01, -1.817598745179550e+01, -1.058394160583942e-01,  9.854545792027629e+00
s103        , -2.094885731266024e+01, -2.069580309395279e+01,  0.000000000000000e+00,  1.391366668817661e+01
s104        , -1.695125455205811e+01, -1.667970538315222e+01,  1.293103448275862e-02,  7.996889338483333e+00
s105        , -2.089913046364001e+01, -2.114408668544947e+01,  2.599118942731277e-01,  1.536942487294860e+01
s106        , -2.193421435204462e+01, -2.207574627594548e+01,  3.448275862068965e-02,  1.606514259187026e+01
s107        , -1.938858975045087e+01, -1.925364643125202e+01,  1.167512690355330e-01,  1.213013716515895e+01
s108        , -2.184761912256448e+01, -2.213451067911754e+01, -7.547169811320754e-02,  1.581769686462950e+01
s109        , -1.765266017099491e+01, -1.822487717406136e+01,  2.323232323232323e-01,  1.095609864682043e+01
s110        , -2.222643790681205e+01, -2.190101760161429e+01,  3.993902439024390e-01,  1.691644111980824e+01
s111        , -2.198367498730207e+01, -2.176080618145101e+01,  0.000000000000000e+00,  1.549313368891170e+01
s112        , -2.341727175416096e+01, -2.303174730828179e+01, -1.111111111111111e-01,  1.703990302327219e+01
s113        , -2.064750776227555e+01, -2.049352343288336e+01, -1.230769230769231e-01,  1.323914374895150e+01
s114        , -2.335281852671257e+01, -2.303304951341936e+01,  1.629955947136564e-01,  1.787595505546534e+01
s115        , -2.467653405274963e+01, -2.424120183943476e+01,  3.069767441860465e-01,  2.010586346964681e+01
s116        , -2.119630992652875e+01, -2.148576278213960e+01, -2.692307692307692e-01,  1.426594386147520e+01
s117        , -1.681518237222159e+01, -1.685200422721907e+01,  2.500000000000000e-01,  8.973832466046373e+00
s118        , -1.725426000439147e+01, -1.700246879858246e+01,  2.872340425531915e-01,  9.310286054044951e+00
s119        , -2.026224064054247e+01, -2.061855253780629e+01,  1.957295373665480e-01,  1.439471425464988e+01
s120        , -2.061376236446881e+01, -2.056973976483553e+01, -1.135135135135135e-01,  1.338127934057568e+01
s121        , -2.090204853596659e+01, -2.089660372458432e+01,  1.865284974093264e-01,  1.477908253017520e+01
s122        , -1.679179791839329e+01, -1.680834449602044e+01,  4.066666666666667e-01,  9.385827031265780e+00
s123        , -1.729435756680531e+01, -1.713579276249519e+01,  1.588447653429603e-01,  9.117318770287147e+00
s124        , -1.927065840811719e+01, -1.949900635153358e+01,  1.231527093596059e-01,  1.251350137147776e+01
s125        , -2.074667074869674e+01, -2.070214307294414e+01,  0.000000000000000e+00,  1.392306927838479e+01
s126        , -1.981090987888966e+01, -1.967798748217940e+01, -1.025641025641026e-01,  1.209207387108627e+01
s127        , -1.791042209268825e+01, -1.799957295449311e+01, -2.179487179487180e-01,  9.251757562502119e+00
s128        , -2.199486439730610e+01, -2.196397105682946e+01,  1.999999999999999e-02,  1.585530108770153e+01
s129        , -1.847106084369403e+01, -1.812988706848172e+01,  7.722007722007722e-02,  1.034323544214101e+01
s130        , -2.183307419908922e+01, -2.142811784030822e+01, -2.890995260663507e-01,  1.411999111623002e+01
s131        , -1.937195493711046e+01, -1.925794583197401e+01,  1.750000000000000e-01,  1.231376732765378e+01
s132        , -1.756898825137140e+01, -1.739156461705738e+01,  3.168724279835391e-01,  9.977530913883445e+00
s133        , -1.952720456066259e+01, -1.970046651449537e+01, -7.522123893805309e-02,  1.220861743699095e+01
s134        , -1.792604080418195e+01, -1.840310946975342e+01,  1.945525291828794e-02,  1.057266023385008e+01
s135        , -2.163690184151209e+01, -2.172017037535435e+01,  2.046332046332046e-01,  1.605557756431438e+01
s136        , -2.266590946104735e+01, -2.245685910268316e+01, -3.703703703703703e-02,  1.641271863067662e+01
s137        , -1.871948299194560e+01, -1.882897867878596e+01, -1.611374407582938e-01,  1.065469839208387e+01
s138        , -2.098569970792443e+01, -2.096790153606858e+01,  5.603448275862069e-02,  1.448772171158972e+01
s139        , -1.946420871832499e+01, -1.946068500903657e+01,  1.414141414141414e-01,  1.251223886990710e+01
s140        , -1.890485827097119e+01, -1.939689954179741e+01,  1.333333333333333e-01,  1.239305067004513e+01
s141        , -2.048387804329865e+01, -2.120004178997050e+01,  1.512027491408935e-01,  1.512160232510359e+01
s142        , -1.712146112463541e+01, -1.730262682937134e+01,  0.000000000000000e+00,  8.881371476550854e+00
s143        , -2.146398341435241e+01, -2.142896468238410e+01,  2.173913043478261e-01,  1.566252463881096e+01
s144        , -2.296743054539722e+01, -2.239360230558533e+01, -1.013215859030837e-01,  1.612328361317322e+01
s145        , -2.169591974109321e+01, -2.177280136058111e+01,  1.507537688442211e-02,  1.555679844482661e+01
s146        , -2.268369172314783e+01, -2.242858676670664e+01,  1.435185185185185e-01,  1.692022879257563e+01
s147        , -2.121406114253308e+01, -2.118585838065218e+01,  2.562814070351759e-01,  1.542032718229954e+01
s148        , -2.139826235530006e+01, -2.125554543524392e+01,  0.000000000000000e+00,  1.474380001582766e+01
s149        , -1.818204101397333e+01, -1.802907250028060e+01,  1.990049751243781e-01,  1.056431875248347e+01
s150        , -2.236615053154114e+01, -2.178088827115049e+01,  9.691629955947137e-02,  1.581783797489112e+01
s151        , -2.007280490017163e+01, -1.985961286960587e+01,  0.000000000000000e+00,  1.267354364891318e+01
s152        , -2.043501428229088e+01, -2.047089955094240e+01,  0.000000000000000e+00,  1.358012049596061e+01
s153        , -2.294208833005412e+01, -2.271003847027930e+01,  1.250000000000000e-01,  1.728128668412552e+01
s154        , -1.941555486932839e+01, -1.922740213778221e+01,  3.095238095238095e-01,  1.267783195490246e+01
s155        , -2.030625886040805e+01, -2.064811060698427e+01,  1.184668989547038e-01,  1.420343656681520e+01
s156        , -1.755225478861601e+01, -1.748709513383648e+01,  5.714285714285713e-02,  9.328838298400852e+00
s157        , -1.981494689568535e+01, -1.958492065150244e+01, -1.479591836734694e-01,  1.181591030684890e+01
s158        , -2.120666701656112e+01, -2.124941004562873e+01,  0.000000000000000e+00,  1.473470084461622e+01
s159        , -2.199339551508707e+01, -2.183858620824066e+01,  0.000000000000000e+00,  1.560848639264811e+01
s160        , -1.822712376873660e+01, -1.809192730613167e+01,  6.451612903225806e-02,  1.024827994485751e+01
s161        , -1.850131544535105e+01, -1.890956011325375e+01,  2.883895131086142e-01,  1.214213936184507e+01
