# c0 + a0 * ((rho / E_T) + (Si + Al)) + a1 * (exp(O) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.289579696434016; Max AE: 1.69796643984521
# Coefficients
# Task   a0                      a1                      c0
# all , -2.989727900204395e+00, -7.004615011958605e-01, -1.001113295341317e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|0|div|16|15|add|add; ((rho / E_T) + (Si + Al)); $\left(\left(\frac{ rho }{ E_{T} } \right) + \left(Si + Al\right)\right)$; ((rho ./ E_T) + (Si + Al)); ((newdata$rho / newdata$E_T) + (newdata$Si + newdata$Al)); rho,E_T,Si,Al
# 1;  2; Unitless;                                         12|exp|33|0|sub|sub; (exp(O) - (face-area-avg - E_T)); $\left(\left(\exp{ O }\right) - \left(face-area-avg - E_{T}\right)\right)$; (exp(O) - (face_sub_area_sub_avg - E_T)); (exp(newdata$O) - (newdata$face_sub_area_sub_avg - newdata$E_T)); O,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.183728681209612e+01,  5.832452729302638e-02,  1.663443225969777e+01
s2          , -2.298888400764099e+01, -2.295603423724475e+01,  8.461480348974690e-02,  1.811937704413408e+01
s3          , -1.755271246623431e+01, -1.744646782302278e+01, -3.355309905285299e-02,  1.075812088618865e+01
s4          , -1.917258847351942e+01, -1.924445782902082e+01,  1.385744583353820e-01,  1.259030644255308e+01
s5          , -2.000094091703784e+01, -2.021271176307489e+01,  4.710230641413380e-02,  1.436303881488878e+01
s6          , -2.179532463031582e+01, -2.109846729349260e+01,  1.956881063977560e-03,  1.582026104110825e+01
s7          , -2.156980503382011e+01, -2.153566675113775e+01,  2.684191363781039e-01,  1.530709910314991e+01
s8          , -2.070680399014268e+01, -2.104742566132914e+01,  8.044987356797989e-02,  1.541236664386382e+01
s9          , -2.311678210871720e+01, -2.279223601033963e+01,  5.911160328148285e-02,  1.799438716596303e+01
s10         , -1.955558688693647e+01, -1.928438307579504e+01,  1.873257392495915e-02,  1.315881716231323e+01
s11         , -1.929232032084748e+01, -1.966325931901249e+01,  1.327715656531245e-01,  1.321296815829490e+01
s12         , -1.972420304545977e+01, -1.924811452124053e+01,  2.779692980890596e-01,  1.200055818568082e+01
s13         , -1.649771434553038e+01, -1.656833451824850e+01, -8.545340907518142e-02,  9.725993497835416e+00
s14         , -1.814284237715737e+01, -1.832916098973544e+01,  7.655321209010708e-02,  1.154832171143743e+01
s15         , -2.140988745272463e+01, -2.129499244917907e+01,  1.750010851897539e-02,  1.603448428485377e+01
s16         , -2.271802967642396e+01, -2.220802981903037e+01,  2.918948054764108e-02,  1.728807113675386e+01
s17         , -1.845283706311921e+01, -1.868426299310901e+01,  1.060819205569409e-01,  1.192924086168015e+01
s18         , -2.106370881996578e+01, -2.137264617801338e+01,  1.389127877125856e-01,  1.562712835579522e+01
s19         , -2.166440903696862e+01, -2.193351955296071e+01, -2.598203367881356e-03,  1.703184900280626e+01
s20         , -1.957524373940041e+01, -1.967106064405667e+01,  1.797797620185585e-01,  1.302346396578578e+01
s21         , -2.230012329283520e+01, -2.267710551273714e+01,  1.798175435100924e-01,  1.731482317277896e+01
s22         , -1.709175230426198e+01, -1.692806581467838e+01,  2.088202069334089e-01,  8.983530503427941e+00
s23         , -2.271630669020732e+01, -2.295969395987417e+01,  4.909912018916465e-03,  1.846480025444534e+01
s24         , -1.997593461761007e+01, -2.017763849357988e+01,  8.119523541903266e-02,  1.416745083424067e+01
s25         , -2.228124530569044e+01, -2.262129129722645e+01,  1.018861921478446e-01,  1.756776972252533e+01
s26         , -1.806502239865187e+01, -1.811085545966646e+01,  2.317547954471688e-01,  1.057422672859740e+01
s27         , -2.017409009594002e+01, -1.991737389007298e+01, -4.326346236829167e-02,  1.432710705731651e+01
s28         , -1.658938425028538e+01, -1.671274578793220e+01, -5.965993758717511e-02,  9.822067026813091e+00
s29         , -2.262132344831001e+01, -2.310514957433103e+01,  4.069163518809255e-02,  1.851973260735110e+01
s30         , -1.697997334312175e+01, -1.687216538155486e+01, -1.257942547077908e-01,  1.033193545793942e+01
s31         , -1.964904728113367e+01, -1.950641976693634e+01,  1.771918813269938e-01,  1.279946333513515e+01
s32         , -2.151059652715050e+01, -2.128451570359339e+01, -3.577553617834866e-02,  1.624691985128140e+01
s33         , -2.289264810431292e+01, -2.326824327208129e+01, -2.839485160436617e-02,  1.904744682748983e+01
s34         , -2.302504917991390e+01, -2.235616350671508e+01,  5.479600988906539e-02,  1.739025681342996e+01
s35         , -2.244061385591441e+01, -2.246663264717226e+01,  1.321564223402567e-01,  1.721777418188890e+01
s36         , -2.239655424600443e+01, -2.119572087170383e+01, -1.842861990018265e-02,  1.604611310997047e+01
s37         , -2.226102540809307e+01, -2.142853675352384e+01, -7.202166641333574e-02,  1.660723532377710e+01
