# c0 + a0 * ((Al + Na) * (S * PF)) + a1 * ((rho / E_T) + (Si + Al)) + a2 * ((O * WE) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.234309887948792; Max AE: 1.47794705062832
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.105789789134158e+00, -2.766031157552824e+00, -6.744315777217738e-01, -1.073897936693136e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         15|14|add|11|3|mult|mult; ((Al + Na) * (S * PF)); $\left(\left(Al + Na\right) \left(S PF\right)\right)$; ((Al + Na) .* (S .* PF)); ((newdata$Al + newdata$Na) * (newdata$S * newdata$PF)); Al,Na,S,PF
# 1;  2; Unitless;                                         1|0|div|16|15|add|add; ((rho / E_T) + (Si + Al)); $\left(\left(\frac{ rho }{ E_{T} } \right) + \left(Si + Al\right)\right)$; ((rho ./ E_T) + (Si + Al)); ((newdata$rho / newdata$E_T) + (newdata$Si + newdata$Al)); rho,E_T,Si,Al
# 2;  2; Unitless;                                         12|8|mult|33|0|sub|sub; ((O * WE) - (face-area-avg - E_T)); $\left(\left(O WE\right) - \left(face-area-avg - E_{T}\right)\right)$; ((O .* WE) - (face_sub_area_sub_avg - E_T)); ((newdata$O * newdata$WE) - (newdata$face_sub_area_sub_avg - newdata$E_T)); O,WE,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.204580323130812e+01,  0.000000000000000e+00,  5.832452729302638e-02,  1.652576298737988e+01
s2          , -2.298888400764099e+01, -2.295302633877148e+01,  0.000000000000000e+00,  8.461480348974690e-02,  1.776310627308651e+01
s3          , -1.755271246623431e+01, -1.742735122330667e+01,  3.275512518820639e-02, -3.355309905285299e-02,  9.758120886188646e+00
s4          , -1.917258847351942e+01, -1.903472132042769e+01,  1.565268819765522e-02,  1.385744583353820e-01,  1.159030644255308e+01
s5          , -2.000094091703784e+01, -2.025337177703409e+01,  0.000000000000000e+00,  4.710230641413380e-02,  1.391409636344149e+01
s6          , -2.179532463031582e+01, -2.130979198252215e+01,  0.000000000000000e+00,  1.956881063977560e-03,  1.566563632338520e+01
s7          , -2.156980503382011e+01, -2.155304045926602e+01,  0.000000000000000e+00,  2.684191363781039e-01,  1.493347246855083e+01
s8          , -2.070680399014268e+01, -2.076898434904228e+01,  1.430166348510017e-02,  8.044987356797989e-02,  1.441236664386382e+01
s9          , -2.311678210871720e+01, -2.271239124915119e+01,  0.000000000000000e+00,  5.911160328148285e-02,  1.751090508790254e+01
s10         , -1.955558688693647e+01, -1.950917926056029e+01,  8.485303070928560e-02,  1.873257392495915e-02,  1.215881716231323e+01
s11         , -1.929232032084748e+01, -1.939406999246355e+01,  8.357469909097659e-03,  1.327715656531245e-01,  1.221296815829490e+01
s12         , -1.972420304545977e+01, -1.940936583471050e+01,  7.256739311607063e-02,  2.779692980890596e-01,  1.105884381289511e+01
