# c0 + a0 * ((O - S) * (poly_dist_avg - Na)) + a1 * ((rho / E_T) + (Si + Al)) + a2 * ((face-area-avg - E_T) - (poly_dist_avg + O))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.238252966311031; Max AE: 1.74025157153075
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -3.708731804109806e+00, -2.962851190133797e+00,  6.880404205314626e-01, -1.061993169061762e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         12|11|sub|30|14|sub|mult; ((O - S) * (poly_dist_avg - Na)); $\left(\left(O - S\right) \left(poly_{dist, avg} - Na\right)\right)$; ((O - S) .* (poly_dist_avg - Na)); ((newdata$O - newdata$S) * (newdata$poly_dist_avg - newdata$Na)); O,S,poly_dist_avg,Na
# 1;  2; Unitless;                                         1|0|div|16|15|add|add; ((rho / E_T) + (Si + Al)); $\left(\left(\frac{ rho }{ E_{T} } \right) + \left(Si + Al\right)\right)$; ((rho ./ E_T) + (Si + Al)); ((newdata$rho / newdata$E_T) + (newdata$Si + newdata$Al)); rho,E_T,Si,Al
# 2;  2; Unitless;                                         33|0|sub|30|12|add|sub; ((face-area-avg - E_T) - (poly_dist_avg + O)); $\left(\left(face-area-avg - E_{T}\right) - \left(poly_{dist, avg} + O\right)\right)$; ((face_sub_area_sub_avg - E_T) - (poly_dist_avg + O)); ((newdata$face_sub_area_sub_avg - newdata$E_T) - (newdata$poly_dist_avg + newdata$O)); face-area-avg,E_T,poly_dist_avg,O
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.224656585787836e+01,  1.625567827468744e-01,  5.832452729302638e-02, -1.577079985159580e+01
s2          , -2.298888400764099e+01, -2.315113557372964e+01,  8.940550482711888e-02,  8.461480348974690e-02, -1.736659855455143e+01
s3          , -1.755271246623431e+01, -1.743595972284033e+01,  3.996348595780604e-02, -3.355309905285299e-02, -9.835507941644053e+00
s4          , -1.917258847351942e+01, -1.905060117070848e+01, -9.255135610308276e-03,  1.385744583353820e-01, -1.170631631039576e+01
s5          , -2.000094091703784e+01, -2.027272238557189e+01,  4.334308657311427e-02,  4.710230641413380e-02, -1.359293060057572e+01
s6          , -2.179532463031582e+01, -2.140079161904053e+01,  1.298304531578870e-01,  1.956881063977560e-03, -1.496068449338174e+01
s7          , -2.156980503382011e+01, -2.169978567650913e+01,  8.323381859730912e-02,  2.684191363781039e-01, -1.449896811339070e+01
s8          , -2.070680399014268e+01, -2.081667579313761e+01, -5.845546789151309e-03,  8.044987356797989e-02, -1.450505285205980e+01
s9          , -2.311678210871720e+01, -2.271480645957608e+01,  1.493857502489308e-02,  5.911160328148285e-02, -1.724365656796434e+01
s10         , -1.955558688693647e+01, -1.955495398917853e+01,  1.215809414141689e-01,  1.873257392495915e-02, -1.225016599883220e+01
s11         , -1.929232032084748e+01, -1.947309496858757e+01, -2.844005060356293e-03,  1.327715656531245e-01, -1.231080076971978e+01
s12         , -1.972420304545977e+01, -1.916815278317121e+01,  4.108045671265140e-02,  2.779692980890596e-01, -1.100557874885190e+01
s13         , -1.649771434553038e+01, -1.642868663312361e+01, -1.036503038401140e-03, -8.545340907518142e-02, -8.816029709974833e+00
s14         , -1.814284237715737e+01, -1.823970588722714e+01,  2.127846341612941e-02,  7.655321209010708e-02, -1.063025091083488e+01
s15         , -2.140988745272463e+01, -2.151246793687434e+01,  1.162690290138165e-01,  1.750010851897539e-02, -1.512916257903382e+01
s16         , -2.271802967642396e+01, -2.225266706297998e+01,  5.676089444275672e-02,  2.918948054764108e-02, -1.647539884644679e+01
s17         , -1.845283706311921e+01, -1.866414698775678e+01,  3.556141399095490e-02,  1.060819205569409e-01, -1.104298872387329e+01
s18         , -2.106370881996578e+01, -2.122566824914567e+01,  7.706310413092735e-03,  1.389127877125856e-01, -1.477468139699618e+01
s19         , -2.166440903696862e+01, -2.186264466681663e+01,  1.284423693908128e-02, -2.598203367881356e-03, -1.628214695213822e+01
s20         , -1.957524373940041e+01, -1.950225323664285e+01,  1.489865929216728e-03,  1.797797620185585e-01, -1.212739121426292e+01
s21         , -2.230012329283520e+01, -2.245695260814767e+01, -1.404091856983249e-02,  1.798175435100924e-01, -1.650531270709522e+01
s22         , -1.709175230426198e+01, -1.694429553084009e+01,  4.197531427354113e-02,  2.088202069334089e-01, -8.066365424091041e+00
s23         , -2.271630669020732e+01, -2.292903509911589e+01,  2.164467831404931e-02,  4.909912018916465e-03, -1.775227355616965e+01
s24         , -1.997593461761007e+01, -1.997846004698946e+01, -1.241615768230499e-02,  8.119523541903266e-02, -1.331899534082608e+01
