# c0 + a0 * ((O - S) * (poly_dist_avg - Na)) + a1 * ((rho / E_T) + (Si + Al)) + a2 * ((O / NBI) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.238520638434518; Max AE: 1.61006545780652
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -3.600745139711734e+00, -2.840116798269972e+00, -6.895380088154183e-01, -1.065880493071105e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         12|11|sub|30|14|sub|mult; ((O - S) * (poly_dist_avg - Na)); $\left(\left(O - S\right) \left(poly_{dist, avg} - Na\right)\right)$; ((O - S) .* (poly_dist_avg - Na)); ((newdata$O - newdata$S) * (newdata$poly_dist_avg - newdata$Na)); O,S,poly_dist_avg,Na
# 1;  2; Unitless;                                         1|0|div|16|15|add|add; ((rho / E_T) + (Si + Al)); $\left(\left(\frac{ rho }{ E_{T} } \right) + \left(Si + Al\right)\right)$; ((rho ./ E_T) + (Si + Al)); ((newdata$rho / newdata$E_T) + (newdata$Si + newdata$Al)); rho,E_T,Si,Al
# 2;  2; Unitless;                                         12|5|div|33|0|sub|sub; ((O / NBI) - (face-area-avg - E_T)); $\left(\left(\frac{ O }{ NBI } \right) - \left(face-area-avg - E_{T}\right)\right)$; ((O ./ NBI) - (face_sub_area_sub_avg - E_T)); ((newdata$O / newdata$NBI) - (newdata$face_sub_area_sub_avg - newdata$E_T)); O,NBI,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.224447670053922e+01,  1.625567827468744e-01,  5.832452729302638e-02,  1.571298117898159e+01
s2          , -2.298888400764099e+01, -2.311087036326197e+01,  8.940550482711888e-02,  8.461480348974690e-02,  1.724317284732948e+01
s3          , -1.755271246623431e+01, -1.743600378392820e+01,  3.996348595780604e-02, -3.355309905285299e-02,  9.758120886188646e+00
s4          , -1.917258847351942e+01, -1.901100401903291e+01, -9.255135610308276e-03,  1.385744583353820e-01,  1.159030644255308e+01
s5          , -2.000094091703784e+01, -2.024437427971005e+01,  4.334308657311427e-02,  4.710230641413380e-02,  1.348109280439257e+01
s6          , -2.179532463031582e+01, -2.139396542725051e+01,  1.298304531578870e-01,  1.956881063977560e-03,  1.488259707422403e+01
s7          , -2.156980503382011e+01, -2.172398427832625e+01,  8.323381859730912e-02,  2.684191363781039e-01,  1.450700868371485e+01
s8          , -2.070680399014268e+01, -2.080411824178778e+01, -5.845546789151309e-03,  8.044987356797989e-02,  1.441236664386382e+01
s9          , -2.311678210871720e+01, -2.265854918580808e+01,  1.493857502489308e-02,  5.911160328148285e-02,  1.708110393575473e+01
s10         , -1.955558688693647e+01, -1.953375618812100e+01,  1.215809414141689e-01,  1.873257392495915e-02,  1.215881716231323e+01
s11         , -1.929232032084748e+01, -1.944695689285347e+01, -2.844005060356293e-03,  1.327715656531245e-01,  1.221296815829490e+01
s12         , -1.972420304545977e+01, -1.924351305688223e+01,  4.108045671265140e-02,  2.779692980890596e-01,  1.109050190221930e+01
s13         , -1.649771434553038e+01, -1.642927926628310e+01, -1.036503038401140e-03, -8.545340907518142e-02,  8.725993497835416e+00
s14         , -1.814284237715737e+01, -1.822631206730486e+01,  2.127846341612941e-02,  7.655321209010708e-02,  1.054832171143743e+01
s15         , -2.140988745272463e+01, -2.149401078135261e+01,  1.162690290138165e-01,  1.750010851897539e-02,  1.503448428485377e+01
s16         , -2.271802967642396e+01, -2.222378587204879e+01,  5.676089444275672e-02,  2.918948054764108e-02,  1.635544052442522e+01
s17         , -1.845283706311921e+01, -1.862426454549380e+01,  3.556141399095490e-02,  1.060819205569409e-01,  1.092924086168015e+01
s18         , -2.106370881996578e+01, -2.134029097928584e+01,  7.706310413092735e-03,  1.389127877125856e-01,  1.487838076476359e+01
s19         , -2.166440903696862e+01, -2.181210128659502e+01,  1.284423693908128e-02, -2.598203367881356e-03,  1.611865711692467e+01
s20         , -1.957524373940041e+01, -1.946540048234424e+01,  1.489865929216728e-03,  1.797797620185585e-01,  1.202346396578578e+01
s21         , -2.230012329283520e+01, -2.253240148597759e+01, -1.404091856983249e-02,  1.798175435100924e-01,  1.655231670002481e+01
s22         , -1.709175230426198e+01, -1.690796884375002e+01,  4.197531427354113e-02,  2.088202069334089e-01,  7.983530503427941e+00
s23         , -2.271630669020732e+01, -2.283205381017558e+01,  2.164467831404931e-02,  4.909912018916465e-03,  1.752095900612737e+01
s24         , -1.997593461761007e+01, -2.000827151438641e+01, -1.241615768230499e-02,  8.119523541903266e-02,  1.328943427903728e+01
s25         , -2.228124530569044e+01, -2.238122375800901e+01, -2.434979409915681e-02,  1.018861921478446e-01,  1.670789339664464e+01
s26         , -1.806502239865187e+01, -1.802445095528184e+01,  2.933895581560362e-02,  2.317547954471688e-01,  9.574226728597395e+00
s27         , -2.017409009594002e+01, -2.000566747235449e+01,  5.858734955483080e-02, -4.326346236829167e-02,  1.342750884699564e+01
s28         , -1.658938425028538e+01, -1.663357029243782e+01,  1.695649621896633e-02, -5.965993758717511e-02,  8.822067026813091e+00
s29         , -2.262132344831001e+01, -2.281659417932790e+01, -3.141233306947566e-02,  4.069163518809255e-02,  1.762822049284718e+01
s30         , -1.697997334312175e+01, -1.682799646018688e+01,  2.547742419311326e-02, -1.257942547077908e-01,  9.331935457939423e+00
s31         , -1.964904728113367e+01, -1.961347278637420e+01,  6.438662378874004e-02,  1.771918813269938e-01,  1.192041959868210e+01
s32         , -2.151059652715050e+01, -2.136937027813658e+01,  8.299429209139966e-02, -3.577553617834866e-02,  1.524691985128140e+01
s33         , -2.289264810431292e+01, -2.316328950820904e+01,  6.596613862080096e-03, -2.839485160436617e-02,  1.821709084434827e+01
s34         , -2.302504917991390e+01, -2.265532257986634e+01,  1.497427651679093e-01,  5.479600988906539e-02,  1.639025681342996e+01
s35         , -2.244061385591441e+01, -2.236232908152835e+01,  2.132384550550850e-02,  1.321564223402567e-01,  1.631730607859418e+01
s36         , -2.239655424600443e+01, -2.178538550907833e+01,  2.070501800174206e-01, -1.842861990018265e-02,  1.513097892872423e+01
