# FEAT_ID     Score                   Feature Expression
0             0.43589485379380738     (face-area-count + bottleneck_min)
1             0.436100633642526936    (face-area-count + Na-Na-avg)
2             0.436825861004639493    (face-area-count - rho)
3             0.43998538748899807     (face-area-count + face-area-max)
4             0.440081536725160427    (face-area-max + Na-Na-avg)
5             0.440148129066516125    (face-area-count + Na-Na-max)
6             0.440468372719009349    (face-area-max + Na-Na)
7             0.446728680105559772    (pockets-per-ion + face-area-count)
8             0.448050016526107764    (paths-per-volume + face-area-count)
9             0.450774690143911805    (pockets-per-volume + face-area-count)
#-----------------------------------------------------------------------
10            0.0858819842676704082   (poly_dist_avg * RBI)
11            0.0868922115918718124   (SBI / RBI)
12            0.0907727901697208128   (Ge - SBI)
13            0.0930784793603754018   (I + SBI)
14            0.0954230630031440707   (SBI - NBI)
15            0.0963718072704646406   (Al + B)
16            0.103308621978456708    (poly_dist_avg_fixed - SBI)
17            0.105002647259588508    (Ge + P)
18            0.111981847069742207    (poly_dist_avg - SBI)
19            0.112538215291326738    (Ge * S)
#-----------------------------------------------------------------------
20            0.0716974059132668012   (P * Na)
21            0.0775665316187207632   (poly_dist_avg / SBI)
22            0.0784525526994183098   (face-area-count * B)
23            0.083429963114819608    (poly_dist_avg_fixed * P)
24            0.0835708188580625844   (poly_dist_avg * P)
25            0.0855856027085637044   (B / poly_dist_avg_fixed)
26            0.0865349581845940297   (poly_dist_avg_fixed * RBI)
27            0.0867251234177679048   (Ge - B)
28            0.0904701619894236614   (poly_dist_max * P)
29            0.0952939734348762363   (poly_dist_std * P)
#-----------------------------------------------------------------------
