# c0 + a0 * ((VPA / PF) / (O + S))
# Property Label: $E_{T}$; Unit of the Property: Unitless
# RMSE: 0.77170657334263; Max AE: 2.80094821839688
# Coefficients
# Task   a0                      c0
# all , -5.932095972732511e-03,  9.146655214447522e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|2|div|9|8|add|div; ((VPA / PF) / (O + S)); $\left(\frac{ \left(\frac{ VPA }{ PF } \right) }{ \left(O + S\right) } \right)$; ((VPA ./ PF) ./ (O + S)); ((newdata$VPA / newdata$PF) / (newdata$O + newdata$S)); VPA,PF,O,S
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  9.627351630837904e+00,  7.851032949626841e+00,  2.184088508979189e+02
s2          ,  7.942391979192743e+00,  8.556926027805044e+00,  9.941329158415994e+01
s3          ,  7.190586636137100e+00,  7.781905395719240e+00,  2.300619924224920e+02
s4          ,  7.801448301236565e+00,  8.148783411471037e+00,  1.682157213172722e+02
s5          ,  8.469161610331188e+00,  8.585876240530716e+00,  9.453302449833647e+01
s6          ,  7.909389765119206e+00,  6.872049140587436e+00,  3.834405384396252e+02
s7          ,  8.069240521374599e+00,  8.691016948846681e+00,  7.680898415926349e+01
s8          ,  6.514380492886220e+00,  7.740896342377646e+00,  2.369750723069199e+02
s9          ,  7.069246192646957e+00,  8.485305878796195e+00,  1.114866210343337e+02
s10         ,  7.182828748758404e+00,  8.636364426765747e+00,  8.602200470582058e+01
s11         ,  8.281712320055306e+00,  8.005974621011617e+00,  1.922896390549242e+02
s12         ,  8.667136914414131e+00,  7.933136899731277e+00,  2.045682201188764e+02
s13         ,  7.633522070371748e+00,  7.644972329733507e+00,  2.531454129563402e+02
s14         ,  7.349146862996486e+00,  7.917954578177246e+00,  2.071275720956174e+02
s15         ,  8.730252119237013e+00,  7.992074965550863e+00,  1.946327662606616e+02
s16         ,  7.663568812540761e+00,  8.653609214061197e+00,  8.311497363708580e+01
s17         ,  7.397981103859396e+00,  8.585145214359697e+00,  9.465625685573251e+01
s18         ,  7.634343129458566e+00,  7.798234248657344e+00,  2.273093645127007e+02
s19         ,  7.908238494205531e+00,  8.201755292786826e+00,  1.592860139154905e+02
s20         ,  7.576517696383075e+00,  7.702320454120397e+00,  2.434779826500040e+02
s21         ,  8.532705101163961e+00,  8.318258854637566e+00,  1.396464864388178e+02
s22         ,  8.329116670513413e+00,  8.685230381668934e+00,  7.778445171817438e+01
s23         ,  7.493041833870397e+00,  7.852301868716801e+00,  2.181949435208650e+02
s24         ,  1.059219924457796e+01,  8.674803081021695e+00,  7.954222851328500e+01
s25         ,  8.578651914394655e+00,  7.787292706732172e+00,  2.291538292643610e+02
s26         ,  8.144438025614420e+00,  7.920973021816566e+00,  2.066187395256129e+02
s27         ,  8.510120168948882e+00,  8.656774086285589e+00,  8.258145694434523e+01
s28         ,  7.189133078527061e+00,  7.429813088232041e+00,  2.894157704304047e+02
s29         ,  8.503410813013494e+00,  8.631765407972958e+00,  8.679728191204379e+01
s30         ,  8.142667393573289e+00,  8.668495770716424e+00,  8.060548007466612e+01
s31         ,  6.927212409606008e+00,  7.753894705340652e+00,  2.347838800162433e+02
s32         ,  8.836093594042303e+00,  8.559487641372026e+00,  9.898146890651647e+01
s33         ,  7.781799073840278e+00,  8.010982837647751e+00,  1.914453815346223e+02
s34         ,  8.752473919455131e+00,  8.604759961478152e+00,  9.134971103978208e+01
s35         ,  7.714609048750617e+00,  8.179894556145774e+00,  1.629711762496026e+02
s36         ,  6.256414997963060e+00,  6.101546500816500e+00,  5.133276210681986e+02
s37         ,  8.317250646523553e+00,  8.698480576072173e+00,  7.555080707315416e+01
s38         ,  7.621094284411799e+00,  7.684250080667105e+00,  2.465241864768392e+02
s39         ,  7.863121891718822e+00,  8.050813593385168e+00,  1.847309325573123e+02
s40         ,  8.588951308381437e+00,  8.535550713548728e+00,  1.030166240916866e+02
s41         ,  8.466791260314862e+00,  7.977766805369187e+00,  1.970447569377250e+02
s42         ,  6.965545209929878e+00,  6.784940446689118e+00,  3.981248413063896e+02
s43         ,  5.742710398507013e+00,  6.270672952554849e+00,  4.848172172386322e+02
s44         ,  7.657337843103465e+00,  8.528169682249919e+00,  1.042608776123203e+02
s45         ,  6.929642414952987e+00,  6.005658111363816e+00,  5.294919565566070e+02
s46         ,  7.407981644678499e+00,  7.842012150608737e+00,  2.199295274108360e+02
s47         ,  7.477916419891637e+00,  7.658075237484581e+00,  2.509365970822712e+02
s48         ,  8.065752072747419e+00,  8.101655932489546e+00,  1.761602116286421e+02
s49         ,  1.014689217922620e+01,  8.390274447886656e+00,  1.275064951810705e+02
s50         ,  7.545430289743591e+00,  7.867922325282318e+00,  2.155617331619432e+02
s51         ,  7.570978629679006e+00,  7.502320827947871e+00,  2.771928158374380e+02
s52         ,  7.795687486574141e+00,  7.414847509615959e+00,  2.919385850788651e+02
s53         ,  9.562441706215767e+00,  8.423608834299587e+00,  1.218871682911895e+02
s54         ,  8.280447950103838e+00,  8.406313937725715e+00,  1.248026465055290e+02
s55         ,  7.825727923778901e+00,  8.326560451305470e+00,  1.382470490888383e+02
s56         ,  7.118939478946283e+00,  7.296438494223880e+00,  3.118993233973883e+02
s57         ,  7.871849863936480e+00,  7.777167503847219e+00,  2.308606800859754e+02
s58         ,  6.730625541378074e+00,  5.480957396754752e+00,  6.179431072158184e+02
s59         ,  7.346597587321452e+00,  8.492474075435176e+00,  1.102782460060250e+02
s60         ,  9.160102121533143e+00,  8.699356950193888e+00,  7.540307276040150e+01
s61         ,  9.473309271873642e+00,  8.342023681445582e+00,  1.356403430929829e+02
s62         ,  6.148514364065349e+00,  7.097822117415582e+00,  3.453809760411179e+02
s63         ,  9.742882945859217e+00,  8.724890495765640e+00,  7.109876856688872e+01
s64         ,  7.769754107745993e+00,  7.986855905696431e+00,  1.955125665670663e+02
s65         ,  8.911180765969100e+00,  8.436346183884211e+00,  1.197399761953144e+02
s66         ,  7.119243990330276e+00,  7.495638349427163e+00,  2.783193111860340e+02
s67         ,  9.128092259359644e+00,  8.528769126425042e+00,  1.041598266215951e+02
s68         ,  8.853260947322894e+00,  7.964880963360846e+00,  1.992169810668645e+02
s69         ,  7.753079548340686e+00,  7.652966366974228e+00,  2.517978222771830e+02
s70         ,  7.493232802610160e+00,  7.612336456176298e+00,  2.586469884040782e+02
s71         ,  8.175332159116204e+00,  8.371539187229756e+00,  1.306647820231951e+02
s72         ,  8.442204221154190e+00,  8.724616262587702e+00,  7.114499728253990e+01
s73         ,  7.424144002640064e+00,  8.416077639458051e+00,  1.231567355531074e+02
s74         ,  8.574295382843832e+00,  8.404240914789705e+00,  1.251521052711218e+02
s75         ,  8.365063336741047e+00,  8.041583528826722e+00,  1.862868859000892e+02
s76         ,  1.006391557310598e+01,  7.843877246161714e+00,  2.196151198959291e+02
s77         ,  7.611996221847688e+00,  7.676025499583192e+00,  2.479106409647164e+02
s78         ,  7.070887086618086e+00,  8.690585422303478e+00,  7.688172852233258e+01
s79         ,  6.661643882147870e+00,  7.280386867061118e+00,  3.146052181159741e+02
s80         ,  8.617523239859635e+00,  7.971585520262765e+00,  1.980867638666140e+02
s81         ,  6.646048985579415e+00,  7.052737641325599e+00,  3.529810682003174e+02
s82         ,  8.281343998915766e+00,  8.719341105696429e+00,  7.203425411781704e+01
s83         ,  6.763183164861317e+00,  8.262310450164374e+00,  1.490779596871207e+02
s84         ,  7.178957498760083e+00,  8.494752274645094e+00,  1.098941997565391e+02
s85         ,  6.812443708937937e+00,  7.436029715429553e+00,  2.883678057268518e+02
s86         ,  6.698713350829386e+00,  7.114114009162043e+00,  3.426345788450262e+02
s87         ,  6.967323671826372e+00,  8.605260992660998e+00,  9.126524996815583e+01
s88         ,  7.753117596667242e+00,  7.531565705512898e+00,  2.722628757792438e+02
s89         ,  7.649105010968406e+00,  7.979197841253299e+00,  1.968035208062312e+02
s90         ,  9.249949326069649e+00,  7.875524849645957e+00,  2.142801415628551e+02
s91         ,  6.408188336154115e+00,  7.116495914745983e+00,  3.422330503473604e+02
s92         ,  8.648605247617484e+00,  8.268439126231327e+00,  1.480448212997575e+02
s93         ,  6.379429753159395e+00,  7.711191799417064e+00,  2.419825002206156e+02
s94         ,  8.168735377448940e+00,  7.975344152304282e+00,  1.974531544208475e+02
s95         ,  5.762343966074309e+00,  6.727036631552174e+00,  4.078859468925272e+02
s96         ,  8.832251009079080e+00,  8.041258790376435e+00,  1.863416285158155e+02
s97         ,  9.864920736579611e+00,  8.601434764059052e+00,  9.191025446901601e+01
s98         ,  8.367716996608189e+00,  7.423019913392901e+00,  2.905609263534319e+02
s99         ,  9.525029255992946e+00,  8.431933331861133e+00,  1.204838704349492e+02
s100        ,  8.304615691286356e+00,  7.987520940522228e+00,  1.954004586664433e+02
s101        ,  8.213920025343791e+00,  8.396557523502828e+00,  1.264473289698269e+02
s102        ,  7.342780294453894e+00,  7.813932074364328e+00,  2.246631116909087e+02
s103        ,  7.620663655973660e+00,  7.725714641385991e+00,  2.395343196726805e+02
s104        ,  7.588412763449981e+00,  8.384536009011493e+00,  1.284738495363508e+02
s105        ,  7.761686981590299e+00,  7.203308100588030e+00,  3.275987311723017e+02
s106        ,  5.765889299917045e+00,  6.629882024371925e+00,  4.242637343772257e+02
s107        ,  9.163218304965826e+00,  8.504142605615291e+00,  1.083112295865755e+02
s108        ,  9.145415223907584e+00,  8.670869147305353e+00,  8.020538934790810e+01
s109        ,  8.907344867310053e+00,  8.012311043981486e+00,  1.912214798412174e+02
s110        ,  7.187712979897188e+00,  7.630019781549367e+00,  2.556660310064985e+02
s111        ,  7.672978409935292e+00,  8.440257939257402e+00,  1.190805540633780e+02
s112        ,  6.603286769071715e+00,  6.335908029422542e+00,  4.738202480109674e+02
s113        ,  8.208139417897124e+00,  7.710302708807971e+00,  2.421323782086286e+02
s114        ,  9.490685045738040e+00,  8.437295840058255e+00,  1.195798883986216e+02
s115        ,  7.464390616571710e+00,  8.165051722483405e+00,  1.654732992311921e+02
s116        ,  7.928727650609704e+00,  8.578398811378817e+00,  9.579352823702681e+01
s117        ,  9.124632999567014e+00,  8.465456107828713e+00,  1.148327858736627e+02
s118        ,  8.021885171121083e+00,  7.811333394475246e+00,  2.251011828045636e+02
s119        ,  8.968830926922529e+00,  8.062488201775635e+00,  1.827628915067074e+02
s120        ,  7.277771579613969e+00,  8.312596064514928e+00,  1.406010883449007e+02
s121        ,  9.490619311909677e+00,  8.574118281812659e+00,  9.651511628715838e+01
s122        ,  8.362283466244515e+00,  8.708625726561548e+00,  7.384059359447662e+01
s123        ,  7.947663967689638e+00,  8.339673685395441e+00,  1.360364924575486e+02
s124        ,  7.500155537108027e+00,  7.485278273557568e+00,  2.800657555991413e+02
s125        ,  7.676721295760406e+00,  8.635078967127747e+00,  8.623870039717626e+01
s126        ,  7.024408552307285e+00,  8.501461935581460e+00,  1.087631221463306e+02
s127        ,  6.799573135407770e+00,  8.029996406206275e+00,  1.882401790824161e+02
s128        ,  7.697800396812369e+00,  7.921601674726077e+00,  2.065127646876466e+02
s129        ,  7.533342927184101e+00,  7.725905193824297e+00,  2.395021973942850e+02
s130        ,  6.124502077904181e+00,  6.871620186891329e+00,  3.835128490863306e+02
s131        ,  6.337033222495729e+00,  7.598516434751247e+00,  2.609766913435747e+02
s132        ,  8.333642239874484e+00,  8.581406169746122e+00,  9.528656436099897e+01
s133        ,  8.579601425612095e+00,  8.024953325572103e+00,  1.890903137830940e+02
s134        ,  6.951515610154178e+00,  7.149036158866835e+00,  3.367475955822272e+02
s135        ,  6.698438838755101e+00,  7.031495505307806e+00,  3.565619502554014e+02
s136        ,  8.281968440787288e+00,  8.032153468030351e+00,  1.878765535048812e+02
s137        ,  5.665057747716694e+00,  6.522238452131163e+00,  4.424096937035004e+02
s138        ,  8.112595100690500e+00,  8.327212688810731e+00,  1.381370984898834e+02
s139        ,  8.715718019493625e+00,  8.646854263629919e+00,  8.425368590039488e+01
s140        ,  8.533707889288090e+00,  8.037426483972309e+00,  1.869876575790237e+02
s141        ,  7.727405448227938e+00,  7.746830643486778e+00,  2.359747005771960e+02
s142        ,  8.389591380956231e+00,  8.018084862132186e+00,  1.902481614429244e+02
s143        ,  6.224884257878246e+00,  6.176108698668683e+00,  5.007583372611065e+02
s144        ,  9.290205280403852e+00,  8.025074392710899e+00,  1.890699049530023e+02
s145        ,  9.792510171143572e+00,  8.674822424798151e+00,  7.953896764620795e+01
s146        ,  6.546579819570549e+00,  5.556448686154152e+00,  6.052172022833286e+02
s147        ,  8.089860798356693e+00,  7.824498635260672e+00,  2.228818591715776e+02
s148        ,  6.908129645938573e+00,  8.076882665041435e+00,  1.803363523320267e+02
s149        ,  6.851404144405834e+00,  6.557036748051955e+00,  4.365435890280626e+02
s150        ,  6.344873152787280e+00,  6.252133574416771e+00,  4.879424832868042e+02
s151        ,  7.969193585505869e+00,  7.986911465785704e+00,  1.955032005538512e+02
s152        ,  8.462080179948535e+00,  8.590524495590245e+00,  9.374944731399998e+01
s153        ,  9.215343905614519e+00,  8.017934761154571e+00,  1.902734646373274e+02
s154        ,  6.679636276886174e+00,  6.907830320910124e+00,  3.774087445362292e+02
s155        ,  9.381766813453464e+00,  8.366523717286185e+00,  1.315102622660341e+02
s156        ,  7.876232974733705e+00,  7.871697254452226e+00,  2.149253764362161e+02
s157        ,  6.539948998671028e+00,  8.636962892151564e+00,  8.592111871399443e+01
s158        ,  6.241825264823305e+00,  6.163051263388086e+00,  5.029594876370643e+02
s159        ,  9.840996596660752e+00,  8.013403070382090e+00,  1.910373920574687e+02
s160        ,  7.842769799352280e+00,  7.981928565504636e+00,  1.963431903827368e+02
s161        ,  7.267264865374984e+00,  7.591988616957913e+00,  2.620771148403185e+02
s162        ,  6.412636071072660e+00,  7.852688084928534e+00,  2.181298373234082e+02
s163        ,  6.832702694222424e+00,  7.515936879991920e+00,  2.748974969304891e+02
s164        ,  8.320800917846281e+00,  8.166101175270265e+00,  1.652963882722858e+02
s165        ,  8.505863207497077e+00,  8.647722960452837e+00,  8.410724578430248e+01
s166        ,  7.956207279171495e+00,  8.033630494382212e+00,  1.876275645541548e+02
s167        ,  5.971986436857214e+00,  6.653705641570898e+00,  4.202476804717461e+02
s168        ,  8.276929850966233e+00,  8.042484346761391e+00,  1.861350309842533e+02
s169        ,  9.188941833158308e+00,  8.446852494886780e+00,  1.179688802705583e+02
s170        ,  7.447677623786754e+00,  7.591895717474587e+00,  2.620927753225076e+02
s171        ,  6.821215751339451e+00,  7.285508084110957e+00,  3.137419116095760e+02
s172        ,  7.646914710507245e+00,  7.930440777091684e+00,  2.050227175936284e+02
s173        ,  6.915614748782852e+00,  8.676453739155814e+00,  7.926396967497442e+01
s174        ,  7.908297007036147e+00,  8.180483558971019e+00,  1.628718854040140e+02
s175        ,  6.640260690888195e+00,  6.915770077976348e+00,  3.760703041093176e+02
s176        ,  9.633522562816404e+00,  7.495788969517858e+00,  2.782939204824131e+02
s177        ,  9.839773629507981e+00,  8.598359257950619e+00,  9.242870631513742e+01
s178        ,  7.876158930078242e+00,  7.843051872131655e+00,  2.197542568946986e+02
s179        ,  8.997948156684945e+00,  6.515297733623811e+00,  4.435797217238251e+02
