# c0 + a0 * ((O / E) + (E / T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.620969308239636; Max AE: 3.83385122999221
# Coefficients
# Task   a0                      c0
# all , -9.538007909579611e-01, -6.998167295788756e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         11|0|div|0|1|div|add; ((O / E) + (E / T)); $\left(\left(\frac{ O }{ E } \right) + \left(\frac{ E }{ T } \right)\right)$; ((O ./ E) + (E ./ T)); ((newdata$O / newdata$E) + (newdata$E / newdata$T)); O,E,E,T
# Number of Samples Per Task
# Task, n_samples               
# all , 5208                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.723461860412885e+01,  1.073227387247079e+01
s2          , -1.314701044093141e+01, -1.461102557546497e+01,  7.981601977945676e+00
s3          , -1.146662759718736e+01, -1.315347389287392e+01,  6.453450925431722e+00
s4          , -1.053119538047528e+01, -1.222594100395234e+01,  5.480991164741026e+00
s5          , -1.676053957577113e+01, -1.581692349581837e+01,  9.245909925459788e+00
s6          , -1.473165248543640e+01, -1.365250642386059e+01,  6.976655074261862e+00
s7          , -1.327639572326454e+01, -1.245005249499516e+01,  5.715957934707458e+00
s8          , -1.243815468188715e+01, -1.168485454026262e+01,  4.913696118627383e+00
s9          , -1.469519139678599e+01, -1.385655451678807e+01,  7.190586636137100e+00
s10         , -1.273276214262625e+01, -1.189701531078826e+01,  5.136133311526500e+00
s11         , -1.156984372531678e+01, -1.080838241856615e+01,  3.994770353409500e+00
s12         , -1.074748491541494e+01, -1.011561603260662e+01,  3.268448470971409e+00
s13         , -1.482490640944098e+01, -1.443919485612583e+01,  7.801448301236565e+00
s14         , -1.299015493441703e+01, -1.231318698174381e+01,  5.572463072311832e+00
s15         , -1.140813689808867e+01, -1.113207149597602e+01,  4.334137945131425e+00
s16         , -1.059931818198457e+01, -1.038045255048743e+01,  3.546112864198439e+00
s17         , -1.661617250197141e+01, -1.651775939126107e+01,  9.980692179874577e+00
s18         , -1.538237687546894e+01, -1.420978995049401e+01,  7.560931719779951e+00
s19         , -1.304592919021045e+01, -1.292758470562342e+01,  6.216620353060715e+00
s20         , -1.206296164290882e+01, -1.211163591343305e+01,  5.361149483330292e+00
s21         , -1.434920619754616e+01, -1.556931839652385e+01,  8.986311588320829e+00
s22         , -1.209901153797546e+01, -1.341389490681943e+01,  6.726485941143914e+00
s23         , -1.084118796229850e+01, -1.221643741253919e+01,  5.471027248267849e+00
s24         , -1.003237799650230e+01, -1.145441900708813e+01,  4.672098989164899e+00
s25         , -1.650308689038163e+01, -1.593886952038271e+01,  9.373762644518521e+00
s26         , -1.465245495254782e+01, -1.373988437989210e+01,  7.068265352697206e+00
s27         , -1.320934948574711e+01, -1.251822596850843e+01,  5.787433523907587e+00
s28         , -1.200618241252536e+01, -1.174080697944610e+01,  4.972358723768739e+00
s29         , -1.458891392032861e+01, -1.322662459392321e+01,  6.530144823929987e+00
s30         , -1.311308030801202e+01, -1.145136137486150e+01,  4.668893254533924e+00
s31         , -1.189781492818940e+01, -1.046510403093833e+01,  3.634864604869445e+00
s32         , -1.097893290363762e+01, -9.837485721169037e+00,  2.976846373264776e+00
s33         , -1.601703755740822e+01, -1.563679841892058e+01,  9.057060137741665e+00
s34         , -1.449330432839522e+01, -1.371032624462823e+01,  7.037275511271106e+00
s35         , -1.295134400980532e+01, -1.264006392557692e+01,  5.915172941009684e+00
s36         , -1.219153301705061e+01, -1.195898790436246e+01,  5.201107669025143e+00
s37         , -1.658811786664458e+01, -1.556738535915144e+01,  8.984284920498011e+00
s38         , -1.460744563371568e+01, -1.360996029004249e+01,  6.932048135138468e+00
s39         , -1.354320739893696e+01, -1.252250191831529e+01,  5.791916587716497e+00
s40         , -1.259898287112754e+01, -1.183048295448889e+01,  5.066378330266154e+00
s41         , -1.506367336241177e+01, -1.489727105714380e+01,  8.281712320055306e+00
s42         , -1.292327801429672e+01, -1.264038426818521e+01,  5.915508800039504e+00
s43         , -1.144490732559265e+01, -1.138655827431933e+01,  4.600951288919614e+00
s44         , -1.054510192330784e+01, -1.058866900549559e+01,  3.764414690934230e+00
s45         , -1.549821089880063e+01, -1.526488934009790e+01,  8.667136914414131e+00
s46         , -1.303006306919012e+01, -1.290296875600957e+01,  6.190812081724379e+00
s47         , -1.168189259344820e+01, -1.159079065373828e+01,  4.815076063563406e+00
s48         , -1.075207312152351e+01, -1.075576822502018e+01,  3.939607688370060e+00
s49         , -1.453148296371105e+01, -1.427902668430438e+01,  7.633522070371748e+00
s50         , -1.227388867428150e+01, -1.219878114472849e+01,  5.452515764551248e+00
s51         , -1.108875379662642e+01, -1.104308917829744e+01,  4.240845594650970e+00
s52         , -1.038425989348632e+01, -1.030764883602313e+01,  3.469782759259886e+00
s53         , -1.465169748063443e+01, -1.400778938658102e+01,  7.349146862996486e+00
s54         , -1.281452629320899e+01, -1.200504021778323e+01,  5.249390616426061e+00
s55         , -1.144942863562119e+01, -1.089240179067335e+01,  4.082859368331381e+00
s56         , -1.064606442558026e+01, -1.018435915523979e+01,  3.340521301362039e+00
s57         , -1.581197879728031e+01, -1.532508867237943e+01,  8.730252119237013e+00
s58         , -1.349923238518420e+01, -1.294596827906781e+01,  6.235894370883582e+00
s59         , -1.205519609706438e+01, -1.162423472722802e+01,  4.850140066242785e+00
s60         , -1.100828675700967e+01, -1.078313155787543e+01,  3.968296417835007e+00
s61         , -1.619315500215883e+01, -1.597043673492539e+01,  9.406858878912473e+00
s62         , -1.462227100496892e+01, -1.388200302207906e+01,  7.217267789615112e+00
s63         , -1.307457242549381e+01, -1.272176207049777e+01,  6.000828295561023e+00
s64         , -1.194437863403913e+01, -1.198342691949150e+01,  5.226730435708421e+00
s65         , -1.684922037807049e+01, -1.579986152795034e+01,  9.228021527767346e+00
s66         , -1.545277468606795e+01, -1.378380431984944e+01,  7.114312640950375e+00
s67         , -1.402248960829277e+01, -1.266377253757117e+01,  5.940029926052059e+00
s68         , -1.266343152928770e+01, -1.195102503975772e+01,  5.192759107480402e+00
s69         , -1.426536183018756e+01, -1.427980981111081e+01,  7.634343129458566e+00
s70         , -1.227696148988738e+01, -1.219934052101880e+01,  5.453102235327547e+00
s71         , -1.094076857933737e+01, -1.104352424874545e+01,  4.241301738588092e+00
s72         , -1.009149526642792e+01, -1.030800480275333e+01,  3.470155967935712e+00
s73         , -1.606751413385304e+01, -1.528164881362167e+01,  8.684708165856414e+00
s74         , -1.423596796347718e+01, -1.312653906194812e+01,  6.425211453226263e+00
s75         , -1.263914470436971e+01, -1.192925586657392e+01,  5.169935501765067e+00
s76         , -1.176874332211041e+01, -1.116734837860852e+01,  4.371123532653397e+00
s77         , -1.502445348449817e+01, -1.515036329314160e+01,  8.547063574108691e+00
s78         , -1.282958977816056e+01, -1.308565227270813e+01,  6.382344232284956e+00
s79         , -1.173195111079273e+01, -1.193859059468953e+01,  5.179722375716213e+00
s80         , -1.084592015135923e+01, -1.120864225413224e+01,  4.414417557899742e+00
s81         , -1.635889943275450e+01, -1.624308082374723e+01,  9.692709018067845e+00
s82         , -1.398410964550002e+01, -1.391779485960402e+01,  7.254793274878141e+00
s83         , -1.270752043992858e+01, -1.262596932396891e+01,  5.900395639772750e+00
s84         , -1.163584692726435e+01, -1.180389852856475e+01,  5.038506235614775e+00
s85         , -1.609859360689693e+01, -1.621599559446308e+01,  9.664311862665045e+00
s86         , -1.425937296474473e+01, -1.394619043208684e+01,  7.284564242518355e+00
s87         , -1.264485735595504e+01, -1.268518756410004e+01,  5.962482231325750e+00
s88         , -1.149714596837172e+01, -1.188273119356299e+01,  5.121157315112274e+00
s89         , -1.425699056390511e+01, -1.414503652361543e+01,  7.493041833870397e+00
s90         , -1.220557563740494e+01, -1.210307388709353e+01,  5.352172738478855e+00
s91         , -1.092583713551302e+01, -1.096865020013691e+01,  4.162801018816887e+00
s92         , -1.018348723592938e+01, -1.024674421752815e+01,  3.405928106304726e+00
s93         , -1.783369299687520e+01, -1.821563669906030e+01,  1.176080949985914e+01
s94         , -1.497721979655709e+01, -1.532910869407094e+01,  8.734466858551146e+00
s95         , -1.299626311740147e+01, -1.372548202463240e+01,  7.053165391157819e+00
s96         , -1.215293451360401e+01, -1.270499232589879e+01,  5.983246275543884e+00
s97         , -1.437292967204356e+01, -1.518049227709141e+01,  8.578651914394655e+00
s98         , -1.248033058103318e+01, -1.284268513957636e+01,  6.127608510281896e+00
s99         , -1.060016604191637e+01, -1.154390339651245e+01,  4.765917730219252e+00
s100        , -9.753325940300352e+00, -1.071740592365360e+01,  3.899387233815752e+00
s101        , -1.507280660180631e+01, -1.476633872652788e+01,  8.144438025614420e+00
s102        , -1.275999044270175e+01, -1.254686117488813e+01,  5.817455732581728e+00
s103        , -1.151109708630446e+01, -1.131381809064383e+01,  4.524687792008010e+00
s104        , -1.060029839038564e+01, -1.052915430976109e+01,  3.702017284370191e+00
s105        , -1.727846250712225e+01, -1.647229117925114e+01,  9.933021625980137e+00
s106        , -1.463335492554494e+01, -1.415315993688236e+01,  7.501558720566171e+00
s107        , -1.351277983464893e+01, -1.286475369112193e+01,  6.150745995336190e+00
s108        , -1.259608561396494e+01, -1.204485880745619e+01,  5.291137897462566e+00
s109        , -1.397837986980880e+01, -1.385516811238991e+01,  7.189133078527061e+00
s110        , -1.201403152197240e+01, -1.189602502193244e+01,  5.135095056090758e+00
s111        , -1.071994369587650e+01, -1.080761219390051e+01,  3.993962821403922e+00
s112        , -1.010523192491804e+01, -1.011498584878928e+01,  3.267787762966846e+00
s113        , -1.642893168374653e+01, -1.648404734093793e+01,  9.945347220379134e+00
s114        , -1.451534791774018e+01, -1.416674449542572e+01,  7.515801273803849e+00
s115        , -1.285124315171942e+01, -1.287935402569671e+01,  6.166053525706468e+00
s116        , -1.175457683370758e+01, -1.206010554496007e+01,  5.307123140553591e+00
s117        , -1.682966437283499e+01, -1.629761476466707e+01,  9.749884417204465e+00
s118        , -1.488287600171182e+01, -1.407861973595342e+01,  7.423408019040669e+00
s119        , -1.331186612713393e+01, -1.284584472000138e+01,  6.130921131171892e+00
s120        , -1.238777283657143e+01, -1.206135152803191e+01,  5.308429475255399e+00
s121        , -1.420746367536026e+01, -1.360534797120477e+01,  6.927212409606008e+00
s122        , -1.228252156553352e+01, -1.171758206394305e+01,  4.948008864004292e+00
s123        , -1.116955869810740e+01, -1.066882322657543e+01,  3.848451338670004e+00
s124        , -1.041429324390360e+01, -1.000143123915967e+01,  3.148732913457276e+00
s125        , -1.693330532410375e+01, -1.695268904916121e+01,  1.043668850743404e+01
s126        , -1.470257804494106e+01, -1.454472531802517e+01,  7.912090337707669e+00
s127        , -1.312237140486438e+01, -1.320696768961626e+01,  6.509535798970795e+00
s128        , -1.209226748514266e+01, -1.235566738062878e+01,  5.617001092501877e+00
s129        , -1.474461208276328e+01, -1.442045340749354e+01,  7.781799073840278e+00
s130        , -1.277944970877957e+01, -1.229980023272075e+01,  5.558427909885913e+00
s131        , -1.134816857956680e+01, -1.112165958006919e+01,  4.323221707689043e+00
s132        , -1.050339023528190e+01, -1.037193371020002e+01,  3.537181397200126e+00
s133        , -1.716094441986192e+01, -1.679154360319968e+01,  1.026773766624247e+01
s134        , -1.482302721026878e+01, -1.440636744685247e+01,  7.767030832112439e+00
s135        , -1.337626940826583e+01, -1.308126958221513e+01,  6.377749257595751e+00
s136        , -1.235235744063227e+01, -1.223802548653683e+01,  5.493660982903314e+00
s137        , -1.490781329092262e+01, -1.510301389453706e+01,  8.497420714663177e+00
s138        , -1.279850222612317e+01, -1.300067097664283e+01,  6.293246700734430e+00
s139        , -1.154189210615087e+01, -1.183270268892382e+01,  5.068705581885125e+00
s140        , -1.067894512354771e+01, -1.108945014219354e+01,  4.289452142617386e+00
s141        , -1.262179431497255e+01, -1.296554086940717e+01,  6.256414997963060e+00
s142        , -1.072877348479601e+01, -1.126057699123048e+01,  4.468867855687900e+00
s143        , -9.817856496395107e+00, -1.031337483668788e+01,  3.475786109979478e+00
s144        , -9.206669114586937e+00, -9.710609829251673e+00,  2.843824999074118e+00
s145        , -1.644088958394727e+01, -1.608704165865466e+01,  9.529111790458245e+00
s146        , -1.451324154590196e+01, -1.382047016001187e+01,  7.152754462880088e+00
s147        , -1.295730055969858e+01, -1.256126377187698e+01,  5.832555947558888e+00
s148        , -1.185192836070426e+01, -1.175995061579115e+01,  4.992429619627217e+00
s149        , -1.461238558797282e+01, -1.426717305222593e+01,  7.621094284411799e+00
s150        , -1.262394174124324e+01, -1.219031426467245e+01,  5.443638774579857e+00
s151        , -1.122937606549718e+01, -1.103650382714274e+01,  4.233941269117667e+00
s152        , -1.048081853217860e+01, -1.030226082144202e+01,  3.464133765641727e+00
s153        , -1.501622627955599e+01, -1.449801917550903e+01,  7.863121891718822e+00
s154        , -1.303637929589145e+01, -1.235520435273181e+01,  5.616515636942016e+00
s155        , -1.161940952950538e+01, -1.116475167341113e+01,  4.368401050954901e+00
s156        , -1.071207743037667e+01, -1.040719087747979e+01,  3.574146314417646e+00
s157        , -1.623397018878606e+01, -1.650815016877078e+01,  9.970617515876205e+00
s158        , -1.431128286342340e+01, -1.416753629693260e+01,  7.516631427767224e+00
s159        , -1.258812917983416e+01, -1.286719525702250e+01,  6.153305823262233e+00
s160        , -1.153190237043312e+01, -1.203970550435244e+01,  5.285734984031786e+00
s161        , -1.477366635037428e+01, -1.507379949675302e+01,  8.466791260314862e+00
s162        , -1.250174282075214e+01, -1.276647601076323e+01,  6.047708043082045e+00
s163        , -1.098918783573411e+01, -1.148462962965779e+01,  4.703772922397145e+00
s164        , -1.018886686701965e+01, -1.066890920531797e+01,  3.848541481961301e+00
s165        , -1.422311445934928e+01, -1.364190982647331e+01,  6.965545209929878e+00
s166        , -1.244903173116407e+01, -1.174369767484915e+01,  4.975389435664198e+00
s167        , -1.117357855051229e+01, -1.068913536839129e+01,  3.869747338849931e+00
s168        , -1.042974450426730e+01, -1.001805026428173e+01,  3.166156913604490e+00
s169        , -1.258984560834217e+01, -1.247556901612725e+01,  5.742710398507013e+00
