# c0 + a0 * ((rho / RBI) - (face-area-avg - E_T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.44122270379352; Max AE: 2.29460703546549
# Coefficients
# Task   a0                      c0
# all , -7.774120640316626e-01, -1.167754138301715e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|7|div|33|0|sub|sub; ((rho / RBI) - (face-area-avg - E_T)); $\left(\left(\frac{ rho }{ RBI } \right) - \left(face-area-avg - E_{T}\right)\right)$; ((rho ./ RBI) - (face_sub_area_sub_avg - E_T)); ((newdata$rho / newdata$RBI) - (newdata$face_sub_area_sub_avg - newdata$E_T)); rho,RBI,face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.170270544570568e+01,  1.289556018811694e+01
s2          , -2.298888400764099e+01, -2.293533434960038e+01,  1.448111431175927e+01
s3          , -1.755271246623431e+01, -1.781084737277614e+01,  7.889388747007130e+00
s4          , -1.917258847351942e+01, -1.911279473555474e+01,  9.564108529495067e+00
s5          , -2.000094091703784e+01, -2.009977171194163e+01,  1.083367588257732e+01
s6          , -2.179532463031582e+01, -2.093238444090404e+01,  1.190468155316657e+01
s7          , -2.156980503382011e+01, -2.114416773374513e+01,  1.217710245147728e+01
s8          , -2.070680399014268e+01, -2.129406155024115e+01,  1.236991373320434e+01
s9          , -2.311678210871720e+01, -2.250396148434825e+01,  1.392623114849186e+01
s10         , -1.955558688693647e+01, -1.928593751238118e+01,  9.786825393352979e+00
s11         , -1.929232032084748e+01, -2.003323083473119e+01,  1.074808308013820e+01
s12         , -1.972420304545977e+01, -1.910438949229630e+01,  9.553296704405998e+00
s13         , -1.649771434553038e+01, -1.677200807794006e+01,  6.553109902235089e+00
s14         , -1.814284237715737e+01, -1.854532826668346e+01,  8.834165562147227e+00
s15         , -2.140988745272463e+01, -2.204278904467780e+01,  1.333301622296214e+01
s16         , -2.271802967642396e+01, -2.199521712613065e+01,  1.327182355468731e+01
s17         , -1.845283706311921e+01, -1.900329657710299e+01,  9.423258954967112e+00
s18         , -2.106370881996578e+01, -2.127200350324063e+01,  1.234154004565680e+01
s19         , -2.166440903696862e+01, -2.195018935038764e+01,  1.321390346593862e+01
s20         , -1.957524373940041e+01, -1.952142201917390e+01,  1.008973361627339e+01
s21         , -2.230012329283520e+01, -2.273307106099167e+01,  1.422093917688965e+01
s22         , -1.709175230426198e+01, -1.658349711930608e+01,  6.310624652319667e+00
s23         , -2.271630669020732e+01, -2.296714915278535e+01,  1.452203830130991e+01
s24         , -1.997593461761007e+01, -2.003092636239328e+01,  1.074511879331462e+01
s25         , -2.228124530569044e+01, -2.266711669002768e+01,  1.413610080864779e+01
s26         , -1.806502239865187e+01, -1.806478677437664e+01,  8.216035853926938e+00
s27         , -2.017409009594002e+01, -2.007957114085649e+01,  1.080769150180970e+01
s28         , -1.658938425028538e+01, -1.708880714388992e+01,  6.960614597115860e+00
s29         , -2.262132344831001e+01, -2.310941678883421e+01,  1.470503988133565e+01
s30         , -1.697997334312175e+01, -1.725426362912287e+01,  7.173444437155766e+00
s31         , -1.964904728113367e+01, -1.944892321181409e+01,  9.996477014383483e+00
s32         , -2.151059652715050e+01, -2.204980183050129e+01,  1.334203690343259e+01
s33         , -2.289264810431292e+01, -2.344995030541095e+01,  1.514307465379689e+01
s34         , -2.302504917991390e+01, -2.273754798074840e+01,  1.422669792435945e+01
s35         , -2.244061385591441e+01, -2.210527602146690e+01,  1.341339441578957e+01
s36         , -2.239655424600443e+01, -2.130080280889772e+01,  1.237858514308910e+01
s37         , -2.226102540809307e+01, -2.155130702869752e+01,  1.270081350998719e+01
s38         , -2.102436377352775e+01, -2.099860232752852e+01,  1.198985888664025e+01
s39         , -2.141661104833067e+01, -2.044265793934443e+01,  1.127473699195166e+01
s40         , -1.990275935468409e+01, -1.946611022677123e+01,  1.001858500029253e+01
s41         , -1.952311408648237e+01, -1.921126695050316e+01,  9.690775222108167e+00
