# c0 + a0 * ((WE / AAV) - (WE * T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.644222569504015; Max AE: 2.85653277220215
# Coefficients
# Task   a0                      c0
# all , -3.367954871949268e+01, -1.390919116085028e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         7|3|div|7|1|mult|sub; ((WE / AAV) - (WE * T)); $\left(\left(\frac{ WE }{ AAV } \right) - \left(WE T\right)\right)$; ((WE ./ AAV) - (WE .* T)); ((newdata$WE / newdata$AAV) - (newdata$WE * newdata$T)); WE,AAV,WE,T
# Number of Samples Per Task
# Task, n_samples               
# all , 5208                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.464133397125199e+01,  2.173849823522030e-02
s2          , -1.314701044093141e+01, -1.302794903867267e+01, -2.616549673860610e-02
s3          , -1.146662759718736e+01, -1.141456410609335e+01, -7.406949171243249e-02
s4          , -1.053119538047528e+01, -9.801179173514033e+00, -1.219734866862589e-01
s5          , -1.676053957577113e+01, -1.587640374257406e+01,  5.840970727096527e-02
s6          , -1.473165248543640e+01, -1.452115328577862e+01,  1.817014028380254e-02
s7          , -1.327639572326454e+01, -1.316590282898319e+01, -2.206942670336023e-02
s8          , -1.243815468188715e+01, -1.181065237218775e+01, -6.230899369052295e-02
s9          , -1.469519139678599e+01, -1.387240698814394e+01, -1.092181282258534e-03
s10         , -1.273276214262625e+01, -1.264738956203403e+01, -3.746492001200603e-02
s11         , -1.156984372531678e+01, -1.142237213592412e+01, -7.383765874175353e-02
s12         , -1.074748491541494e+01, -1.019735470981421e+01, -1.102103974715010e-01
s13         , -1.482490640944098e+01, -1.402193015341795e+01,  3.347402113568682e-03
s14         , -1.299015493441703e+01, -1.290435160796752e+01, -2.983530335432280e-02
s15         , -1.140813689808867e+01, -1.178677306251709e+01, -6.301800882221431e-02
s16         , -1.059931818198457e+01, -1.066919451706667e+01, -9.620071429010577e-02
s17         , -1.661617250197141e+01, -1.745765844674986e+01,  1.053597040582030e-01
s18         , -1.538237687546894e+01, -1.592502089421244e+01,  5.985322873983329e-02
s19         , -1.304592919021045e+01, -1.439238334167501e+01,  1.434675342146358e-02
s20         , -1.206296164290882e+01, -1.285974578913759e+01, -3.115972189690611e-02
s21         , -1.434920619754616e+01, -1.355503732336862e+01, -1.051539735378616e-02
s22         , -1.209901153797546e+01, -1.200975456189152e+01, -5.639732927476622e-02
s23         , -1.084118796229850e+01, -1.046447180041443e+01, -1.022792611957463e-01
s24         , -1.003237799650230e+01, -8.919189038937333e+00, -1.481611931167263e-01
s25         , -1.650308689038163e+01, -1.613990750582275e+01,  6.623355804293786e-02
s26         , -1.465245495254782e+01, -1.486391977059398e+01,  2.834742881192845e-02
s27         , -1.320934948574711e+01, -1.358793203536520e+01, -9.538700419080948e-03
s28         , -1.200618241252536e+01, -1.231194430013642e+01, -4.742482965009034e-02
s29         , -1.458891392032861e+01, -1.382013653527067e+01, -2.644175143833527e-03
s30         , -1.311308030801202e+01, -1.261191523820865e+01, -3.851820977312592e-02
s31         , -1.189781492818940e+01, -1.140369394114663e+01, -7.439224440241832e-02
s32         , -1.097893290363762e+01, -1.019547264408461e+01, -1.102662790317107e-01
s33         , -1.601703755740822e+01, -1.622367115344685e+01,  6.872063553681228e-02
s34         , -1.449330432839522e+01, -1.464687206719938e+01,  2.190293321603071e-02
s35         , -1.295134400980532e+01, -1.307007298095191e+01, -2.491476910475088e-02
s36         , -1.219153301705061e+01, -1.149327389470444e+01, -7.173247142553243e-02
s37         , -1.658811786664458e+01, -1.663604125399866e+01,  8.096456742516167e-02
s38         , -1.460744563371568e+01, -1.514835360913400e+01,  3.679272720084079e-02
s39         , -1.354320739893696e+01, -1.366066596426934e+01, -7.379113023480099e-03
s40         , -1.259898287112754e+01, -1.217297831940468e+01, -5.155095324780096e-02
s41         , -1.506367336241177e+01, -1.388549216549705e+01, -7.036613094377336e-04
s42         , -1.292327801429672e+01, -1.273722525452775e+01, -3.479755373456750e-02
s43         , -1.144490732559265e+01, -1.158895834355845e+01, -6.889144615969729e-02
s44         , -1.054510192330784e+01, -1.044069143258915e+01, -1.029853385848270e-01
s45         , -1.549821089880063e+01, -1.405961022662068e+01,  4.466184123285047e-03
s46         , -1.303006306919012e+01, -1.288872382208835e+01, -3.029931746595262e-02
s47         , -1.168189259344820e+01, -1.171783741755602e+01, -6.506481905519029e-02
s48         , -1.075207312152351e+01, -1.054695101302369e+01, -9.983032064442796e-02
s49         , -1.453148296371105e+01, -1.371014098703690e+01, -5.910119980264819e-03
