# c0 + a0 * ((Ge - B) - (face-area-avg - poly_dist_avg))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.871229682391314; Max AE: 3.29686551320906
# Coefficients
# Task   a0                      c0
# all , -2.623126338001660e+00, -2.726502221174949e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|8|sub|32|29|sub|sub; ((Ge - B) - (face-area-avg - poly_dist_avg)); $\left(\left(Ge - B\right) - \left(face-area-avg - poly_{dist, avg}\right)\right)$; ((Ge - B) - (face_sub_area_sub_avg - poly_dist_avg)); ((newdata$Ge - newdata$B) - (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg)); Ge,B,face-area-avg,poly_dist_avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.184344415754313e+01, -2.066838327862090e+00
s2          , -2.298888400764099e+01, -2.095624413795701e+01, -2.405060702718040e+00
s3          , -1.755271246623431e+01, -1.829633668798272e+01, -3.419082563365689e+00
s4          , -1.917258847351942e+01, -1.853440312723994e+01, -3.328325806510972e+00
s5          , -2.000094091703784e+01, -1.981439421011729e+01, -2.840361858936692e+00
s6          , -2.179532463031582e+01, -2.180665775729882e+01, -2.080862204528407e+00
s7          , -2.156980503382011e+01, -2.248437520377620e+01, -1.822499716736959e+00
s8          , -2.070680399014268e+01, -1.956576954551704e+01, -2.935143669861461e+00
s9          , -2.311678210871720e+01, -2.280134693569904e+01, -1.701662329939834e+00
s10         , -1.955558688693647e+01, -2.016044331689769e+01, -2.708439464743502e+00
s11         , -1.929232032084748e+01, -1.834917469988556e+01, -3.398939419233678e+00
s12         , -1.972420304545977e+01, -1.920335809082213e+01, -3.073303791791007e+00
s13         , -1.649771434553038e+01, -1.798860923800886e+01, -3.536395803492846e+00
s14         , -1.814284237715737e+01, -1.830975233634131e+01, -3.413968189664263e+00
s15         , -2.140988745272463e+01, -2.076067523356628e+01, -2.479616358523669e+00
s16         , -2.271802967642396e+01, -2.271324595933830e+01, -1.735248579707680e+00
s17         , -1.845283706311921e+01, -1.924223124885945e+01, -3.058484391949616e+00
s18         , -2.106370881996578e+01, -2.049019018446117e+01, -2.582731883379088e+00
s19         , -2.166440903696862e+01, -2.231675385331502e+01, -1.886401080553419e+00
s20         , -1.957524373940041e+01, -1.810111583533310e+01, -3.493505533323870e+00
s21         , -2.230012329283520e+01, -2.169241877564530e+01, -2.124412902029525e+00
s22         , -1.709175230426198e+01, -1.695004872756683e+01, -3.932320504257818e+00
s23         , -2.271630669020732e+01, -2.224870719750091e+01, -1.912342132201717e+00
s24         , -1.997593461761007e+01, -2.062413739756825e+01, -2.531667925396366e+00
s25         , -2.228124530569044e+01, -2.307821774459208e+01, -1.596112397066999e+00
s26         , -1.806502239865187e+01, -1.667698071516613e+01, -4.036420717977884e+00
s27         , -2.017409009594002e+01, -2.007134843159135e+01, -2.742404616942086e+00
s28         , -1.658938425028538e+01, -1.798068191744267e+01, -3.539417892231517e+00
s29         , -2.262132344831001e+01, -2.299251741054945e+01, -1.628783463191825e+00
s30         , -1.697997334312175e+01, -1.817908031264393e+01, -3.463783565235127e+00
