# c0 + a0 * ((E / T) + (WE / RBI))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.670211413851923; Max AE: 4.10166712784331
# Coefficients
# Task   a0                      c0
# all , -9.852215726283025e-01, -6.467747941021795e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|1|div|7|6|div|add; ((E / T) + (WE / RBI)); $\left(\left(\frac{ E }{ T } \right) + \left(\frac{ WE }{ RBI } \right)\right)$; ((E ./ T) + (WE ./ RBI)); ((newdata$E / newdata$T) + (newdata$WE / newdata$RBI)); E,T,WE,RBI
# Number of Samples Per Task
# Task, n_samples               
# all , 5208                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.679011500674548e+01,  1.047720365905755e+01
s2          , -1.314701044093141e+01, -1.408009371703698e+01,  7.726531764532439e+00
s3          , -1.146662759718736e+01, -1.257452633386558e+01,  6.198380712018485e+00
s4          , -1.053119538047528e+01, -1.161643799912015e+01,  5.225920951327788e+00
s5          , -1.676053957577113e+01, -1.627564569503438e+01,  9.955017253477088e+00
s6          , -1.473165248543640e+01, -1.403992686184275e+01,  7.685762402279162e+00
s7          , -1.327639572326454e+01, -1.279786084340296e+01,  6.425065262724758e+00
s8          , -1.243815468188715e+01, -1.200745519530491e+01,  5.622803446644683e+00
s9          , -1.469519139678599e+01, -1.411131224625190e+01,  7.758218574974114e+00
s10         , -1.273276214262625e+01, -1.208722051088760e+01,  5.703765250363514e+00
s11         , -1.156984372531678e+01, -1.096272510235188e+01,  4.562402292246514e+00
s12         , -1.074748491541494e+01, -1.024713711510187e+01,  3.836080409808424e+00
s13         , -1.482490640944098e+01, -1.430777553707848e+01,  7.957628835858340e+00
s14         , -1.299015493441703e+01, -1.211173120447199e+01,  5.728643606933606e+00
s15         , -1.140813689808867e+01, -1.089170657524617e+01,  4.490318479753199e+00
s16         , -1.059931818198457e+01, -1.011532726573883e+01,  3.702293398820212e+00
s17         , -1.661617250197141e+01, -1.640250992907943e+01,  1.008378446439657e+01
s18         , -1.538237687546894e+01, -1.401850972320122e+01,  7.664024004301948e+00
s19         , -1.304592919021045e+01, -1.269406516437999e+01,  6.319712637582711e+00
s20         , -1.206296164290882e+01, -1.185123680876648e+01,  5.464241767852288e+00
s21         , -1.434920619754616e+01, -1.487478751848943e+01,  8.533146056718945e+00
s22         , -1.209901153797546e+01, -1.264835854051202e+01,  6.273320409542028e+00
s23         , -1.084118796229850e+01, -1.141145355274679e+01,  5.017861716665963e+00
s24         , -1.003237799650230e+01, -1.062433219689619e+01,  4.218933457563013e+00
s25         , -1.650308689038163e+01, -1.569277786791079e+01,  9.363406347547922e+00
s26         , -1.465245495254782e+01, -1.342135220037230e+01,  7.057909055726609e+00
s27         , -1.320934948574711e+01, -1.215944905173981e+01,  5.777077226936989e+00
s28         , -1.200618241252536e+01, -1.135641977533731e+01,  4.962002426798142e+00
s29         , -1.458891392032861e+01, -1.404812367563353e+01,  7.694082169140247e+00
s30         , -1.311308030801202e+01, -1.221437847737624e+01,  5.832830599744184e+00
s31         , -1.189781492818940e+01, -1.119563114501109e+01,  4.798801950079705e+00
s32         , -1.097893290363762e+01, -1.054733738805144e+01,  4.140783718475036e+00
s33         , -1.601703755740822e+01, -1.518000808351763e+01,  8.842944962374203e+00
s34         , -1.449330432839522e+01, -1.319007269745584e+01,  6.823160335903644e+00
s35         , -1.295134400980532e+01, -1.208455303853262e+01,  5.701057765642222e+00
s36         , -1.219153301705061e+01, -1.138104052830876e+01,  4.986992493657682e+00
s37         , -1.658811786664458e+01, -1.527569006840744e+01,  8.940062187116405e+00
s38         , -1.460744563371568e+01, -1.325378211532986e+01,  6.887825401756861e+00
s39         , -1.354320739893696e+01, -1.213049991917565e+01,  5.747693854334892e+00
s40         , -1.259898287112754e+01, -1.141568397616842e+01,  5.022155596884548e+00
s41         , -1.506367336241177e+01, -1.505675516581479e+01,  8.717843237922480e+00
s42         , -1.292327801429672e+01, -1.272552041266620e+01,  6.351639717906678e+00
s43         , -1.144490732559265e+01, -1.143038999425031e+01,  5.037082206786788e+00
s44         , -1.054510192330784e+01, -1.060621609162202e+01,  4.200545608801404e+00
s45         , -1.549821089880063e+01, -1.562965325564055e+01,  9.299334859444148e+00
s46         , -1.303006306919012e+01, -1.318992460963944e+01,  6.823010026754396e+00
s47         , -1.168189259344820e+01, -1.183451980630548e+01,  5.447274008593422e+00
s48         , -1.075207312152351e+01, -1.097198947691115e+01,  4.571805633400077e+00
s49         , -1.453148296371105e+01, -1.454183883404120e+01,  8.195203106931505e+00
s50         , -1.227388867428150e+01, -1.239306437150849e+01,  6.014196801111005e+00
s51         , -1.108875379662642e+01, -1.119930078121253e+01,  4.802526631210728e+00
s52         , -1.038425989348632e+01, -1.043963304193329e+01,  4.031463795819643e+00
s53         , -1.465169748063443e+01, -1.423511937476153e+01,  7.883882823453108e+00
s54         , -1.281452629320899e+01, -1.216639422337931e+01,  5.784126576882684e+00
s55         , -1.144942863562119e+01, -1.101710247261142e+01,  4.617595328788004e+00
s56         , -1.064606442558026e+01, -1.028573499485003e+01,  3.875257261818661e+00
s57         , -1.581197879728031e+01, -1.575965786338542e+01,  9.431289549999743e+00
s58         , -1.349923238518420e+01, -1.330216279985506e+01,  6.936931801646312e+00
s59         , -1.205519609706438e+01, -1.193688776456041e+01,  5.551177497005515e+00
s60         , -1.100828675700967e+01, -1.106807637846382e+01,  4.669333848597737e+00
s61         , -1.619315500215883e+01, -1.532826538528546e+01,  8.993426139285829e+00
s62         , -1.462227100496892e+01, -1.317103300887500e+01,  6.803835049988468e+00
s63         , -1.307457242549381e+01, -1.197257057753585e+01,  5.587395555934378e+00
s64         , -1.194437863403913e+01, -1.120991266668367e+01,  4.813297696081777e+00
s65         , -1.684922037807049e+01, -1.534470396801368e+01,  9.010111302486592e+00
s66         , -1.545277468606795e+01, -1.326223237446544e+01,  6.896402415669622e+00
s67         , -1.402248960829277e+01, -1.210530371138309e+01,  5.722119700771304e+00
s68         , -1.266343152928770e+01, -1.136907638033069e+01,  4.974848882199648e+00
s69         , -1.426536183018756e+01, -1.437710395757051e+01,  8.027997189960743e+00
s70         , -1.227696148988738e+01, -1.222809837357359e+01,  5.846756295829725e+00
s71         , -1.094076857933737e+01, -1.103420638246418e+01,  4.634955799090270e+00
s72         , -1.009149526642792e+01, -1.027445693357638e+01,  3.863810028437889e+00
s73         , -1.606751413385304e+01, -1.573650940491795e+01,  9.407793862216829e+00
s74         , -1.423596796347718e+01, -1.351040450035199e+01,  7.148297149586679e+00
s75         , -1.263914470436971e+01, -1.227367955337091e+01,  5.893021198125482e+00
s76         , -1.176874332211041e+01, -1.148667276892840e+01,  5.094209229013813e+00
s77         , -1.502445348449817e+01, -1.462987910993943e+01,  8.284563996242284e+00
s78         , -1.282958977816056e+01, -1.249715091568895e+01,  6.119844654418548e+00
s79         , -1.173195111079273e+01, -1.131230191888312e+01,  4.917222797849806e+00
s80         , -1.084592015135923e+01, -1.055830710273396e+01,  4.151917980033335e+00
s81         , -1.635889943275450e+01, -1.588636801267936e+01,  9.559900364880622e+00
s82         , -1.398410964550002e+01, -1.348448083023871e+01,  7.121984621690919e+00
s83         , -1.270752043992858e+01, -1.215009906221612e+01,  5.767586986585528e+00
s84         , -1.163584692726435e+01, -1.130094702801993e+01,  4.905697582427552e+00
s85         , -1.609859360689693e+01, -1.611848996421006e+01,  9.795504170135779e+00
s86         , -1.425937296474473e+01, -1.377391127143068e+01,  7.415756549989089e+00
s87         , -1.264485735595504e+01, -1.247136755321991e+01,  6.093674538796484e+00
s88         , -1.149714596837172e+01, -1.164247609617670e+01,  5.252349622583008e+00
s89         , -1.425699056390511e+01, -1.482224038791600e+01,  8.479810713651647e+00
s90         , -1.220557563740494e+01, -1.271300997096301e+01,  6.338941618260106e+00
s91         , -1.092583713551302e+01, -1.154121529487802e+01,  5.149569898598138e+00
s92         , -1.018348723592938e+01, -1.079552777373302e+01,  4.392696986085976e+00
s93         , -1.783369299687520e+01, -1.861540566255000e+01,  1.232987386697347e+01
s94         , -1.497721979655709e+01, -1.563378760616846e+01,  9.303531225665479e+00
s95         , -1.299626311740147e+01, -1.397733313040093e+01,  7.622229758272151e+00
s96         , -1.215293451360401e+01, -1.292322573673069e+01,  6.552310642658216e+00
s97         , -1.437292967204356e+01, -1.539253031481060e+01,  9.058655049523447e+00
s98         , -1.248033058103318e+01, -1.297770947763040e+01,  6.607611645410688e+00
s99         , -1.060016604191637e+01, -1.163614234586362e+01,  5.245920865348044e+00
s100        , -9.753325940300352e+00, -1.078241780746658e+01,  4.379390368944544e+00
s101        , -1.507280660180631e+01, -1.493912258109144e+01,  8.598446152036976e+00
s102        , -1.275999044270175e+01, -1.264652942687156e+01,  6.271463859004284e+00
s103        , -1.151109708630446e+01, -1.137286656341607e+01,  4.978695918430566e+00
s104        , -1.060029839038564e+01, -1.056235383212621e+01,  4.156025410792747e+00
s105        , -1.727846250712225e+01, -1.644775394618546e+01,  1.012970714652516e+01
s106        , -1.463335492554494e+01, -1.405222423872614e+01,  7.698244241111193e+00
s107        , -1.351277983464893e+01, -1.272137440124873e+01,  6.347431515881212e+00
s108        , -1.259608561396494e+01, -1.187446995921766e+01,  5.487823418007587e+00
s109        , -1.397837986980880e+01, -1.385162869436387e+01,  7.494639742452958e+00
s110        , -1.201403152197240e+01, -1.182794612366085e+01,  5.440601720016654e+00
s111        , -1.071994369587650e+01, -1.070367802882584e+01,  4.299469485329819e+00
s112        , -1.010523192491804e+01, -9.988234695749011e+00,  3.573294426892743e+00
s113        , -1.642893168374653e+01, -1.647371205598422e+01,  1.015605463070529e+01
s114        , -1.451534791774018e+01, -1.408007097772660e+01,  7.726508684130008e+00
s115        , -1.285124315171942e+01, -1.275027037869459e+01,  6.376760936032627e+00
s116        , -1.175457683370758e+01, -1.190403363385603e+01,  5.517830550879750e+00
s117        , -1.682966437283499e+01, -1.577119254035512e+01,  9.442997248339042e+00
s118        , -1.488287600171182e+01, -1.347909780467355e+01,  7.116520850175246e+00
s119        , -1.331186612713393e+01, -1.220571184040602e+01,  5.824033962306469e+00
s120        , -1.238777283657143e+01, -1.139537531769031e+01,  5.001542306389976e+00
s121        , -1.420746367536026e+01, -1.365146557331510e+01,  7.291474153503466e+00
s122        , -1.228252156553352e+01, -1.170151154356586e+01,  5.312270607901750e+00
s123        , -1.116955869810740e+01, -1.061820374926073e+01,  4.212713082567463e+00
s124        , -1.041429324390360e+01, -9.928826061975652e+00,  3.512994657354735e+00
s125        , -1.693330532410375e+01, -1.662018351822359e+01,  1.030472318030742e+01
s126        , -1.470257804494106e+01, -1.413289493919124e+01,  7.780125010581044e+00
s127        , -1.312237140486438e+01, -1.275106795083993e+01,  6.377570471844170e+00
s128        , -1.209226748514266e+01, -1.187172350370729e+01,  5.485035765375252e+00
s129        , -1.474461208276328e+01, -1.477806367785826e+01,  8.434971348289510e+00
s130        , -1.277944970877957e+01, -1.258755044317072e+01,  6.211600184335145e+00
s131        , -1.134816857956680e+01, -1.137059864612209e+01,  4.976393982138275e+00
s132        , -1.050339023528190e+01, -1.059617477527296e+01,  4.190353671649358e+00
s133        , -1.716094441986192e+01, -1.693125978610374e+01,  1.062046562497424e+01
s134        , -1.482302721026878e+01, -1.446750946629980e+01,  8.119758790844200e+00
s135        , -1.337626940826583e+01, -1.309875928863094e+01,  6.730477216327511e+00
s136        , -1.235235744063227e+01, -1.222773644829622e+01,  5.846388941635075e+00
s137        , -1.490781329092262e+01, -1.486369664164207e+01,  8.521888815550573e+00
s138        , -1.279850222612317e+01, -1.269209685329275e+01,  6.317714801621825e+00
s139        , -1.154189210615087e+01, -1.148565252643202e+01,  5.093173682772520e+00
s140        , -1.067894512354771e+01, -1.071791522752065e+01,  4.313920243504782e+00
s141        , -1.262179431497255e+01, -1.288034855100473e+01,  6.508790294629730e+00
s142        , -1.072877348479601e+01, -1.111921854434517e+01,  4.721243152354570e+00
s143        , -9.817856496395107e+00, -1.014081298508986e+01,  3.728161406646147e+00
s144        , -9.206669114586937e+00, -9.518191265563749e+00,  3.096200295740788e+00
s145        , -1.644088958394727e+01, -1.616771491161887e+01,  9.845467496941023e+00
s146        , -1.451324154590196e+01, -1.382647640821552e+01,  7.469110169362866e+00
s147        , -1.295730055969858e+01, -1.252578835076922e+01,  6.148911654041667e+00
s148        , -1.185192836070426e+01, -1.169807776875794e+01,  5.308785326109994e+00
s149        , -1.461238558797282e+01, -1.455227470346692e+01,  8.205795515497911e+00
s150        , -1.262394174124324e+01, -1.240699856174213e+01,  6.028340005665969e+00
s151        , -1.122937606549718e+01, -1.121517848300614e+01,  4.818642500203778e+00
