# c0 + a0 * (cos(E/T) + E/T)
# Property Label: $D$; Unit of the Property: Unitless
# RMSE: 6.69177290578537e-07; Max AE: 3.26709521361957e-06
# Coefficients
# Task   a0                      c0
# all , -1.198045924275048e-06,  1.003729030016730e-05, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|cos|0|add; (cos(E/T) + E/T); $\left(\left(\cos{ E/T }\right) + E/T\right)$; (cos(E_div_T) + E_div_T); (cos(newdata$E_div_T) + newdata$E_div_T); E/T,E/T
# Number of Samples Per Task
# Task, n_samples               
# all , 500                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  1.436462563107120e-07, -3.231707736797807e-07,  8.647799607612138e+00
s2          ,  5.260053344200803e-08,  6.277216832983156e-07,  7.854096763913978e+00
s3          ,  4.149153154123484e-07,  6.848861958970833e-07,  7.806381971483664e+00
s4          ,  3.644390884127098e-07,  6.278885588262008e-07,  7.853957474155127e+00
s5          ,  6.076982308831909e-08,  5.822446584293925e-07,  7.892056097481631e+00
s6          ,  5.864337124176607e-07,  6.278256535982161e-07,  7.854009980679884e+00
s7          ,  6.804565973706820e-08,  6.258726079169611e-07,  7.855640173347530e+00
s8          ,  4.614399455322109e-07,  1.066593516558228e-06,  7.487773717052916e+00
s9          ,  1.106340911167734e-07,  7.214239227482949e-07,  7.775884203317288e+00
s10         ,  6.249883835826289e-08,  6.868797349322187e-07,  7.804717979315465e+00
s11         ,  2.870316460130225e-07,  6.123764474227085e-07,  7.866905317880633e+00
s12         ,  1.858713816745230e-07,  5.239936400814932e-07,  7.940677788159430e+00
s13         ,  4.887166497840028e-07,  6.299939050746551e-07,  7.852200157339639e+00
s14         ,  4.333598114721187e-07,  6.532245724521874e-07,  7.832809692494489e+00
s15         ,  1.358141001046920e-07,  4.985746140967754e-07,  7.961894859616936e+00
s16         ,  9.276884252728586e-08,  6.292356300974347e-07,  7.852833083809198e+00
s17         ,  4.813672786793108e-08,  6.465966921526465e-07,  7.838341934761036e+00
s18         ,  6.377229916916383e-07,  6.299701856491564e-07,  7.852219955767245e+00
s19         ,  1.051882606285358e-07,  6.278277266213488e-07,  7.854008250342933e+00
s20         ,  2.985126625238188e-07,  6.321084502069634e-07,  7.850435162284389e+00
s21         ,  7.859958379498259e-08,  5.668508599586627e-07,  7.904905186284337e+00
s22         ,  1.019693451174544e-07,  6.066823476627364e-07,  7.871658140493352e+00
s23         ,  6.430839483603262e-07,  6.371877994076227e-07,  7.846195467379760e+00
s24         ,  1.798562522204854e-08, -2.182388170242923e-06,  1.019967450563675e+01
s25         ,  5.726851933210015e-07,  5.538423378557924e-07,  7.915763302688131e+00
s26         ,  2.844220524377440e-07,  6.229873270041438e-07,  7.858048495811932e+00
s27         ,  3.133711976372876e-08,  5.726575231354217e-07,  7.900058407826930e+00
s28         ,  8.497022271754762e-07,  6.852563220795904e-07,  7.806073029918898e+00
s29         ,  7.328340267707349e-08,  5.743102043169249e-07,  7.898678927167620e+00
s30         ,  4.908735490773996e-08,  6.230756444797097e-07,  7.857974777873600e+00
s31         ,  6.757357934716325e-07,  7.801131981158497e-07,  7.726896702772960e+00
s32         ,  4.425465275104499e-08,  4.476255455832495e-07,  8.004421667213528e+00
s33         ,  3.949083663967946e-07,  6.279346910815855e-07,  7.853918967905534e+00
s34         ,  3.524492041189800e-08,  4.887623177938942e-07,  7.970085110177505e+00
s35         ,  3.354431676289776e-07,  6.283996623886395e-07,  7.853530859822502e+00
s36         ,  3.299319526081597e-06,  1.344201150852110e-06,  7.256056694634210e+00
s37         ,  7.241230568684906e-08,  6.082187582560013e-07,  7.870375710027096e+00
s38         ,  4.507352998804503e-07,  6.303748697314961e-07,  7.851882168981161e+00
s39         ,  3.009787178375175e-07,  6.278594617791125e-07,  7.853981761243375e+00
s40         ,  8.905869512620033e-08,  5.506994478885916e-07,  7.918386649509417e+00
s41         ,  3.835996714708503e-07,  5.827633377862592e-07,  7.891623159689884e+00
