# c0 + a0 * ((Cl + B) + (face-area-avg - poly_dist_avg_fixed))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.875506970509651; Max AE: 3.38160446514436
# Coefficients
# Task   a0                      c0
# all ,  2.579701073131496e+00, -2.733287502702283e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         17|8|add|32|30|sub|add; ((Cl + B) + (face-area-avg - poly_dist_avg_fixed)); $\left(\left(Cl + B\right) + \left(face-area-avg - poly_{dist, avg, fixed}\right)\right)$; ((Cl + B) + (face_sub_area_sub_avg - poly_dist_avg_fixed)); ((newdata$Cl + newdata$B) + (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg_fixed)); Cl,B,face-area-avg,poly_dist_avg_fixed
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.182216559366412e+01,  2.136181393555520e+00
s2          , -2.298888400764099e+01, -2.098251653581444e+01,  2.461664476302946e+00
s3          , -1.755271246623431e+01, -1.783716228326590e+01,  3.680935300085019e+00
s4          , -1.917258847351942e+01, -1.874678937223522e+01,  3.328325806510972e+00
s5          , -2.000094091703784e+01, -2.010439122171346e+01,  2.802062564766358e+00
s6          , -2.179532463031582e+01, -2.196487256496212e+01,  2.080862204528407e+00
s7          , -2.156980503382011e+01, -2.222225496328419e+01,  1.981090025107003e+00
s8          , -2.070680399014268e+01, -1.900866893908941e+01,  3.226810336528128e+00
s9          , -2.311678210871720e+01, -2.270400064256717e+01,  1.794345256769102e+00
s10         , -1.955558688693647e+01, -1.987565282518939e+01,  2.890731131410169e+00
s11         , -1.929232032084748e+01, -1.834115362378027e+01,  3.485567183304505e+00
s12         , -1.972420304545977e+01, -1.962814166175103e+01,  2.986676807448483e+00
s13         , -1.649771434553038e+01, -1.821003097773461e+01,  3.536395803492846e+00
s14         , -1.814284237715737e+01, -1.772397638938738e+01,  3.724810885150820e+00
s15         , -2.140988745272463e+01, -2.065696005353253e+01,  2.587863781204081e+00
s16         , -2.271802967642396e+01, -2.285645240380102e+01,  1.735248579707680e+00
s17         , -1.845283706311921e+01, -1.944289955895447e+01,  3.058484391949616e+00
s18         , -2.106370881996578e+01, -2.056375053302899e+01,  2.623995688685278e+00
s19         , -2.166440903696862e+01, -2.246926967626106e+01,  1.885336794025458e+00
s20         , -1.957524373940041e+01, -1.832067505371642e+01,  3.493505533323870e+00
s21         , -2.230012329283520e+01, -2.164350901156888e+01,  2.205436154874963e+00
