# c0 + a0 * ((Cl + B) + (face-area-avg - poly_dist_avg))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.877848907077401; Max AE: 3.36275089140855
# Coefficients
# Task   a0                      c0
# all ,  2.535977987977312e+00, -2.721022323226499e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         17|8|add|32|29|sub|add; ((Cl + B) + (face-area-avg - poly_dist_avg)); $\left(\left(Cl + B\right) + \left(face-area-avg - poly_{dist, avg}\right)\right)$; ((Cl + B) + (face_sub_area_sub_avg - poly_dist_avg)); ((newdata$Cl + newdata$B) + (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg)); Cl,B,face-area-avg,poly_dist_avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.179291423988150e+01,  2.136181393555520e+00
s2          , -2.298888400764099e+01, -2.096749630657503e+01,  2.461664476302946e+00
s3          , -1.755271246623431e+01, -1.786691964611597e+01,  3.684299954670037e+00
s4          , -1.917258847351942e+01, -1.876966225013634e+01,  3.328325806510972e+00
s5          , -2.000094091703784e+01, -2.000712808011123e+01,  2.840361858936692e+00
s6          , -2.179532463031582e+01, -2.193320248556701e+01,  2.080862204528407e+00
s7          , -2.156980503382011e+01, -2.218622253639221e+01,  1.981090025107003e+00
s8          , -2.070680399014268e+01, -1.902710324745200e+01,  3.226810336528128e+00
s9          , -2.311678210871720e+01, -2.265980315826705e+01,  1.794345256769102e+00
s10         , -1.955558688693647e+01, -1.987939271384806e+01,  2.890731131410169e+00
s11         , -1.929232032084748e+01, -1.836858287559168e+01,  3.486481506775766e+00
s12         , -1.972420304545977e+01, -1.941639246591579e+01,  3.073303791791007e+00
s13         , -1.649771434553038e+01, -1.824200131783180e+01,  3.536395803492846e+00
s14         , -1.814284237715737e+01, -1.776117364935807e+01,  3.725998264852233e+00
s15         , -2.140988745272463e+01, -2.064745764724771e+01,  2.587863781204081e+00
s16         , -2.271802967642396e+01, -2.280967103045742e+01,  1.735248579707680e+00
s17         , -1.845283706311921e+01, -1.945397413770859e+01,  3.058484391949616e+00
s18         , -2.106370881996578e+01, -2.066047202716844e+01,  2.582731883379088e+00
s19         , -2.166440903696862e+01, -2.242635161548491e+01,  1.886401080553419e+00
s20         , -1.957524373940041e+01, -1.835077009887872e+01,  3.493505533323870e+00
s21         , -2.230012329283520e+01, -2.182275887534312e+01,  2.124412902029525e+00
s22         , -1.709175230426198e+01, -1.723794499179532e+01,  3.932320504257818e+00
s23         , -2.271630669020732e+01, -2.236056567951984e+01,  1.912342132201717e+00
s24         , -1.997593461761007e+01, -1.978194437733704e+01,  2.929157465145320e+00
s25         , -2.228124530569044e+01, -2.316251732696538e+01,  1.596112397066999e+00
s26         , -1.806502239865187e+01, -1.697394914125750e+01,  4.036420717977884e+00
s27         , -2.017409009594002e+01, -2.025554548957251e+01,  2.742404616942086e+00
s28         , -1.658938425028538e+01, -1.755224673606374e+01,  3.808383409472896e+00
s29         , -2.262132344831001e+01, -2.307966422242907e+01,  1.628783463191825e+00
s30         , -1.697997334312175e+01, -1.808373382568888e+01,  3.598804662281541e+00
s31         , -1.964904728113367e+01, -1.999321743275770e+01,  2.845847177586724e+00
s32         , -2.151059652715050e+01, -2.065772416746081e+01,  2.583815433678286e+00
s33         , -2.289264810431292e+01, -2.245388681683189e+01,  1.875543257071699e+00
s34         , -2.302504917991390e+01, -2.046582273959281e+01,  2.659487000536429e+00
s35         , -2.244061385591441e+01, -2.312159240820633e+01,  1.612250123401008e+00
s36         , -2.239655424600443e+01, -2.030073980037714e+01,  2.724583361781795e+00
s37         , -2.226102540809307e+01, -2.029908970972209e+01,  2.725234034091597e+00
s38         , -2.102436377352775e+01, -2.111521750794302e+01,  2.403414285619777e+00
s39         , -2.141661104833067e+01, -2.246173350659935e+01,  1.872449109644292e+00
s40         , -1.990275935468409e+01, -2.029936665648114e+01,  2.725124827008429e+00
s41         , -1.952311408648237e+01, -1.962070051992569e+01,  2.992739979731718e+00
s42         , -1.862175379272403e+01, -1.919998548736984e+01,  3.158638514557493e+00
s43         , -2.257821044890805e+01, -2.288660354208276e+01,  1.704912152502845e+00
s44         , -1.984867902879579e+01, -1.942175868923284e+01,  3.071187754766047e+00
s45         , -1.928264199244582e+01, -1.925712834710975e+01,  3.136105645577234e+00
s46         , -2.007096062658339e+01, -1.947074671150457e+01,  3.051870543613590e+00
s47         , -1.842882744186564e+01, -1.959481190554889e+01,  3.002948512494831e+00
s48         , -1.712958329507449e+01, -1.667241656328927e+01,  4.155322608845138e+00
s49         , -2.142142340445580e+01, -1.981193338592900e+01,  2.917332043657386e+00
s50         , -2.022197746600499e+01, -1.931521774372577e+01,  3.113199533264187e+00
s51         , -2.208446385448407e+01, -2.202912113884732e+01,  2.043039063422670e+00
s52         , -2.030062191637932e+01, -1.911198750465246e+01,  3.193338335744648e+00
s53         , -1.881589086732163e+01, -2.105008836779978e+01,  2.429096346131348e+00
s54         , -2.389190768082197e+01, -2.287855847148582e+01,  1.708084526488376e+00
s55         , -1.989931101552115e+01, -1.928712671891959e+01,  3.124276531936637e+00
s56         , -2.293632659980805e+01, -2.322144011664502e+01,  1.572877656876436e+00
s57         , -2.165250835772914e+01, -2.200389025552528e+01,  2.052988236263148e+00
s58         , -2.493828100106786e+01, -2.307518231006579e+01,  1.630550794132601e+00
s59         , -2.019609135900962e+01, -2.006123355337807e+01,  2.819026707952201e+00
s60         , -1.686951544328429e+01, -1.795733432049055e+01,  3.648647171087836e+00
s61         , -1.698686520707895e+01, -1.851340956494252e+01,  3.429372695091498e+00
s62         , -1.961666852236879e+01, -1.958691330129301e+01,  3.006063131112708e+00
s63         , -2.363642228074260e+01, -2.249125073076794e+01,  1.860809724638380e+00
s64         , -2.123215125329894e+01, -2.303925394686591e+01,  1.644718252750228e+00
s65         , -2.229595939650926e+01, -2.234252612726550e+01,  1.919455582058089e+00
s66         , -2.209517036440609e+01, -2.103801910318831e+01,  2.433855561183170e+00
s67         , -2.100952424313996e+01, -2.168691909010530e+01,  2.177977951048805e+00
s68         , -2.306714632630091e+01, -2.208442718196245e+01,  2.021230497505566e+00
s69         , -2.116954741071400e+01, -2.221526158132389e+01,  1.969639198219172e+00
s70         , -2.268552320802911e+01, -2.182684498413126e+01,  2.122801646408412e+00
s71         , -1.844586653395837e+01, -1.891599930012820e+01,  3.270621421581124e+00
s72         , -2.185924535832699e+01, -2.253863183105641e+01,  1.842126163301057e+00
s73         , -1.814705961150877e+01, -1.929372077120473e+01,  3.121676331021486e+00
s74         , -2.269683109870329e+01, -2.304074954556521e+01,  1.644128500510112e+00
s75         , -2.162544692540680e+01, -2.146713209169780e+01,  2.264645500786806e+00
s76         , -1.799713371423827e+01, -1.869415615831561e+01,  3.358099760456426e+00
s77         , -1.808839931225978e+01, -1.890174834770210e+01,  3.276240931093299e+00
s78         , -1.710463489071706e+01, -1.825556460796806e+01,  3.531047456543239e+00
s79         , -2.130172009097587e+01, -2.145138209097174e+01,  2.270856122803528e+00
s80         , -2.075517304342145e+01, -2.004831741123876e+01,  2.824119868145443e+00
s81         , -1.679587307458704e+01, -1.810788303746921e+01,  3.589282019776434e+00
s82         , -1.961963418382102e+01, -1.936107358797247e+01,  3.095117418804166e+00
s83         , -1.732943596118787e+01, -1.859916406450723e+01,  3.395557535823062e+00
s84         , -2.091958911511147e+01, -1.984191718598191e+01,  2.905508676027596e+00
s85         , -1.931803893900067e+01, -1.989054961861009e+01,  2.886331682828626e+00
s86         , -2.124992178205270e+01, -2.094900240346740e+01,  2.468957088145520e+00
s87         , -2.000999990609716e+01, -1.981531045928491e+01,  2.916000378567263e+00
s88         , -1.933594922663024e+01, -1.899939736920144e+01,  3.237735462212146e+00
s89         , -2.128477820873118e+01, -2.151715515509902e+01,  2.244920146845104e+00
s90         , -2.009844325702736e+01, -1.989572872032710e+01,  2.884289432564009e+00
s91         , -2.185233402642529e+01, -2.316930082983091e+01,  1.593437491015886e+00
s92         , -1.852873985612102e+01, -1.849446038934900e+01,  3.436844832343225e+00
s93         , -2.244477787769646e+01, -2.148984474640528e+01,  2.255689328921293e+00
s94         , -2.069748145715988e+01, -2.092710470613114e+01,  2.477591901791408e+00
s95         , -1.839144268754908e+01, -1.803270599432598e+01,  3.618926221539870e+00
s96         , -2.061908691885885e+01, -1.973843210751318e+01,  2.946315449177574e+00
s97         , -2.336181657728519e+01, -2.265498070029603e+01,  1.796246873421094e+00
s98         , -1.913590175727989e+01, -1.941408934244999e+01,  3.074211971387487e+00
s99         , -1.764848235022367e+01, -1.748536290738424e+01,  3.834757387873574e+00
s100        , -2.003395952271198e+01, -2.016355674673395e+01,  2.778678095369212e+00
s101        , -2.047737186068138e+01, -2.099701117073018e+01,  2.450026021909779e+00
s102        , -1.813404261594337e+01, -1.696921974406726e+01,  4.038285638419885e+00
s103        , -2.094885731266024e+01, -2.102303727149582e+01,  2.439763274800367e+00
s104        , -1.695125455205811e+01, -1.720201246934459e+01,  3.946489602972825e+00
s105        , -2.089913046364001e+01, -2.052181139305263e+01,  2.637409264165980e+00
s106        , -2.193421435204462e+01, -2.291403105939937e+01,  1.694096791546780e+00
s107        , -1.938858975045087e+01, -1.823314156799301e+01,  3.539889426024583e+00
s108        , -2.184761912256448e+01, -2.265412901690500e+01,  1.796582713635427e+00
s109        , -1.765266017099491e+01, -1.907694921777003e+01,  3.207154814849965e+00
s110        , -2.222643790681205e+01, -1.950540801613403e+01,  3.038202718106516e+00
s111        , -2.198367498730207e+01, -2.249296868600271e+01,  1.860132291615334e+00
s112        , -2.341727175416096e+01, -2.308723491136160e+01,  1.625798149845883e+00
s113        , -2.064750776227555e+01, -2.060910400716856e+01,  2.602987587586068e+00
s114        , -2.335281852671257e+01, -2.263685250110357e+01,  1.803395278998116e+00
s115        , -2.467653405274963e+01, -2.184982639620092e+01,  2.113739496745203e+00
s116        , -2.119630992652875e+01, -2.177421919805384e+01,  2.143553319461932e+00
s117        , -1.681518237222159e+01, -1.770137275707057e+01,  3.749579263019807e+00
s118        , -1.725426000439147e+01, -1.774581498488501e+01,  3.732054573126940e+00
s119        , -2.026224064054247e+01, -1.974753413190079e+01,  2.942726291688525e+00
s120        , -2.061376236446881e+01, -2.081688672682129e+01,  2.521053627339648e+00
s121        , -2.090204853596659e+01, -2.114983541168108e+01,  2.389763574177417e+00
s122        , -1.679179791839329e+01, -1.834629272795562e+01,  3.495271073460388e+00
s123        , -1.729435756680531e+01, -1.709411677603271e+01,  3.989035592655461e+00
s124        , -1.927065840811719e+01, -2.016905360707158e+01,  2.776510544876391e+00
s125        , -2.074667074869674e+01, -1.904815179467958e+01,  3.218510364159533e+00
s126        , -1.981090987888966e+01, -1.946319444405994e+01,  3.054848592902833e+00
s127        , -1.791042209268825e+01, -1.754766398438861e+01,  3.810190503894400e+00
s128        , -2.199486439730610e+01, -2.293226262966514e+01,  1.686907624151717e+00
s129        , -1.847106084369403e+01, -1.868317346710614e+01,  3.362430512245890e+00
s130        , -2.183307419908922e+01, -2.305598405844650e+01,  1.638121148335321e+00
s131        , -1.937195493711046e+01, -1.941146140532213e+01,  3.075248233192724e+00
s132        , -1.756898825137140e+01, -1.824020130351226e+01,  3.537105594480018e+00
s133        , -1.952720456066259e+01, -1.985879090161010e+01,  2.898854944919445e+00
s134        , -1.792604080418195e+01, -1.937637242561093e+01,  3.089084701757336e+00
s135        , -2.163690184151209e+01, -2.054493016628677e+01,  2.628292949535591e+00
s136        , -2.266590946104735e+01, -2.203168417556025e+01,  2.042028393485833e+00
s137        , -1.871948299194560e+01, -1.940157622025169e+01,  3.079146210666229e+00
s138        , -2.098569970792443e+01, -2.075031073469621e+01,  2.547306218032747e+00
s139        , -1.946420871832499e+01, -1.972054985795647e+01,  2.953366870617937e+00
