# c0 + a0 * (cos(F) / (AAV * T))
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.700571881580163; Max AE: 2.65430733084024
# Coefficients
# Task   a0                      c0
# all , -5.453806269398151e+00, -8.199519100773761e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         12|cos|3|1|mult|div; (cos(F) / (AAV * T)); $\left(\frac{ \left(\cos{ F }\right) }{ \left(AAV T\right) } \right)$; (cos(F) ./ (AAV .* T)); (cos(newdata$F) / (newdata$AAV * newdata$T)); F,AAV,T
# Number of Samples Per Task
# Task, n_samples               
# all , 5208                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.575591211304615e+01, -1.463070365881278e+01,  1.179210305676796e+00
s2          , -1.314701044093141e+01, -1.279322235651592e+01,  8.422930754834260e-01
s3          , -1.146662759718736e+01, -1.177239941079544e+01,  6.551168364871091e-01
s4          , -1.053119538047528e+01, -1.112278480897332e+01,  5.360046843985438e-01
s5          , -1.676053957577113e+01, -1.681991240436864e+01,  1.580619640262025e+00
s6          , -1.473165248543640e+01, -1.435694288905582e+01,  1.129014028758590e+00
s7          , -1.327639572326454e+01, -1.298862649165981e+01,  8.781220223677919e-01
s8          , -1.243815468188715e+01, -1.211787969331689e+01,  7.184634728463752e-01
s9          , -1.469519139678599e+01, -1.358781977084096e+01,  9.879890124263281e-01
s10         , -1.273276214262625e+01, -1.204830529367890e+01,  7.057064374473773e-01
s11         , -1.156984372531678e+01, -1.119301947303331e+01,  5.488827846812934e-01
s12         , -1.074748491541494e+01, -1.064874667807703e+01,  4.490859147392400e-01
s13         , -1.482490640944098e+01, -1.387339281043344e+01,  1.040351165661374e+00
s14         , -1.299015493441703e+01, -1.225228603624496e+01,  7.431079754724100e-01
s15         , -1.140813689808867e+01, -1.135167116169580e+01,  5.779728698118745e-01
s16         , -1.059931818198457e+01, -1.077855260516452e+01,  4.728868934824427e-01
s17         , -1.661617250197141e+01, -1.870413548468418e+01,  1.926107357874603e+00
s18         , -1.538237687546894e+01, -1.570281651785263e+01,  1.375790969910431e+00
