Complexity,Loss,Equation
1,7.6248404e-13,"6.2961954e-7"
3,6.518678e-13,"2.3399957e-7 / Ea"
4,4.5985964e-13,"exp(Ea * -50.947372)"
5,3.326431e-13,"7.642181e-8 / (Ea + -0.21490489)"
6,2.3746798e-13,"exp(-24.990032 * Ea) * 0.001585507"
8,2.3703942e-13,"(exp(Ea * -21.336395) / Ea) * 0.00015721958"
9,2.3700383e-13,"(exp(Ea * -21.336395) * 0.0001561579) / sin(Ea)"
10,2.3653936e-13,"((exp(Ea * -24.09738) * 0.00030854912) + 3.0006014e-8) / Ea"
12,2.3621963e-13,"(((exp(Ea * -19.335876) * 2.3320545e-5) / Ea) + 2.1980274e-8) / Ea"
13,2.362029e-13,"(((exp(Ea * -19.399265) * 2.2997172e-5) + 8.145932e-9) / Ea) / sin(Ea)"
15,2.361924e-13,"(((exp(Ea * -15.639381) * 2.2185188e-6) + 2.6048799e-9) / Ea) / (Ea * sin(Ea))"
16,2.361116e-13,"((((exp(0.84210616 - (Ea * 18.886732)) / Ea) * 9.109121e-6) / Ea) + 0.28559193) - 0.28559187"
17,2.1643951e-13,"((1.570441e-5 / Ea) / Ea) * exp(((0.009962484 / sin(-0.7846364 / Ea)) - 17.584898) * Ea)"
19,2.1522835e-13,"((1.570441e-5 / Ea) / Ea) * exp((0.009962484 / sin((-0.5883465 / Ea) / Ea)) - (Ea * 17.584898))"
20,2.1518022e-13,"((1.570441e-5 / Ea) / Ea) * exp((0.009962484 / sin(sin((-0.5883465 / Ea) / Ea))) - (Ea * 17.584898))"
21,2.150842e-13,"(exp((((0.00016005876 / Ea) / sin((-0.5883465 / Ea) / Ea)) - Ea) * 17.584898) * (1.570441e-5 / Ea)) / Ea"
22,2.1503871e-13,"exp((((0.00016005876 / Ea) / sin(sin((-0.5883465 / Ea) / Ea))) - Ea) * 17.584898) * ((1.570441e-5 / Ea) / Ea)"
23,2.1495367e-13,"((1.38865e-5 / Ea) / (Ea + -0.030045016)) * exp((((0.00018016693 / Ea) / sin((-0.5883465 / Ea) / Ea)) - Ea) * 17.584898)"
24,2.149253e-13,"((1.38865e-5 / Ea) / (Ea + -0.030045016)) * exp((((0.00018016693 / Ea) / sin(sin((-0.5883465 / Ea) / Ea))) - Ea) * 17.584898)"
25,2.1483619e-13,"exp((((((1.570441e-5 / Ea) / Ea) / Ea) / sin((-0.5883465 / Ea) / Ea)) - Ea) * 17.584898) * ((1.5597234e-5 / Ea) / Ea)"
26,2.1481313e-13,"exp(17.584898 * (((((1.5597234e-5 / Ea) / Ea) / Ea) / sin(sin((-0.5883465 / Ea) / Ea))) - Ea)) * ((1.5597234e-5 / Ea) / Ea)"
28,2.1480463e-13,"exp((((((1.570441e-5 / (Ea * 1.0571355)) / Ea) / Ea) / sin(sin((-0.5883465 / Ea) / Ea))) - Ea) * 17.584898) * ((1.5597234e-5 / Ea) / Ea)"
30,2.1480461e-13,"exp((((((1.570441e-5 / (Ea * 1.0571355)) / Ea) / Ea) / sin(sin((-0.5883465 / Ea) / Ea))) - Ea) * 17.584898) * (((1.570441e-5 / Ea) / Ea) * 0.9931754)"
