Complexity,Loss,Equation
1,7.6248404e-13,"6.296226e-7"
3,6.518679e-13,"2.3394387e-7 / Ea"
5,3.3331278e-13,"7.699797e-8 / (Ea + -0.21458335)"
6,2.379959e-13,"0.0019560584 / exp(Ea / 0.0388154)"
7,2.3799566e-13,"sin(0.0019560356 / exp(Ea / 0.0388154))"
8,2.3655253e-13,"(0.0018723569 / exp(Ea / 0.03881541)) + 4.8767525e-8"
10,2.3648114e-13,"(0.0018723081 / (exp(Ea / 0.03881541) - 6.150384)) + 4.8767525e-8"
12,2.3622816e-13,"((2.1221058e-5 / (Ea * Ea)) / exp(Ea / 0.05288162)) - -4.9177622e-8"
13,2.3622646e-13,"((2.100196e-5 / (Ea * sin(Ea))) / exp(Ea / 0.05288162)) - -4.682955e-8"
14,2.362127e-13,"(((1.8864883e-6 / (Ea * Ea)) / exp(Ea / 0.067606784)) - -1.2149218e-8) / Ea"
15,2.362005e-13,"(((2.1339594e-5 / sin(Ea * Ea)) / exp(Ea / 0.05275241)) - 0.041238576) + 0.041238625"
16,2.340415e-13,"(Ea - ((((-1.3416416e-6 / Ea) / exp(Ea / 0.07478537)) / Ea) + Ea)) / Ea"
19,2.217326e-13,"1.13028655e-5 / ((((Ea * exp(Ea / 0.05820057)) / (-0.60005474 / Ea)) / -1.9738355) + sin(Ea * -20568.031))"
20,2.2157379e-13,"sin(1.13028655e-5 / (sin(Ea * -20567.934) + (((exp(Ea / 0.05820057) / (-0.6104896 / Ea)) / -1.9738355) * Ea)))"
21,2.2139444e-13,"1.13028655e-5 / (((exp(Ea / 0.05820057) / (-0.6104896 / Ea)) * (Ea / (Ea + -2.2284837))) + sin(-20567.934 * Ea))"
22,2.2048433e-13,"sin(1.13028655e-5 / (((((Ea * exp(Ea / 0.05820057)) / (-0.564725 / Ea)) / -1.9738355) + sin(Ea * -20568.031)) - 0.31454676))"
23,2.2030473e-13,"sin(1.13028655e-5 / (sin(Ea * -20568.031) + ((exp(Ea / 0.05820057) * ((Ea / (-0.56183934 / sin(Ea))) / -1.9738355)) - 0.34504756)))"
24,2.2026027e-13,"sin(1.13028655e-5 / ((sin(sin(Ea) / (-0.56183934 / Ea)) * (exp(Ea / 0.05820057) / -1.9738355)) + (sin(Ea * -20568.031) - 0.31454676)))"
25,2.198347e-13,"1.1157795e-5 / (((Ea * exp(Ea / 0.05820058)) / (-0.60005474 / (Ea / -1.9738355))) + (sin(Ea * -20568.031) - ((0.28334388 - Ea) / Ea)))"
27,2.1983469e-13,"(1.9423744e-5 / (((Ea * exp(Ea / 0.05820058)) / (-0.60005474 / (Ea / -1.9738355))) + (sin(Ea * -20568.031) - ((0.28334388 - Ea) / Ea)))) * 0.574441"
28,2.1934889e-13,"sin(1.13028655e-5 / ((((exp(Ea / 0.05820057) / (-0.60005474 / Ea)) / -1.9738355) * Ea) + (sin(Ea * -20568.031) - (((0.5262404 - Ea) - Ea) / Ea))))"
30,2.1931087e-13,"sin(1.13028655e-5 / ((Ea * ((exp(Ea / 0.05820057) / (-0.60005474 / Ea)) / -1.9738355)) + (sin(Ea * -20568.031) - ((((0.5262404 - Ea) - Ea) / Ea) - 0.028299823))))"
