Complexity,Loss,Equation
1,410.92853,"N_frac"
2,3.7230449,"-20.17924"
4,0.80326736,"-7.272606 - E_T"
6,0.59346575,"-7.080041 - (E_T + O_frac)"
8,0.45103052,"-6.793011 - (E_T + (WE * O_frac))"
9,0.41132304,"(SBI * -5.400071) + (-6.135086 - E_T)"
10,0.35668564,"-6.6893926 - (E_T + (WE * (O_frac + Al_frac)))"
11,0.33550972,"-6.552775 - (((Al_frac + O_frac) * 3.0206656) + E_T)"
12,0.22864702,"(face_area_avg * 1.6936744) + ((E_T * -0.6080128) + -17.217884)"
14,0.17567787,"(-16.026829 - O_frac) + ((E_T * -0.6204406) + (face_area_avg * 1.4031624))"
16,0.15021162,"((face_area_avg * 1.3695027) + ((E_T * -0.6354489) - (O_frac + Al_frac))) + -15.690277"
18,0.13036561,"(((face_area_avg * 1.4148664) + B_frac) + -15.983453) + ((E_T * -0.62624437) - (O_frac + Al_frac))"
19,0.11297658,"((face_area_avg * 1.2497888) + (-14.824169 + (E_T * -0.67020154))) - (WE * (Al_frac + square(O_frac)))"
20,0.10937897,"(((face_area_avg * 1.1212171) + (E_T * -0.6886117)) + -14.112532) - ((Al_frac + square(O_frac)) * 3.2397861)"
21,0.098563805,"(((face_area_avg * 1.2952633) + -15.118211) + ((E_T * -0.6609544) + B_frac)) - (WE * (Al_frac + square(O_frac)))"
23,0.091303945,"((B_frac + (E_T * -0.6547798)) + ((face_area_avg * 1.3285328) + (-15.327307 + Cl_frac))) - ((Al_frac + square(O_frac)) * WE)"
26,0.088582166,"(((B_frac / 0.5849731) + (E_T * -0.6547798)) + ((face_area_avg * 1.3285328) + (-15.327307 + Cl_frac))) - ((Al_frac + square(O_frac)) * WE)"
