Complexity,Loss,Equation
1,410.92853,"N_frac"
2,3.7230449,"-20.179367"
4,0.80326736,"-7.272606 - E_T"
6,0.59346575,"-7.0800753 - (E_T + O_frac)"
7,0.51189744,"(-204.12798 / cub_root_V) - E_T"
8,0.47336236,"-6.8874846 - ((E_T + O_frac) + O_frac)"
9,0.41132304,"((SBI * -5.4004235) - E_T) + -6.135039"
10,0.29269418,"(-318.31815 / cub_root_V) - (E_T * 0.6848778)"
12,0.22864702,"(face_area_avg * 1.694157) + (-17.220589 - (E_T * 0.6079107))"
14,0.17567785,"(face_area_avg * 1.4031752) + (-16.026814 - ((E_T * 0.6204446) + O_frac))"
16,0.13830724,"(-14.082653 - (E_T * 0.65410376)) + (WE * ((face_area_avg * 0.42778212) - O_frac))"
18,0.09883072,"(WE * ((face_area_avg * 0.39180964) - (Al_frac + O_frac))) + (-13.303485 - (E_T * 0.68804955))"
20,0.09045806,"(-13.521857 - ((E_T * 0.6818261) - B_frac)) + (((face_area_avg * 0.40612403) - (Al_frac + O_frac)) * WE)"
22,0.081229776,"(((face_area_avg * 0.3975616) - (Al_frac + O_frac)) * WE) + ((B_frac - (E_T * 0.65712184)) - (poly_dist_avg_fixed + 13.59758))"
25,0.07725884,"((B_frac - (E_T * 0.6685757)) - (square(O_frac) + 13.519858)) + (WE * ((face_area_avg * 0.39233312) - (Al_frac + O_frac)))"
