Complexity,Loss,Equation
1,20.205208,"Br_frac"
2,1.5853623,"-20.285442"
4,0.6620743,"-7.1018 - E_T"
6,0.55672705,"-6.9469347 - (O_frac + E_T)"
8,0.49305326,"-6.753023 - (E_T + (O_frac * WE))"
9,0.48972574,"(-6.7391114 - E_T) - (O_frac * 2.5814934)"
10,0.46918088,"(-6.7542825 - (E_T + (WE * O_frac))) - Al_frac"
11,0.46576202,"(((O_frac * -2.6029267) - E_T) - Al_frac) + -6.7170987"
12,0.37174925,"(E_T * -0.61393857) + ((face_area_avg * 1.6558515) - 17.00637)"
14,0.347217,"((E_T * -0.61393857) + ((1.6558515 * face_area_avg) - 17.00637)) + B_frac"
16,0.3236444,"((E_T * -0.61870074) + ((B_frac * WE) - (AAV * -0.18054354))) - 16.128908"
17,0.32038468,"(B_frac * 3.1021028) + (((E_T * -0.6118319) - 16.298687) - (AAV * -0.18263629))"
18,0.2964475,"((AAV * 0.18862878) + (E_T * -0.62603354)) + (((B_frac + F_frac) * WE) - 16.266928)"
19,0.29102394,"(((AAV * 0.1888908) + (E_T * -0.6288544)) + ((F_frac + B_frac) * 3.0520155)) - 16.300116"
21,0.28975782,"((AAV * 0.18364616) + (E_T * -0.6340325)) + (((B_frac + F_frac) * (S_frac + 2.6879168)) - 16.115398)"
23,0.28960732,"(((AAV * 0.18381062) - N_frac) + (E_T * -0.63389647)) + (((F_frac + B_frac) * (S_frac + 2.6879237)) - 16.11538)"
25,0.28732333,"((E_T * -0.6317826) + ((B_frac / 0.31884924) - (AAV * -0.1827284))) - (16.12452 - ((AAV * 0.14880294) * F_frac))"
27,0.2734681,"(((-0.6317826 * E_T) + P_frac) + ((B_frac / 0.31884924) - (AAV * -0.1827284))) - (16.12452 - ((AAV * 0.14880294) * F_frac))"
