Complexity,Loss,Equation
1,20.208504,"F_frac"
2,1.5853622,"-20.285505"
4,1.0858595,"Ea * -59.98566"
5,0.92505795,"-567.05383 / cub_root_V"
6,0.8805384,"(Ea * -53.195026) - WE"
7,0.65960467,"(Ea * -39.9532) + -6.690259"
9,0.5545672,"-7.341109 - (O_frac + (Ea * 37.53697))"
11,0.4604545,"-8.115692 - ((Ea * 34.577267) + (O_frac * WE))"
12,0.3717392,"(Ea * -23.694523) + ((face_area_avg * 1.6534874) + -17.01843)"
14,0.32632086,"((face_area_avg * 1.3671042) + (Ea * -24.500969)) - (O_frac - -15.746971)"
16,0.30323654,"((face_area_avg * 1.3912618) + B_frac) + ((Ea * -24.043915) - (O_frac - -16.00518))"
18,0.28225353,"(((face_area_avg * 1.3654308) + B_frac) - Al_frac) + ((Ea * -24.757769) - (O_frac - -15.653777))"
20,0.26508975,"(((Ea * -24.518253) + (face_area_avg * 1.393664)) - (O_frac - -15.810669)) + (WE * (B_frac - Al_frac))"
21,0.2632013,"(((face_area_avg * 1.4007465) + (Ea * -24.531742)) - (O_frac - -15.82999)) + ((B_frac - Al_frac) * 2.1471589)"
22,0.25069353,"(((face_area_avg * 1.3575346) + (Ea * -24.502676)) - (O_frac - -15.74066)) + ((WE * (B_frac - Al_frac)) + Cl_frac)"
23,0.24683641,"((Ea * -24.331198) - ((O_frac - -15.801302) + (face_area_avg * -1.3452051))) + ((Cl_frac + (B_frac - Al_frac)) * 1.8120043)"
24,0.2410917,"(Cl_frac + ((B_frac - Al_frac) * WE)) + (((Ea * -24.524601) - (O_frac - -15.868998)) + (F_frac + (face_area_avg * 1.3936592)))"
25,0.23605944,"(((Ea * -24.339817) - (O_frac - -15.900292)) + (F_frac + (face_area_avg * 1.3717831))) + (((B_frac + Cl_frac) - Al_frac) * 1.8728441)"
27,0.235828,"((B_frac + (Cl_frac - Al_frac)) * (P_frac + 1.8724108)) + (((Ea * -24.33984) - (O_frac - -15.900713)) + (F_frac + (face_area_avg * 1.3716221)))"
28,0.22907016,"(((B_frac + P_frac) - Al_frac) + ((Ea * -25.054983) - (O_frac - -15.627964))) + (((face_area_avg * 1.3641104) + F_frac) + ((Cl_frac + B_frac) - Al_frac))"
30,0.22106956,"(((Ea * -25.101995) - (O_frac - -15.763617)) + (P_frac + (B_frac - Al_frac))) + (((B_frac - Al_frac) + (Cl_frac - I_frac)) + (F_frac + (face_area_avg * 1.4225597)))"
33,0.21584283,"(((B_frac + Cl_frac) - (Al_frac * WE)) + ((face_area_avg * 1.2743182) + F_frac)) + (((P_frac + B_frac) - square(O_frac)) + ((Ea * -24.60138) - (O_frac - -15.473027)))"
34,0.21399,"(((B_frac + Cl_frac) - (Al_frac * 1.8683534)) + ((face_area_avg * 1.2743182) + F_frac)) + (((P_frac + B_frac) - square(O_frac)) + ((Ea * -24.60138) - (O_frac - -15.473027)))"
37,0.21332428,"(((B_frac + P_frac) - square(O_frac)) + ((Ea * -24.974491) - (O_frac - -16.31812))) + (((B_frac + Cl_frac) - (Al_frac * 1.868349)) + ((face_area_avg * 1.2494304) + (F_frac + 1.0430084)))"
