Complexity,Loss,Equation
1,410.92853,"N_frac"
2,3.7230449,"-20.179367"
4,3.2118695,"-19.986607 - O_frac"
5,1.32809,"-566.49365 / cub_root_V"
7,1.2352654,"(-559.64264 / cub_root_V) - S_frac"
8,0.7961741,"(Ea * -36.867016) + -7.878093"
10,0.5651854,"(Ea * -35.05771) + (-8.289229 - O_frac)"
12,0.40980095,"(Ea * -33.248856) + ((-8.7002125 - O_frac) - O_frac)"
13,0.3693404,"(-8.847928 - (Ea * 32.522503)) - (O_frac * WE)"
14,0.22864702,"((face_area_avg * 1.6937394) + -17.218025) - (Ea * 23.519121)"
16,0.17567788,"(face_area_avg * 1.4031032) + ((-16.02613 - (Ea * 24.001287)) - O_frac)"
18,0.15021165,"((-15.690051 - (O_frac + Al_frac)) - (Ea * 24.580778)) + (face_area_avg * 1.3694807)"
20,0.13036565,"(B_frac + (-15.983185 - O_frac)) + (((face_area_avg * 1.4147848) - Al_frac) - (Ea * 24.224262))"
22,0.12063412,"(((face_area_avg * 1.3817595) - Al_frac) - (Ea * 24.794184)) + ((B_frac + (-15.652031 - O_frac)) - Al_frac)"
24,0.11380204,"(((face_area_avg * 1.3847896) - (Al_frac + Al_frac)) - (Ea * 25.06091)) + (((B_frac + -15.529456) - O_frac) - Si_frac)"
26,0.11132349,"(((B_frac + B_frac) + (-15.712238 - O_frac)) - Si_frac) + (((face_area_avg * 1.3906088) - (Al_frac + Al_frac)) - (Ea * 24.697235))"
27,0.10556612,"(-13.8211775 - square(O_frac + O_frac)) + ((face_area_avg * 1.030694) + ((Al_frac / -0.36960924) - (Ea * 26.613792)))"
32,0.105555914,"(-13.8211775 - square(O_frac + O_frac)) + (((face_area_avg * 1.030694) + (Al_frac / face_area_count)) + ((Al_frac / -0.36960924) - (Ea * 26.613792)))"
