Complexity,Loss,Equation
1,20.199532,"I_frac"
2,1.5853622,"-20.285505"
4,0.6620743,"-7.1018324 - E_T"
6,0.55672705,"(-6.9469476 - E_T) - O_frac"
8,0.49770224,"(-6.812276 - E_T) - (O_frac + O_frac)"
9,0.48508903,"(-6.2241445 - E_T) + (SBI * -5.0195165)"
10,0.4737196,"(-6.6331544 - (SBI + (E_T + O_frac))) - O_frac"
11,0.43935433,"(-5.982746 - E_T) + (SBI * (E_T + -19.688545))"
12,0.371753,"((face_area_avg * 1.661244) + (E_T * -0.60982275)) - 17.07612"
14,0.32633048,"((face_area_avg * 1.363113) - O_frac) - (15.723115 - (E_T * -0.63434106))"
16,0.30324644,"(face_area_avg * 1.3847927) - ((15.956742 - B_frac) + (O_frac - (E_T * -0.62387705)))"
18,0.28343788,"(((face_area_avg * 1.3438135) - O_frac) - ((15.5332985 + Al_frac) - (E_T * -0.64201266))) + B_frac"
20,0.2697823,"((face_area_avg * 1.3650773) - O_frac) - (((Al_frac + 15.677662) - (E_T * -0.63711613)) - (Cl_frac + B_frac))"
21,0.26578742,"((face_area_avg * 1.1723391) - ((Al_frac + 15.022434) - (E_T * -0.6379677))) - ((O_frac - B_frac) * 1.7831507)"
22,0.25504532,"((face_area_avg * 1.3266757) - O_frac) - (((Al_frac + 15.397514) - (E_T * -0.64995694)) - ((Cl_frac + B_frac) - Al_frac))"
24,0.25040936,"((1.3776186 * face_area_avg) - O_frac) - (((Al_frac + 15.676715) - (E_T * -0.6396115)) - ((Cl_frac + B_frac) + (B_frac - Al_frac)))"
26,0.23465072,"((face_area_avg * 1.2841909) - ((Al_frac + 15.548984) - (E_T * -0.64185935))) - ((square(O_frac) - (P_frac + B_frac)) * 2.9397812)"
27,0.23108633,"(((face_area_avg * 1.2916265) - (Al_frac + 15.505111)) - (E_T * 0.64665514)) - ((square(O_frac) - (P_frac + B_frac)) * (WE + S_frac))"
31,0.22427665,"(((face_area_avg * 1.3036634) - (Al_frac - Cl_frac)) - ((Al_frac + 15.599321) - (E_T * -0.6295072))) - ((square(O_frac) - (B_frac * 0.655314)) * 3.060366)"
