Complexity,Loss,Equation
1,411.9139,"Br_frac"
2,3.7230449,"-20.179367"
4,1.9739189,"Ea * -60.030174"
6,1.8481166,"(Ea * -59.507397) - SBI"
7,0.7961741,"(Ea * -36.866627) - 7.8782225"
9,0.3780031,"(face_area_avg / (Ea / 0.640083)) + -25.929018"
11,0.34966564,"((face_area_avg / (Ea / 0.6431848)) + -26.000383) + B_frac"
12,0.22864708,"(-17.218006 - (Ea * 23.519146)) + (face_area_avg * 1.693735)"
14,0.17568254,"-16.042542 - (((Ea * 23.955433) + O_frac) + (face_area_avg * -1.4038752))"
17,0.17567794,"((-10.991556 - (Ea * 23.999826)) + ((face_area_avg * 1.4031825) - O_frac)) + -5.035292"
19,0.15593901,"((poly_dist_avg_fixed * -2.8143342) - Al_frac) - (((Ea * 23.909744) + 15.366024) + (face_area_avg * -1.2948253))"
21,0.14446042,"(((poly_dist_avg_fixed * -2.8725195) - Al_frac) - Al_frac) - ((face_area_avg * -1.2419223) + (15.252976 + (23.754272 * Ea)))"
22,0.14005171,"(((O_frac + -0.21483421) * -1.7780901) - Al_frac) - (((Ea * 23.403824) + 15.858605) + (face_area_avg * -1.210572))"
23,0.1357592,"(((poly_dist_avg * -2.7429748) - Al_frac) - (Al_frac - Cl_frac)) - (((Ea * 23.065561) + (face_area_avg * -1.2742497)) + 15.598882)"
28,0.13567758,"(((-7.259507 - Al_frac) - (N_frac + 6.868101)) - ((poly_dist_avg * O_frac) * (5.7427444 - Al_frac))) - ((Ea * 25.720453) + (face_area_avg * -1.0118331))"
