Complexity,Loss,Equation
1,20.179163,"pockets_per_volume"
2,1.5853622,"-20.285505"
4,0.6620743,"-7.1018324 - E_T"
6,0.55672705,"-6.9470387 - (E_T + O_frac)"
8,0.49770224,"-6.8123064 - ((O_frac + E_T) + O_frac)"
9,0.3723553,"face_area_avg + (-12.503907 - (E_T * 0.5928235))"
11,0.3464135,"((E_T * -0.5895079) + face_area_avg) + (-12.575069 + B_frac)"
13,0.32349372,"((face_area_avg + (E_T * -0.5471482)) - O_frac) + (B_frac + -12.972837)"
14,0.3205039,"((E_T * -0.62015575) + -12.308551) + (AAV - (B_frac * -3.0506418))"
15,0.30515048,"B_frac + ((face_area_avg + -13.073016) + ((E_T * -0.5423382) - (O_frac - B_frac)))"
16,0.3040013,"F_frac + ((E_T * -0.6266334) + ((AAV - 12.24948) - (B_frac * -3.045295)))"
17,0.2899707,"(((E_T * -0.5540027) + -12.887314) - Al_frac) + ((B_frac + face_area_avg) - (O_frac - B_frac))"
18,0.28957,"(P_frac + (AAV - 12.255945)) + ((F_frac - (E_T * 0.62910485)) - (B_frac * -3.1926138))"
19,0.28243932,"(((-12.8890505 - Al_frac) + (E_T * -0.55389446)) + ((B_frac + face_area_avg) - (O_frac - B_frac))) + F_frac"
23,0.2734144,"(exp(B_frac + 0.9681504) + ((E_T * -0.59373444) - 17.597603)) + ((Na_frac + (AAV - O_frac)) + WE)"
25,0.26045084,"(((E_T * -0.6061554) - 17.802124) + exp(B_frac + 1.0802519)) + ((P_frac + (Na_frac + WE)) + (AAV - O_frac))"
27,0.2525698,"(exp(B_frac + 1.0684562) + ((E_T * -0.6116688) - 17.728403)) + ((AAV - O_frac) + ((F_frac + Na_frac) + (WE + P_frac)))"
