Complexity,Loss,Equation
1,100000.02,"Na_frac"
3,0.0021534364,"0.3336642"
6,0.0014749721,"0.9784412 / Na_Na"
10,0.0012212456,"(face_area_count * -0.0030610114) + 0.42787868"
12,0.0011914349,"((pockets_per_ion + face_area_count) * -0.0026707724) + 0.42324007"
13,0.001174228,"((face_area_count * -0.00016549413) * face_area_max) + 0.40120384"
17,0.0010830266,"((face_area_count * -0.0042874822) - (SBI * 0.14638323)) + 0.49646208"
19,0.0010275635,"((face_area_count * -0.004436853) + 0.5058112) - ((SBI + B_frac) * 0.14002357)"
22,0.000996646,"((face_area_count * face_area_count) * -7.39534e-5) + (0.44531727 - ((SBI + B_frac) * 0.13470821))"
26,0.0009441839,"(cos(SBI * 1.2451574) + (Ge_frac * S_frac)) * (0.48800543 + (face_area_count * -0.0046049072))"
30,0.00093940744,"((face_area_count * -0.0054363096) + 0.5783586) * (cos(SBI * -1.1215515) + ((Ge_frac * S_frac) + -0.15991102))"
31,0.0009388722,"(((S_frac * Ge_frac) * 1.2740045) + cos(SBI * -1.232316)) * ((face_area_count * -0.004605933) + 0.48702008)"
32,0.0009351264,"(0.576656 + (-0.0054125814 * (B_frac + face_area_count))) * (cos(SBI * 1.1176472) + (-0.1580645 + (Ge_frac * S_frac)))"
33,0.0008889109,"(cos(SBI * -1.3408673) * ((face_area_count * -0.004757484) + 0.4992841)) + ((S_frac * 0.33497038) * (Ge_frac - B_frac))"
41,0.0008760112,"(cos(SBI * -1.2769678) * (0.49355227 + (-0.0046791397 * face_area_count))) + (((-0.34595883 * B_frac) + (S_frac * Ge_frac)) * (S_frac * 0.83840466))"
44,0.00087474094,"(cos(SBI * -1.2827101) * ((face_area_count * -0.0047476743) + 0.49675646)) + (((B_frac * -0.34186023) + (Ge_frac * S_frac)) * ((S_frac * NBI) / 0.56368285))"
