Complexity,Loss,Equation
1,100000.02,"PF"
3,0.0021534364,"0.3336602"
6,0.0014749721,"0.9784412 / Na_Na"
10,0.0012212457,"(face_area_count * -0.0030605854) + 0.42786425"
12,0.001191447,"((pockets_per_ion + face_area_count) / -372.9867) + 0.42358825"
14,0.0011833825,"(((pockets_per_ion + face_area_count) + face_area_count) * -0.0014594716) + 0.42753592"
15,0.0011669463,"((face_area_count + (Na_frac * paths_per_ion)) / -357.901) + 0.4259491"
17,0.0011270113,"(-0.08670649 / RBI) - (-0.56432635 - (face_area_avg * -0.06838942))"
19,0.0010878372,"((SBI + B_frac) * -0.1370138) - (-0.58125067 - (face_area_avg / -13.55886))"
22,0.0010531815,"((B_frac + (SBI / RBI)) * -0.1624183) - (-0.5679051 - (face_area_avg / -13.691469))"
24,0.0010518607,"(((B_frac + N_frac) + (SBI / RBI)) * -0.1633356) - (-0.5689074 - (face_area_avg / -13.6352005))"
26,0.0010166499,"(-0.113186546 / RBI) - ((-0.594327 - (face_area_avg / -13.383209)) - ((B_frac - F_frac) * -0.109083585))"
28,0.001009123,"(-0.12368241 * (B_frac - F_frac)) + ((-0.12368241 / (RBI + S_frac)) - (-0.6047935 - (face_area_avg / -12.940713)))"
29,0.0009931824,"(SBI * (-0.23502387 / RBI)) - ((-0.58219373 - (face_area_avg / -12.928924)) + ((F_frac - B_frac) * -0.110473655))"
31,0.000989729,"((SBI * -0.24020849) / (RBI + B_frac)) - ((-0.5821022 - (face_area_avg / -12.941186)) + ((F_frac - B_frac) * -0.11582887))"
32,0.00097364,"((SBI / RBI) * -0.2428548) - ((-0.5830781 - (face_area_avg / -12.929232)) + ((F_frac - B_frac) * (face_area_avg * -0.043705013)))"
34,0.0009507733,"((SBI * -0.348481) / (RBI + PF)) - (((face_area_avg * -0.04667599) * (F_frac - B_frac)) + (-0.58645123 - (face_area_avg / -12.941151)))"
38,0.0009507598,"(((SBI - -0.0016447529) * -0.3483483) / (PF + RBI)) - (((face_area_avg * -0.046647348) * (F_frac - B_frac)) + (-0.5866667 - (face_area_avg / -12.938549)))"
