Complexity,Loss,Equation
1,0.91315496,"O_frac"
3,0.7069486,"Ge_frac - face_area_avg"
5,0.5618881,"(AAV / RBI) - face_area_avg"
7,0.53631175,"(AAV / RBI) + (Ge_frac - face_area_avg)"
9,0.5066846,"(AAV / (RBI - O_frac)) - (face_area_avg - poly_dist_avg)"
11,0.49156433,"((AAV / (RBI - O_frac)) - (face_area_avg - poly_dist_avg)) + Ge_frac"
13,0.46955207,"((AAV / RBI) - face_area_avg) + (RBI * (F_frac - (SBI - poly_dist_avg)))"
15,0.44876188,"((VPA / RBI) - face_area_avg) + (WE * ((Ge_frac + F_frac) - (SBI - poly_dist_avg)))"
17,0.42763922,"(((Ge_frac + F_frac) - (SBI - poly_dist_avg)) * (RBI - rho)) + ((VPA / RBI) - face_area_avg)"
19,0.42092568,"((VPA / RBI) + (P_frac - face_area_avg)) + ((cub_root_V + WE) * ((Ge_frac + F_frac) - (SBI - poly_dist_avg)))"
20,0.41598964,"((3.7141378 - rho) * ((Ge_frac + F_frac) - (SBI - poly_dist_avg))) + ((VPA / RBI) - face_area_avg)"
21,0.41352025,"((VPA / RBI) + (P_frac - (face_area_avg + B_frac))) + ((WE + Na_Na_max) * ((Ge_frac + F_frac) - (SBI - poly_dist_avg)))"
22,0.40356615,"((VPA / RBI) - face_area_avg) + (((Ge_frac + F_frac) - (SBI - poly_dist_avg)) * (cub_root_V + (3.9934316 - rho)))"
24,0.3964949,"(((VPA / RBI) + P_frac) - face_area_avg) + (((F_frac + Ge_frac) - (SBI - poly_dist_avg)) * (AAV - (rho + -3.8058956)))"
26,0.38921726,"((P_frac + (VPA / RBI)) - (face_area_avg + B_frac)) + (((Ge_frac + F_frac) - (SBI - poly_dist_avg)) * ((AAV + 3.8757071) - rho))"
28,0.38801932,"(((F_frac + Ge_frac) - (SBI - poly_dist_avg)) * (AAV - (rho + -3.883433))) + (((Si_frac + VPA) / RBI) + (P_frac - (face_area_avg + B_frac)))"
30,0.38548473,"(((Si_frac + VPA) / (B_frac + RBI)) + (P_frac - (B_frac + face_area_avg))) + (((F_frac + Ge_frac) - (SBI - poly_dist_avg)) * (AAV - (rho + -3.883433)))"
32,0.38399506,"((P_frac - (face_area_avg + B_frac)) + ((VPA - Ge_frac) / (RBI + B_frac))) + (((AAV + 3.7869978) - (rho - poly_dist_avg)) * ((F_frac + Ge_frac) - (SBI - poly_dist_avg)))"
