Complexity,Loss,Equation
1,410.92853,"N_frac"
2,3.7230449,"-20.17924"
4,0.80326736,"-7.272606 - E_T"
6,0.59346575,"-7.079953 - (O_frac + E_T)"
8,0.47336245,"-6.887479 - ((O_frac + E_T) + O_frac)"
9,0.41132304,"((SBI * -5.400049) - E_T) + -6.135123"
11,0.37518796,"(-6.2311783 - O_frac) - (E_T + (SBI * 4.0298805))"
12,0.22415815,"((E_T * -0.63751954) + -15.546364) + (AAV * 0.169216)"
14,0.19601618,"(AAV * 0.17390788) + ((B_frac + (E_T * -0.6287944)) + -15.802168)"
16,0.17371672,"((E_T * -0.6426645) + -15.512171) + (((AAV * 0.1708373) + B_frac) - Al_frac)"
17,0.17349009,"(AAV * 0.18328896) + (((E_T * -0.6113615) + -16.313534) - (B_frac * -3.0011067))"
18,0.15305947,"((E_T * -0.6710318) + ((AAV * 0.16842099) + -15.067175)) - ((Al_frac - F_frac) * WE)"
19,0.14046438,"(E_T * -0.61142325) + (((AAV * 0.19157225) + -16.573675) - ((F_frac + B_frac) * -2.958156))"
20,0.12151757,"(((E_T * -0.6484001) + -15.724888) + (AAV * 0.1808346)) - ((Al_frac - (B_frac + F_frac)) * WE)"
21,0.12128395,"(((E_T * -0.6492982) + -15.679348) + (AAV * 0.17966029)) - ((Al_frac - (F_frac + B_frac)) * 2.3280811)"
22,0.10612962,"(((E_T * -0.65538627) + (AAV * 0.19055223)) + -15.796989) - (((Al_frac + I_frac) - (B_frac + F_frac)) * WE)"
23,0.105018154,"((AAV * 0.19055688) + ((E_T * -0.6571704) + -15.762201)) - (((Al_frac + I_frac) - (F_frac + B_frac)) * 2.3797052)"
26,0.1040729,"((E_T * -0.6507518) + ((AAV * 0.1919184) + -15.908457)) - (((I_frac + Al_frac) * 2.1156604) + ((F_frac + B_frac) * -2.6145248))"
29,0.10320989,"(((AAV * 0.18996426) + (E_T * -0.65591323)) + -15.791911) - (((F_frac + B_frac) * -2.605328) + ((I_frac + Al_frac) * (0.9495449 / NBI)))"
