Complexity,Loss,Equation
1,20.179163,"face_area_avg"
2,1.5853622,"-20.285505"
4,0.93302083,"face_area_avg - 20.187395"
6,0.37514704,"(face_area_avg - Ea) + -20.16358"
8,0.34946528,"(face_area_avg - Ea) + (B_frac + -20.1945)"
10,0.3237648,"B_frac + (-20.033705 + ((face_area_avg - Ea) - O_frac))"
12,0.3022509,"(((WE * B_frac) + (face_area_avg - O_frac)) - Ea) + -20.083044"
13,0.29990935,"((B_frac * 2.951609) - O_frac) + ((face_area_avg - Ea) + -20.105879)"
14,0.28741884,"(((B_frac * WE) + (face_area_avg - Ea)) + (-20.047117 - O_frac)) - Al_frac"
15,0.28600857,"((face_area_avg - Ea) + (-20.07112 - O_frac)) + ((B_frac * 2.8307896) - Al_frac)"
16,0.27374923,"((face_area_avg - Ea) + (-19.943075 - O_frac)) + (WE * (B_frac - (I_frac + Al_frac)))"
17,0.26996848,"((B_frac - (I_frac + Al_frac)) * 2.0105536) + ((face_area_avg - Ea) + (-19.952322 - O_frac))"
18,0.26467094,"(B_frac * WE) + (((F_frac + face_area_avg) - Ea) + ((-20.114668 - O_frac) - (Al_frac - Cl_frac)))"
19,0.26144746,"(((rho * -0.23204583) - Al_frac) + ((B_frac + -20.061285) - Al_frac)) + ((face_area_avg - Ea) - Si_frac)"
20,0.2563031,"(F_frac + (face_area_avg - Ea)) + (((-20.214287 - O_frac) - (Al_frac - Cl_frac)) + ((B_frac * WE) + poly_dist_std))"
21,0.2552631,"(((face_area_avg - Ea) - Si_frac) - Si_frac) + ((B_frac + (-20.0191 - Al_frac)) + ((rho * -0.2477013) - Al_frac))"
22,0.25122833,"((face_area_avg - Ea) + (Si_frac * -2.626753)) + (((rho / -3.4159555) + (Al_frac * -3.146224)) + -19.887794)"
23,0.24970634,"(((face_area_avg - Ea) - Si_frac) - Si_frac) + ((B_frac + (-20.042694 - Al_frac)) + ((rho * -0.24768186) - (Al_frac - F_frac)))"
24,0.2481167,"((rho / -3.9885452) + ((Al_frac * -2.9829178) + -19.96506)) + (face_area_avg - ((Ea + Si_frac) * (P_frac - -1.072324)))"
25,0.23459014,"(face_area_avg - ((Si_frac / PF) + (Ea * 1.1387739))) + (((Al_frac * -3.4597328) + (rho / -3.386994)) + -19.877977)"
28,0.22463597,"(((Al_frac / -0.25486827) + (rho / -3.4554605)) + -19.895409) + (((face_area_avg + F_frac) - (1.1594537 * Ea)) - (Si_frac / PF))"
31,0.22410558,"(((F_frac + face_area_avg) - (Ea * 1.153613)) - sin(Si_frac / PF)) + ((Al_frac / -0.2600317) + ((rho / -3.4571383) + -19.907845))"
33,0.21984145,"((cos(PF) * (Al_frac / -0.25486827)) + ((rho / -3.4554605) + -19.895409)) + (((face_area_avg + F_frac) - (Si_frac / PF)) - (1.1594537 * Ea))"
36,0.21944839,"(((face_area_avg + F_frac) - (Ea * 1.153613)) - sin(Si_frac / PF)) + ((cos(PF) * (Al_frac / -0.2600317)) + ((rho / -3.4571383) + -19.907845))"
37,0.21944484,"((cos(PF) * (Al_frac / -0.25852466)) + ((rho / -3.4670784) + -19.906546)) + (((face_area_avg + F_frac) - (Ea / 0.8672462)) - sin(Si_frac / PF))"
