Complexity,Loss,Equation
1,20.179163,"face_area_max"
2,1.5853623,"-20.285442"
4,0.6620743,"-7.1018 - E_T"
6,0.55672705,"-6.947001 - (E_T + O_frac)"
8,0.49770224,"-6.8122754 - (O_frac + (E_T + O_frac))"
9,0.37235427,"((E_T * -0.59311646) + face_area_avg) + -12.498842"
11,0.34641278,"(E_T * -0.58917785) + (face_area_avg + (B_frac + -12.579823))"
13,0.3237604,"AAV + (((WE * B_frac) + -12.232454) + (E_T * -0.6233751))"
14,0.32051414,"(((B_frac * 3.01597) + (E_T * -0.6190205)) + AAV) + -12.323213"
15,0.29723907,"(AAV + ((E_T * -0.6502409) + -11.944198)) + (WE * (F_frac + B_frac))"
16,0.29248345,"(E_T * -0.6458315) + ((AAV + -12.053362) + ((B_frac + F_frac) * 2.9295902))"
17,0.27013838,"((AAV + -11.760837) + (E_T * -0.6579921)) + (WE * ((F_frac + B_frac) - Al_frac))"
18,0.26942664,"(((E_T * -0.6619108) + AAV) + -11.706021) + ((F_frac + (B_frac - Al_frac)) * 2.4412243)"
20,0.2615343,"(((B_frac + F_frac) - Al_frac) * 2.4071596) + (((E_T + I_frac) * -0.667384) + (AAV + -11.624948))"
21,0.25805807,"((AAV + -11.644679) + (Cl_frac + (E_T * -0.6657576))) + (((F_frac + B_frac) - Al_frac) / 0.41950113)"
23,0.25042906,"((F_frac + (B_frac - Al_frac)) * 2.3102303) + ((E_T * -0.6512728) + ((AAV + -11.836655) - (rho / E_T)))"
